[I 2024-12-04 05:18:04,833] Using an existing study with name 'R8-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-04 05:29:21,681] Trial 195 finished with value: 0.9322326211569212 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.78576431096573, 'batch_size': 117, 'attention_heads': 9, 'hidden_dimension': 178, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3325329165862326, 'global_pooling': 'max', 'learning_rate': 0.0003973226253195614, 'weight_decay': 2.7642819034201834e-06, 'beta_0': 0.8529112529682068, 'beta_1': 0.986968057133248, 'epsilon': 4.511940115247043e-08, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 05:42:46,406] Trial 196 finished with value: 0.9411391300862492 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7662380426962666, 'batch_size': 109, 'attention_heads': 9, 'hidden_dimension': 165, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3449502340637901, 'global_pooling': 'max', 'learning_rate': 0.0003525031103375455, 'weight_decay': 2.0151909339766292e-06, 'beta_0': 0.8593510472556343, 'beta_1': 0.9863185545930375, 'epsilon': 3.0476344956335156e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 05:53:28,836] Trial 197 finished with value: 0.93479901466462 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7760198276584733, 'batch_size': 114, 'attention_heads': 7, 'hidden_dimension': 161, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3177370313929544, 'global_pooling': 'max', 'learning_rate': 0.0006712983119455494, 'weight_decay': 2.9493862193902194e-06, 'beta_0': 0.8568021457979765, 'beta_1': 0.9856911709529912, 'epsilon': 2.3325257680541052e-08, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 06:05:01,883] Trial 198 finished with value: 0.9460340112822431 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7627027620585496, 'batch_size': 125, 'attention_heads': 8, 'hidden_dimension': 174, 'number_of_hidden_layers': 0, 'dropout_rate': 0.329205846954729, 'global_pooling': 'max', 'learning_rate': 0.0004958034300823151, 'weight_decay': 3.330238156087226e-05, 'beta_0': 0.8479782417748504, 'beta_1': 0.9874993457981074, 'epsilon': 5.548639990695605e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 06:17:13,881] Trial 199 finished with value: 0.9445783802302479 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7610213159969744, 'batch_size': 125, 'attention_heads': 8, 'hidden_dimension': 174, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32395804331031064, 'global_pooling': 'max', 'learning_rate': 0.0008372112576878747, 'weight_decay': 2.862555788235603e-05, 'beta_0': 0.8473030484012146, 'beta_1': 0.9874417613834823, 'epsilon': 7.938877505748831e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 06:29:28,883] Trial 200 finished with value: 0.9437153430461324 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7544950416196735, 'batch_size': 126, 'attention_heads': 8, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31280469162183294, 'global_pooling': 'max', 'learning_rate': 0.0010716825296843437, 'weight_decay': 2.935087339921887e-05, 'beta_0': 0.8465566085028792, 'beta_1': 0.9876413268164963, 'epsilon': 8.093189626825844e-08, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 06:41:30,461] Trial 201 finished with value: 0.9179459204454614 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7387470475080681, 'batch_size': 127, 'attention_heads': 8, 'hidden_dimension': 197, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3115463834542897, 'global_pooling': 'max', 'learning_rate': 0.0011495216726814506, 'weight_decay': 2.8429903020625203e-05, 'beta_0': 0.8432044413092769, 'beta_1': 0.9876113917031213, 'epsilon': 7.95183327418954e-08, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 06:53:29,846] Trial 202 finished with value: 0.9447953340865871 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7554291871415805, 'batch_size': 131, 'attention_heads': 8, 'hidden_dimension': 182, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30003578618214, 'global_pooling': 'max', 'learning_rate': 0.0010045280361159867, 'weight_decay': 4.0721775847554854e-05, 'beta_0': 0.8470780712439681, 'beta_1': 0.9881675974844331, 'epsilon': 7.956502119506923e-08, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 07:04:48,005] Trial 203 finished with value: 0.9514055067750185 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7429354067667683, 'batch_size': 134, 'attention_heads': 8, 'hidden_dimension': 184, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3053382301330122, 'global_pooling': 'max', 'learning_rate': 0.0008137899196827445, 'weight_decay': 3.62166285277285e-05, 'beta_0': 0.847816272169884, 'beta_1': 0.9881553516546348, 'epsilon': 6.180430514492098e-08, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 07:15:43,965] Trial 204 finished with value: 0.9442329952022767 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7470805160278755, 'batch_size': 135, 'attention_heads': 8, 'hidden_dimension': 179, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30015628189412796, 'global_pooling': 'max', 'learning_rate': 0.0008841431612901526, 'weight_decay': 5.0492101172870744e-05, 'beta_0': 0.8475442201421081, 'beta_1': 0.9882083687424976, 'epsilon': 6.661866494057117e-08, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 07:26:56,294] Trial 205 finished with value: 0.9362917921812627 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7481279096217258, 'batch_size': 135, 'attention_heads': 8, 'hidden_dimension': 183, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3007163965290592, 'global_pooling': 'max', 'learning_rate': 0.0008829237092742595, 'weight_decay': 3.882210185302772e-05, 'beta_0': 0.8439317839511928, 'beta_1': 0.9882678766434339, 'epsilon': 6.193677338088208e-08, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
