[I 2024-11-29 03:46:58,434] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 04:04:33,883] Trial 68 finished with value: 0.9353927757657451 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7068767904277696, 'batch_size': 52, 'attention_heads': 15, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.38542526970605906, 'global_pooling': 'mean', 'learning_rate': 0.0004314091959212643, 'weight_decay': 2.9824509053239824e-06, 'beta_0': 0.838044325420495, 'beta_1': 0.9961600543458262, 'epsilon': 3.4780860728044645e-06, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
CUDA out of memory. Tried to allocate 5.11 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.48 GiB is free. Including non-PyTorch memory, this process has 41.07 GiB memory in use. Of the allocated memory 39.80 GiB is allocated by PyTorch, and 119.79 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 04:09:41,937] Trial 69 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6773523160191874, 'batch_size': 90, 'attention_heads': 16, 'hidden_dimension': 242, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3366373354577932, 'global_pooling': 'mean', 'learning_rate': 9.08222196028553e-05, 'weight_decay': 7.795823184645378e-06, 'beta_0': 0.8186097236755304, 'beta_1': 0.9943256836537225, 'epsilon': 7.398785174458237e-05, 'balanced_loss': True, 'epochs': 77, 'early_stopping_patience': 15, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
CUDA out of memory. Tried to allocate 5.15 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.41 GiB is free. Including non-PyTorch memory, this process has 41.15 GiB memory in use. Of the allocated memory 34.73 GiB is allocated by PyTorch, and 5.26 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 04:14:36,280] Trial 70 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7163929095068495, 'batch_size': 250, 'attention_heads': 14, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47931600230232546, 'global_pooling': 'mean', 'learning_rate': 0.00016022195541964642, 'weight_decay': 4.148822554005663e-05, 'beta_0': 0.8019730397380423, 'beta_1': 0.9967920588394303, 'epsilon': 6.346633451247861e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 41 with value: 0.9629554078946512.
CUDA out of memory. Tried to allocate 3.42 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.51 GiB is free. Including non-PyTorch memory, this process has 43.04 GiB memory in use. Of the allocated memory 41.71 GiB is allocated by PyTorch, and 187.49 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 04:20:24,412] Trial 71 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6513165028483554, 'batch_size': 77, 'attention_heads': 16, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44611822454137573, 'global_pooling': 'mean', 'learning_rate': 0.0005592127449825441, 'weight_decay': 1.5850109432122193e-05, 'beta_0': 0.8155310748986795, 'beta_1': 0.994855721537991, 'epsilon': 1.5065163456612485e-05, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 04:32:10,671] Trial 72 finished with value: 0.9515666643663271 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8430226679747604, 'batch_size': 62, 'attention_heads': 16, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3920361125672663, 'global_pooling': 'mean', 'learning_rate': 0.00022676420007030186, 'weight_decay': 1.058842856695295e-05, 'beta_0': 0.8256055121738654, 'beta_1': 0.9940156435162277, 'epsilon': 4.202414337303535e-05, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 04:48:44,123] Trial 73 finished with value: 0.9416041801155581 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6778890356777155, 'batch_size': 51, 'attention_heads': 16, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4064223166292762, 'global_pooling': 'mean', 'learning_rate': 0.00038206742022822444, 'weight_decay': 1.3482927916986212e-05, 'beta_0': 0.8101847481598354, 'beta_1': 0.9935305336336798, 'epsilon': 5.693169453633507e-05, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 05:05:58,368] Trial 74 finished with value: 0.9420351383843186 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6604079429985903, 'batch_size': 46, 'attention_heads': 15, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38370075886496, 'global_pooling': 'mean', 'learning_rate': 0.0010666293458835273, 'weight_decay': 2.173824032347581e-05, 'beta_0': 0.8206452156046935, 'beta_1': 0.9957286903556802, 'epsilon': 8.863678020446599e-06, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 05:14:23,855] Trial 75 finished with value: 0.9446826370364179 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6912025758794129, 'batch_size': 39, 'attention_heads': 9, 'hidden_dimension': 131, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34721024385801846, 'global_pooling': 'mean', 'learning_rate': 0.00025672881190674443, 'weight_decay': 3.17481033864594e-05, 'beta_0': 0.8315850357099072, 'beta_1': 0.9911861105949367, 'epsilon': 2.6974059907748778e-05, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
