[I 2024-12-12 04:54:04,146] Using an existing study with name 'R8-GATv2-facebook-bart-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1136 > 1024). Running this sequence through the model will result in indexing errors
[I 2024-12-12 05:38:08,818] Trial 135 finished with value: 0.9742382902871694 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7348555621483395, 'batch_size': 37, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5312001251707312, 'global_pooling': 'max', 'learning_rate': 1.9622730458884737e-05, 'weight_decay': 5.903998882774368e-06, 'beta_0': 0.8875677334930877, 'beta_1': 0.9821534480253976, 'epsilon': 3.0356255547096497e-05, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 135 with value: 0.9742382902871694.
[I 2024-12-12 06:24:46,169] Trial 136 finished with value: 0.9776229738062259 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7348246523302044, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5256986766626452, 'global_pooling': 'max', 'learning_rate': 1.8571713359696162e-05, 'weight_decay': 7.644503750991748e-06, 'beta_0': 0.8872785988111066, 'beta_1': 0.9832302746513848, 'epsilon': 3.2044328127105416e-05, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 07:11:00,682] Trial 137 finished with value: 0.968849445544323 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7516465456200628, 'batch_size': 37, 'attention_heads': 16, 'hidden_dimension': 84, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5363847887254292, 'global_pooling': 'max', 'learning_rate': 1.9844384530879877e-05, 'weight_decay': 7.526301874552491e-06, 'beta_0': 0.8897152091824295, 'beta_1': 0.9821577787128593, 'epsilon': 3.0868477103205166e-05, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 08:00:12,332] Trial 138 finished with value: 0.9665825467665947 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7355739457302644, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5352478379544399, 'global_pooling': 'max', 'learning_rate': 1.8341115401956884e-05, 'weight_decay': 7.648116724454197e-06, 'beta_0': 0.8890629480086332, 'beta_1': 0.9832130237165823, 'epsilon': 5.2747009525768136e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 08:42:13,180] Trial 139 finished with value: 0.9711369029421466 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7473544974014346, 'batch_size': 32, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5215628931052526, 'global_pooling': 'max', 'learning_rate': 1.8150073803828643e-05, 'weight_decay': 0.00024174960709848548, 'beta_0': 0.8861148328328083, 'beta_1': 0.9821535890412961, 'epsilon': 3.0536928959535415e-05, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 09:35:07,742] Trial 140 finished with value: 0.918511271169538 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.746624359251167, 'batch_size': 35, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5225757746213234, 'global_pooling': 'max', 'learning_rate': 1.1072657447517863e-05, 'weight_decay': 0.00025184813891029125, 'beta_0': 0.893821954211934, 'beta_1': 0.9820253129061681, 'epsilon': 2.6273870114387677e-05, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 10:05:38,252] Trial 141 finished with value: 0.9647289691929419 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7693370930307492, 'batch_size': 32, 'attention_heads': 16, 'hidden_dimension': 70, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31684630782457424, 'global_pooling': 'max', 'learning_rate': 1.8319838112774584e-05, 'weight_decay': 9.274319532750343e-06, 'beta_0': 0.8858525532206352, 'beta_1': 0.9812673782431192, 'epsilon': 4.469192674817675e-05, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 10:52:46,500] Trial 142 finished with value: 0.9722284994559464 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7287252038718962, 'batch_size': 39, 'attention_heads': 16, 'hidden_dimension': 77, 'number_of_hidden_layers': 3, 'dropout_rate': 0.50832887599105, 'global_pooling': 'max', 'learning_rate': 1.4665667055119004e-05, 'weight_decay': 6.571047657886755e-06, 'beta_0': 0.8894861825253848, 'beta_1': 0.9822991628159334, 'epsilon': 1.9602031335658104e-05, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 11:40:31,979] Trial 143 finished with value: 0.9539187958356237 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7562082278732779, 'batch_size': 41, 'attention_heads': 16, 'hidden_dimension': 78, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5119582107737347, 'global_pooling': 'max', 'learning_rate': 1.3370316422809855e-05, 'weight_decay': 7.300585153210234e-06, 'beta_0': 0.889459768173285, 'beta_1': 0.9823802068025745, 'epsilon': 2.0971887128035138e-05, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 12:25:45,691] Trial 144 finished with value: 0.975280473622795 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7269678051673298, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5169876404934829, 'global_pooling': 'max', 'learning_rate': 1.566168638776988e-05, 'weight_decay': 5.9727930071841995e-06, 'beta_0': 0.8925709308982238, 'beta_1': 0.9827249861612842, 'epsilon': 3.0184877741203472e-05, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 13:08:15,946] Trial 145 finished with value: 0.9648679687273476 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7254279406859082, 'batch_size': 40, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 3, 'dropout_rate': 0.528481328894605, 'global_pooling': 'max', 'learning_rate': 1.542106960407421e-05, 'weight_decay': 8.347890232904876e-06, 'beta_0': 0.8946800925875426, 'beta_1': 0.9827859430955174, 'epsilon': 2.940521181226013e-05, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 13:54:57,124] Trial 146 finished with value: 0.9280810251693171 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7378962926112761, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.521269719344704, 'global_pooling': 'max', 'learning_rate': 1.017764209786131e-05, 'weight_decay': 6.258938237249466e-06, 'beta_0': 0.8911690683920324, 'beta_1': 0.981975903530239, 'epsilon': 1.8435085922672903e-05, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 14:43:34,465] Trial 147 finished with value: 0.9648260953726179 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7514634560517194, 'batch_size': 36, 'attention_heads': 16, 'hidden_dimension': 90, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5158038287410976, 'global_pooling': 'max', 'learning_rate': 2.014720660927143e-05, 'weight_decay': 5.502576207968586e-06, 'beta_0': 0.8817034174368263, 'beta_1': 0.9824552568463463, 'epsilon': 3.7229856259010716e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 15:26:00,075] Trial 148 finished with value: 0.9587559551220699 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7281595119592996, 'batch_size': 32, 'attention_heads': 16, 'hidden_dimension': 68, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5317916842541462, 'global_pooling': 'max', 'learning_rate': 1.5805568464451078e-05, 'weight_decay': 8.669504389828945e-06, 'beta_0': 0.8988070203199382, 'beta_1': 0.9811740767312516, 'epsilon': 1.4678837911729438e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
CUDA out of memory. Tried to allocate 1.57 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.53 GiB is free. Including non-PyTorch memory, this process has 43.02 GiB memory in use. Of the allocated memory 38.94 GiB is allocated by PyTorch, and 2.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-12 15:58:06,539] Trial 149 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7450032690793574, 'batch_size': 50, 'attention_heads': 16, 'hidden_dimension': 95, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5071067383073092, 'global_pooling': 'max', 'learning_rate': 1.2537992461985917e-05, 'weight_decay': 6.800118833541544e-06, 'beta_0': 0.8851227973100924, 'beta_1': 0.982873216841532, 'epsilon': 2.3200570414803385e-05, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 16:50:43,498] Trial 150 finished with value: 0.9768090951156991 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7332025998221657, 'batch_size': 36, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5386773307101721, 'global_pooling': 'max', 'learning_rate': 2.0749799706433687e-05, 'weight_decay': 0.000360924996096867, 'beta_0': 0.8867690052282591, 'beta_1': 0.98218132652799, 'epsilon': 6.253959628350076e-05, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 17:34:43,448] Trial 151 finished with value: 0.9244257281648195 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7337495439922712, 'batch_size': 56, 'attention_heads': 16, 'hidden_dimension': 85, 'number_of_hidden_layers': 3, 'dropout_rate': 0.525804243569794, 'global_pooling': 'max', 'learning_rate': 1.947840562843074e-05, 'weight_decay': 0.0003896049424689453, 'beta_0': 0.8873720659892798, 'beta_1': 0.9822194147565895, 'epsilon': 6.275911305408394e-05, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 18:08:15,645] Trial 152 finished with value: 0.9535317690722774 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7658249273553013, 'batch_size': 43, 'attention_heads': 16, 'hidden_dimension': 76, 'number_of_hidden_layers': 3, 'dropout_rate': 0.536945108619177, 'global_pooling': 'max', 'learning_rate': 3.173959079070094e-05, 'weight_decay': 0.00030945424061593394, 'beta_0': 0.891080054801585, 'beta_1': 0.9832869586084131, 'epsilon': 4.780742181719293e-05, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 18:57:23,521] Trial 153 finished with value: 0.969157253381931 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7401295610013527, 'batch_size': 37, 'attention_heads': 16, 'hidden_dimension': 83, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5160382057368811, 'global_pooling': 'max', 'learning_rate': 1.7228406022920016e-05, 'weight_decay': 0.00042473671221967505, 'beta_0': 0.879853829755228, 'beta_1': 0.982576598487773, 'epsilon': 3.955430221582964e-05, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 19:34:22,348] Trial 154 finished with value: 0.9634839148969796 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7493432843732556, 'batch_size': 39, 'attention_heads': 16, 'hidden_dimension': 72, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5176696171104143, 'global_pooling': 'max', 'learning_rate': 1.711293879733877e-05, 'weight_decay': 0.00025590459905720537, 'beta_0': 0.8870487310474587, 'beta_1': 0.9825880566589852, 'epsilon': 4.1937083154913065e-05, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
[I 2024-12-12 20:19:40,481] Trial 155 finished with value: 0.966233007846124 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7409215333296637, 'batch_size': 36, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5319057726111174, 'global_pooling': 'max', 'learning_rate': 2.0360181460816034e-05, 'weight_decay': 0.0006142526203114614, 'beta_0': 0.8925902506551212, 'beta_1': 0.9821329308410749, 'epsilon': 8.924479062316398e-05, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 136 with value: 0.9776229738062259.
slurmstepd: error: *** JOB 14085045 ON gpu006 CANCELLED AT 2024-12-12T20:53:57 DUE TO TIME LIMIT ***
