Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 17:07:25,672] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 17:15:29,236] Trial 183 finished with value: 0.9476184042144092 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6656745475620955, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3622081103395467, 'global_pooling': 'max', 'learning_rate': 0.00019159786779450772, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8400042315724068, 'beta_1': 0.983492276959586, 'epsilon': 1.9138926143385058e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 17:24:11,640] Trial 184 finished with value: 0.9476126130719984 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.655900564934848, 'batch_size': 91, 'attention_heads': 9, 'hidden_dimension': 95, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35638363018422825, 'global_pooling': 'max', 'learning_rate': 0.00015177381245078285, 'weight_decay': 1.7105895495705756e-05, 'beta_0': 0.8491786921049485, 'beta_1': 0.9838628502679567, 'epsilon': 8.952266130586342e-06, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 17:31:12,781] Trial 185 finished with value: 0.9527368024523026 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6676805715085545, 'batch_size': 67, 'attention_heads': 7, 'hidden_dimension': 83, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3717673529364861, 'global_pooling': 'max', 'learning_rate': 0.00034501828182459686, 'weight_decay': 1.8985796220274553e-05, 'beta_0': 0.8424366278493869, 'beta_1': 0.9824178307975466, 'epsilon': 3.208375957061573e-05, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 17:37:26,327] Trial 186 finished with value: 0.9521499479280818 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6703179231459152, 'batch_size': 61, 'attention_heads': 7, 'hidden_dimension': 82, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3723533102947877, 'global_pooling': 'max', 'learning_rate': 0.00034510654805916313, 'weight_decay': 1.0735456523763477e-05, 'beta_0': 0.8390593700347555, 'beta_1': 0.9817568873926221, 'epsilon': 7.459789515187993e-05, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 17:43:35,974] Trial 187 finished with value: 0.9501343869635461 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.670853430218077, 'batch_size': 61, 'attention_heads': 7, 'hidden_dimension': 81, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3706178005163723, 'global_pooling': 'max', 'learning_rate': 0.00045099428661078537, 'weight_decay': 1.0730303001262572e-05, 'beta_0': 0.8582100353699934, 'beta_1': 0.9813491524530917, 'epsilon': 1.5930002700673331e-06, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 17:49:58,060] Trial 188 finished with value: 0.9455770129627732 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6860412847868688, 'batch_size': 56, 'attention_heads': 7, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.38339938103440613, 'global_pooling': 'max', 'learning_rate': 0.00035029798749848073, 'weight_decay': 1.4768357368078067e-05, 'beta_0': 0.8659097537902642, 'beta_1': 0.9823318942725321, 'epsilon': 9.971358502526441e-05, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:00:38,537] Trial 189 finished with value: 0.9272505211405212 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6774707599068297, 'batch_size': 47, 'attention_heads': 10, 'hidden_dimension': 72, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31505131460407276, 'global_pooling': 'sum', 'learning_rate': 0.00029971574281043516, 'weight_decay': 1.1928101746451955e-05, 'beta_0': 0.8397620858268089, 'beta_1': 0.9817690113592961, 'epsilon': 7.336576890663687e-05, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:06:33,100] Trial 190 finished with value: 0.9568330268492016 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6682005437576889, 'batch_size': 60, 'attention_heads': 6, 'hidden_dimension': 81, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3433847689024156, 'global_pooling': 'max', 'learning_rate': 0.0007675312266745718, 'weight_decay': 7.888776247207778e-06, 'beta_0': 0.8381805543646136, 'beta_1': 0.9820394847875571, 'epsilon': 3.2611233100786256e-05, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:12:25,952] Trial 191 finished with value: 0.953995035595738 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6701894651408634, 'batch_size': 65, 'attention_heads': 6, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33600532931850285, 'global_pooling': 'max', 'learning_rate': 0.0008102995134428589, 'weight_decay': 7.620987335306111e-06, 'beta_0': 0.8307061517855947, 'beta_1': 0.9811215749131275, 'epsilon': 6.284170648103977e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:17:50,210] Trial 192 finished with value: 0.9386716069118619 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6826405172274765, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3392854651713407, 'global_pooling': 'max', 'learning_rate': 0.0008112330811479759, 'weight_decay': 7.673399118811317e-06, 'beta_0': 0.8383481744753389, 'beta_1': 0.9809613898035213, 'epsilon': 3.192242511639042e-05, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:23:22,157] Trial 193 finished with value: 0.9533406639476474 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6745829898920426, 'batch_size': 69, 'attention_heads': 6, 'hidden_dimension': 55, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33333136201693425, 'global_pooling': 'max', 'learning_rate': 0.001179612871657058, 'weight_decay': 9.367230292550871e-06, 'beta_0': 0.8363751260274244, 'beta_1': 0.9813961641123286, 'epsilon': 6.59126701331637e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
