[I 2025-04-02 05:20:10,662] Using an existing study with name 'R8-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1136 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-02 05:41:21,354] Trial 86 finished with value: 0.9515923302378282 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 178, 'attention_heads': 15, 'hidden_dimension': 156, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4048699684125278, 'global_pooling': 'sum', 'learning_rate': 4.289508525680972e-05, 'weight_decay': 1.8088337220390983e-06, 'beta_0': 0.8770979018340199, 'beta_1': 0.9973513285928638, 'epsilon': 3.123964209484982e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 05:56:00,009] Trial 87 finished with value: 0.9521759634380282 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 219, 'attention_heads': 11, 'hidden_dimension': 144, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4001000321863384, 'global_pooling': 'sum', 'learning_rate': 0.00020735972399426035, 'weight_decay': 3.211821613537996e-06, 'beta_0': 0.868554377076553, 'beta_1': 0.9962013317571468, 'epsilon': 1.993799185639331e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 06:11:00,813] Trial 88 finished with value: 0.949831900265593 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 148, 'attention_heads': 12, 'hidden_dimension': 165, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3891814662222555, 'global_pooling': 'sum', 'learning_rate': 0.000498698380174686, 'weight_decay': 4.663171781528748e-06, 'beta_0': 0.8951611867112237, 'beta_1': 0.9956579035792095, 'epsilon': 1.7635964054489598e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
CUDA out of memory. Tried to allocate 1.98 GiB. GPU 0 has a total capacity of 44.56 GiB of which 818.69 MiB is free. Including non-PyTorch memory, this process has 43.75 GiB memory in use. Of the allocated memory 40.20 GiB is allocated by PyTorch, and 2.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-04-02 06:20:41,615] Trial 89 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 250, 'attention_heads': 14, 'hidden_dimension': 171, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4124509107983683, 'global_pooling': 'sum', 'learning_rate': 0.00026658804679273923, 'weight_decay': 1.7930325976349704e-06, 'beta_0': 0.8515856489254502, 'beta_1': 0.9950917949758085, 'epsilon': 1.334885774807905e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 06:36:43,301] Trial 90 finished with value: 0.9509291063757388 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 233, 'attention_heads': 13, 'hidden_dimension': 151, 'number_of_hidden_layers': 4, 'dropout_rate': 0.43609816072508617, 'global_pooling': 'mean', 'learning_rate': 0.00016244204286697565, 'weight_decay': 1.2189374055968194e-06, 'beta_0': 0.8904954602596712, 'beta_1': 0.9968624956919625, 'epsilon': 2.980587165733091e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 06:56:57,013] Trial 91 finished with value: 0.9559529981855042 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 192, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3839945298002638, 'global_pooling': 'sum', 'learning_rate': 9.435534328850972e-05, 'weight_decay': 1.1841025399712755e-05, 'beta_0': 0.8819724162961817, 'beta_1': 0.9978263811842857, 'epsilon': 5.088676369800056e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 07:12:16,681] Trial 92 finished with value: 0.9596221218743799 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 120, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3367382440558817, 'global_pooling': 'sum', 'learning_rate': 0.00035548439857333437, 'weight_decay': 3.089154760838963e-06, 'beta_0': 0.8716245846046575, 'beta_1': 0.998620381202381, 'epsilon': 1.5302045044164207e-07, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 07:36:34,912] Trial 93 finished with value: 0.95995913417807 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 158, 'attention_heads': 12, 'hidden_dimension': 248, 'number_of_hidden_layers': 4, 'dropout_rate': 0.37127438245686534, 'global_pooling': 'sum', 'learning_rate': 0.0001077636989838937, 'weight_decay': 2.2042321456900037e-06, 'beta_0': 0.8843882993374631, 'beta_1': 0.9933295388979241, 'epsilon': 2.0202408152716413e-08, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 07:53:12,858] Trial 94 finished with value: 0.9477956464467201 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 196, 'attention_heads': 13, 'hidden_dimension': 188, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3790103955019733, 'global_pooling': 'sum', 'learning_rate': 0.00012981231769288235, 'weight_decay': 1.0144082077955897e-06, 'beta_0': 0.8793069315090419, 'beta_1': 0.9983154768269799, 'epsilon': 1.2218161915274975e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 08:14:21,153] Trial 95 finished with value: 0.9519369673640273 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 188, 'attention_heads': 14, 'hidden_dimension': 200, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3207536813763222, 'global_pooling': 'sum', 'learning_rate': 0.0002328500868193521, 'weight_decay': 1.6085899463302822e-06, 'beta_0': 0.8675638021112737, 'beta_1': 0.9974513106913885, 'epsilon': 1.0357832942136222e-06, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
