[I 2025-03-31 19:52:28,723] Using an existing study with name 'R8-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1136 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-03-31 20:01:50,379] Trial 54 finished with value: 0.953387646169969 and parameters: {'left_stride': 0, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 121, 'attention_heads': 8, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5798965595514523, 'global_pooling': 'sum', 'learning_rate': 9.407113016680556e-05, 'weight_decay': 0.00016366719872455533, 'beta_0': 0.8186590927420356, 'beta_1': 0.9905748275808164, 'epsilon': 6.202767027921418e-06, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 20:10:46,062] Trial 55 finished with value: 0.9541601514643465 and parameters: {'left_stride': 0, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 110, 'attention_heads': 7, 'hidden_dimension': 52, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5709469957549904, 'global_pooling': 'sum', 'learning_rate': 0.00027170632905755706, 'weight_decay': 0.00014327938500899588, 'beta_0': 0.8297155269641276, 'beta_1': 0.9899582190793874, 'epsilon': 3.762607293800589e-06, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 20:21:58,903] Trial 56 finished with value: 0.949202516877059 and parameters: {'left_stride': 0, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 99, 'attention_heads': 14, 'hidden_dimension': 256, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5812683478098069, 'global_pooling': 'sum', 'learning_rate': 0.0004537035052780033, 'weight_decay': 0.00028007674619444324, 'beta_0': 0.8134528369082987, 'beta_1': 0.9928735298628921, 'epsilon': 1.5028453926723313e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 20:31:58,595] Trial 57 finished with value: 0.9496477361177559 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 148, 'attention_heads': 7, 'hidden_dimension': 62, 'number_of_hidden_layers': 1, 'dropout_rate': 0.553449589917126, 'global_pooling': 'sum', 'learning_rate': 0.00013085168500503598, 'weight_decay': 0.00010320741535319856, 'beta_0': 0.8210853980425941, 'beta_1': 0.988503513237792, 'epsilon': 8.17091281333417e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 20:44:04,805] Trial 58 finished with value: 0.9409240432711816 and parameters: {'left_stride': 0, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 41, 'attention_heads': 13, 'hidden_dimension': 198, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3669475547822848, 'global_pooling': 'mean', 'learning_rate': 0.0007617936297030357, 'weight_decay': 0.0006984560309960337, 'beta_0': 0.8392882731579778, 'beta_1': 0.9961347668829671, 'epsilon': 3.5383526111715774e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 20:53:37,765] Trial 59 finished with value: 0.9314655418781578 and parameters: {'left_stride': 256, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 203, 'attention_heads': 9, 'hidden_dimension': 80, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4932959138167278, 'global_pooling': 'sum', 'learning_rate': 7.630141720681383e-05, 'weight_decay': 8.123177385304826e-05, 'beta_0': 0.8345417696089203, 'beta_1': 0.9918091142079024, 'epsilon': 2.9213647877302834e-06, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 21:04:46,144] Trial 60 finished with value: 0.9340264916196144 and parameters: {'left_stride': 64, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 128, 'attention_heads': 15, 'hidden_dimension': 126, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41881468826192125, 'global_pooling': 'sum', 'learning_rate': 0.0025552919252366255, 'weight_decay': 4.7442921351499215e-05, 'beta_0': 0.8028373682537574, 'beta_1': 0.9909875316604004, 'epsilon': 1.2829176679078836e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 10, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 21:21:50,849] Trial 61 finished with value: 0.9651457645557096 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 145, 'attention_heads': 11, 'hidden_dimension': 179, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5880167727180949, 'global_pooling': 'sum', 'learning_rate': 0.00017758388596631768, 'weight_decay': 2.001531454735525e-06, 'beta_0': 0.8243014548013536, 'beta_1': 0.995380518563101, 'epsilon': 1.7588154505733442e-06, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 15 with value: 0.9653307560834745.
[I 2025-03-31 21:45:33,735] Trial 62 finished with value: 0.9687154820835029 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 142, 'attention_heads': 11, 'hidden_dimension': 220, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3167550979480197, 'global_pooling': 'sum', 'learning_rate': 0.00015258862626954853, 'weight_decay': 2.918181968078467e-06, 'beta_0': 0.8263755685763217, 'beta_1': 0.9951453804516743, 'epsilon': 7.189555241965714e-07, 'balanced_loss': True, 'epochs': 76, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-03-31 22:06:47,755] Trial 63 finished with value: 0.9494102521884638 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 140, 'attention_heads': 11, 'hidden_dimension': 218, 'number_of_hidden_layers': 4, 'dropout_rate': 0.31316674721939664, 'global_pooling': 'sum', 'learning_rate': 0.00039789363189599513, 'weight_decay': 2.7430124500926822e-06, 'beta_0': 0.8262772050317414, 'beta_1': 0.9938897895490576, 'epsilon': 6.427564449011893e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-03-31 22:39:16,015] Trial 64 finished with value: 0.951684746008367 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 183, 'attention_heads': 11, 'hidden_dimension': 233, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3037953898408225, 'global_pooling': 'sum', 'learning_rate': 3.6193534197685616e-05, 'weight_decay': 1.1248212634303535e-06, 'beta_0': 0.8293444099961529, 'beta_1': 0.9953966753332978, 'epsilon': 8.076661456785373e-07, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-03-31 23:00:52,263] Trial 65 finished with value: 0.9543441110316133 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 152, 'attention_heads': 12, 'hidden_dimension': 214, 'number_of_hidden_layers': 4, 'dropout_rate': 0.32946545163965874, 'global_pooling': 'sum', 'learning_rate': 0.00017887311399663038, 'weight_decay': 1.948869328691275e-06, 'beta_0': 0.8235700203753199, 'beta_1': 0.9972689823142477, 'epsilon': 1.832518581424102e-06, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-03-31 23:26:44,366] Trial 66 finished with value: 0.9539847683759812 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 115, 'attention_heads': 14, 'hidden_dimension': 230, 'number_of_hidden_layers': 4, 'dropout_rate': 0.31972108024300133, 'global_pooling': 'sum', 'learning_rate': 0.0006460320724579698, 'weight_decay': 5.711664010110508e-06, 'beta_0': 0.8456720826990928, 'beta_1': 0.9988624691155331, 'epsilon': 1.629710128536702e-06, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-03-31 23:44:10,773] Trial 67 finished with value: 0.9474143443823572 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 224, 'attention_heads': 12, 'hidden_dimension': 169, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3877404086672249, 'global_pooling': 'sum', 'learning_rate': 0.0013915905563589633, 'weight_decay': 3.586711065659105e-06, 'beta_0': 0.832278520744137, 'beta_1': 0.9965861087913804, 'epsilon': 4.121573397030567e-07, 'balanced_loss': True, 'epochs': 59, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 00:00:06,219] Trial 68 finished with value: 0.9460438697623246 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 161, 'attention_heads': 10, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5606998978721953, 'global_pooling': 'max', 'learning_rate': 0.0010281328968848216, 'weight_decay': 2.1987435796904407e-06, 'beta_0': 0.837577236542548, 'beta_1': 0.9948075580231822, 'epsilon': 2.6823099277747635e-06, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 00:18:54,528] Trial 69 finished with value: 0.9635449932300519 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 196, 'attention_heads': 13, 'hidden_dimension': 178, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3550328371492326, 'global_pooling': 'sum', 'learning_rate': 0.00013472838010713238, 'weight_decay': 1.5538670503243026e-06, 'beta_0': 0.8853059347720292, 'beta_1': 0.9980152273390166, 'epsilon': 2.1387474897920887e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 00:37:15,071] Trial 70 finished with value: 0.961813487998306 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 176, 'attention_heads': 13, 'hidden_dimension': 184, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35901848772489947, 'global_pooling': 'sum', 'learning_rate': 9.683103708589624e-05, 'weight_decay': 1.4705282315696351e-06, 'beta_0': 0.8787910572920299, 'beta_1': 0.9975652799249235, 'epsilon': 1.927197452475605e-08, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 00:57:25,403] Trial 71 finished with value: 0.9441515402489793 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 177, 'attention_heads': 13, 'hidden_dimension': 194, 'number_of_hidden_layers': 4, 'dropout_rate': 0.34621480493185425, 'global_pooling': 'mean', 'learning_rate': 0.00015771963652425777, 'weight_decay': 1.4052623428090152e-06, 'beta_0': 0.8825557766022636, 'beta_1': 0.998054921052098, 'epsilon': 1.931666688065694e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 01:15:32,560] Trial 72 finished with value: 0.9519658172819532 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 191, 'attention_heads': 12, 'hidden_dimension': 183, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35348884672183034, 'global_pooling': 'sum', 'learning_rate': 7.78721669657003e-05, 'weight_decay': 3.933844460102689e-06, 'beta_0': 0.8856602112592293, 'beta_1': 0.9972155426254896, 'epsilon': 3.545539005293555e-08, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 13, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 01:30:53,355] Trial 73 finished with value: 0.9609459171577884 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 198, 'attention_heads': 13, 'hidden_dimension': 179, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36203064684467934, 'global_pooling': 'sum', 'learning_rate': 0.00013477497878141255, 'weight_decay': 1.4270955863766225e-06, 'beta_0': 0.8627895602314177, 'beta_1': 0.9982065962797799, 'epsilon': 1.3414260495644433e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 01:49:32,733] Trial 74 finished with value: 0.9490168085215295 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 206, 'attention_heads': 13, 'hidden_dimension': 183, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3589928811305539, 'global_pooling': 'sum', 'learning_rate': 0.00011668381979668795, 'weight_decay': 1.5318331181789407e-06, 'beta_0': 0.8760594952823996, 'beta_1': 0.9980434068984331, 'epsilon': 1.700856243161961e-08, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 02:09:30,372] Trial 75 finished with value: 0.9574336624221615 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 171, 'attention_heads': 14, 'hidden_dimension': 163, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3743553290161668, 'global_pooling': 'sum', 'learning_rate': 5.250419701414848e-05, 'weight_decay': 1.592348650257257e-06, 'beta_0': 0.8995570320457439, 'beta_1': 0.9961246874599258, 'epsilon': 2.4451184556404522e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 11, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 02:28:37,541] Trial 76 finished with value: 0.9497892462952391 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 199, 'attention_heads': 12, 'hidden_dimension': 176, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36410408505449066, 'global_pooling': 'sum', 'learning_rate': 8.144088820964901e-05, 'weight_decay': 1.0186649123429176e-06, 'beta_0': 0.8625686607489261, 'beta_1': 0.998922137588313, 'epsilon': 1.0040094588638551e-08, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 02:46:03,625] Trial 77 finished with value: 0.9605517340361914 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 186, 'attention_heads': 13, 'hidden_dimension': 205, 'number_of_hidden_layers': 4, 'dropout_rate': 0.34027311180074443, 'global_pooling': 'sum', 'learning_rate': 0.00021398114761683807, 'weight_decay': 2.640910309470248e-06, 'beta_0': 0.8728740960273927, 'beta_1': 0.9969659069428458, 'epsilon': 1.4674147652708574e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 10, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 03:09:40,778] Trial 78 finished with value: 0.9658905694344617 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 138, 'attention_heads': 14, 'hidden_dimension': 225, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3982932992790181, 'global_pooling': 'sum', 'learning_rate': 0.00014526958000835646, 'weight_decay': 4.42305371754617e-06, 'beta_0': 0.8929146290116282, 'beta_1': 0.9977456257739633, 'epsilon': 5.232254586775342e-08, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 03:30:02,324] Trial 79 finished with value: 0.959401951173492 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 137, 'attention_heads': 14, 'hidden_dimension': 226, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38415192367200757, 'global_pooling': 'sum', 'learning_rate': 0.00030500362641955087, 'weight_decay': 7.941386164597765e-06, 'beta_0': 0.892116248062796, 'beta_1': 0.9956919430302755, 'epsilon': 5.864153678752071e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 11, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
CUDA out of memory. Tried to allocate 1.91 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.20 GiB is free. Including non-PyTorch memory, this process has 43.35 GiB memory in use. Of the allocated memory 37.50 GiB is allocated by PyTorch, and 4.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-04-01 03:44:23,757] Trial 80 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 145, 'attention_heads': 16, 'hidden_dimension': 223, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39709465371402425, 'global_pooling': 'sum', 'learning_rate': 0.00010348353366872474, 'weight_decay': 4.7792594833439375e-06, 'beta_0': 0.888375616348496, 'beta_1': 0.9976045522903753, 'epsilon': 2.595523215869907e-08, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 04:13:07,324] Trial 81 finished with value: 0.9469201006200461 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 154, 'attention_heads': 14, 'hidden_dimension': 241, 'number_of_hidden_layers': 3, 'dropout_rate': 0.37394943012299586, 'global_pooling': 'sum', 'learning_rate': 3.041266984055849e-05, 'weight_decay': 2.5769256815489783e-06, 'beta_0': 0.8802959365996457, 'beta_1': 0.9943099163052572, 'epsilon': 9.254994787708684e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 04:30:25,805] Trial 82 finished with value: 0.9492803721313966 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 164, 'attention_heads': 15, 'hidden_dimension': 191, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4262591621981257, 'global_pooling': 'max', 'learning_rate': 0.00015817540389417996, 'weight_decay': 2.1878143335833654e-06, 'beta_0': 0.8944703872558463, 'beta_1': 0.996557848553867, 'epsilon': 2.213892772665315e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 04:51:22,741] Trial 83 finished with value: 0.950178783242672 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 208, 'attention_heads': 13, 'hidden_dimension': 178, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35351539836858303, 'global_pooling': 'sum', 'learning_rate': 6.68665104479658e-05, 'weight_decay': 1.3365243635995932e-06, 'beta_0': 0.8877525455777571, 'beta_1': 0.9982089425552665, 'epsilon': 4.102331577683215e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-01 05:15:02,014] Trial 84 finished with value: 0.9665087171590834 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 196, 'attention_heads': 13, 'hidden_dimension': 161, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4014423638009895, 'global_pooling': 'sum', 'learning_rate': 0.00014779776241464451, 'weight_decay': 1.6470704406115156e-06, 'beta_0': 0.8631691934302723, 'beta_1': 0.9975807278511842, 'epsilon': 1.2218023410554542e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
