split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,45,46080,331,331,46411
train,1,16,16384,100,100,16484
train,2,31,31744,215,215,31959
train,3,20,20480,128,128,20608
train,4,39,39936,273,273,40209
train,5,21,21504,149,149,21653
train,6,13,13312,85,85,13397
train,7,19,19456,119,119,19575
train,8,19,19456,127,127,19583
train,9,30,30720,210,210,30930
train,10,28,28672,206,206,28878
train,11,22,22528,144,144,22672
train,12,23,23552,163,163,23715
train,13,10,10240,58,58,10298
train,14,13,13312,81,81,13393
train,15,15,15360,93,93,15453
train,16,26,26624,182,182,26806
train,17,9,9216,51,51,9267
train,18,20,20480,134,134,20614
train,19,32,32768,216,216,32984
train,20,13,13312,79,79,13391
train,21,4,4096,16,16,4112
train,22,33,33792,235,235,34027
train,23,17,17408,113,113,17521
train,24,12,12288,72,72,12360
train,25,18,18432,120,120,18552
train,26,21,21504,133,133,21637
train,27,30,30720,204,204,30924
train,28,20,20480,128,128,20608
train,29,5,5120,23,23,5143
train,30,33,33792,219,219,34011
train,31,23,23552,149,149,23701
train,32,4,4096,16,16,4112
train,33,20,20480,140,140,20620
train,34,35,35840,245,245,36085
train,35,29,29696,217,217,29913
train,36,31,31744,245,245,31989
train,37,32,32768,226,226,32994
train,38,33,33792,233,233,34025
train,39,32,32768,222,222,32990
train,40,25,25600,177,177,25777
train,41,17,17408,107,107,17515
train,42,14,14336,92,92,14428
train,43,15,15360,93,93,15453
train,44,32,32768,230,230,32998
train,45,17,17408,107,107,17515
train,46,23,23552,149,149,23701
train,47,26,26624,180,180,26804
train,48,38,38912,260,260,39172
train,49,16,16384,104,104,16488
train,50,13,13312,85,85,13397
train,51,29,29696,191,191,29887
train,52,28,28672,194,194,28866
train,53,23,23552,169,169,23721
train,54,16,16384,102,102,16486
train,55,26,26624,176,176,26800
train,56,13,13312,81,81,13393
train,57,4,4096,16,16,4112
train,58,30,30720,216,216,30936
train,59,24,24576,162,162,24738
train,60,5,5120,23,23,5143
train,61,31,31744,217,217,31961
train,62,23,23552,155,155,23707
train,63,16,16384,104,104,16488
train,64,5,5120,23,23,5143
train,65,16,16384,100,100,16484
train,66,20,20480,138,138,20618
train,67,22,22528,152,152,22680
train,68,21,21504,141,141,21645
train,69,36,36864,268,268,37132
train,70,7,7168,37,37,7205
