[I 2024-12-10 05:16:07,583] Using an existing study with name 'SST-2-GATv2-facebook-bart-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-10 05:22:28,353] Trial 114 finished with value: 0.9518348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6055097156637782, 'batch_size': 219, 'attention_heads': 8, 'hidden_dimension': 56, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5844834650718685, 'global_pooling': 'max', 'learning_rate': 0.0019718889933175786, 'weight_decay': 4.6474207434727335e-06, 'beta_0': 0.8378043406276168, 'beta_1': 0.9932841423776535, 'epsilon': 2.5379523954348334e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 05:28:33,111] Trial 115 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6064782555255918, 'batch_size': 220, 'attention_heads': 8, 'hidden_dimension': 38, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5684171168240211, 'global_pooling': 'max', 'learning_rate': 0.001955029535385863, 'weight_decay': 4.747192267630298e-06, 'beta_0': 0.8376366427184143, 'beta_1': 0.9941490795189261, 'epsilon': 2.5244576905369285e-07, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 05:35:35,870] Trial 116 finished with value: 0.9518348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6182058522267065, 'batch_size': 185, 'attention_heads': 8, 'hidden_dimension': 67, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5852361184923593, 'global_pooling': 'max', 'learning_rate': 0.003403367893848257, 'weight_decay': 4.221135794960287e-06, 'beta_0': 0.83364883961246, 'beta_1': 0.993153571773334, 'epsilon': 1.8242298692461825e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 05:41:41,261] Trial 117 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6398615012386303, 'batch_size': 182, 'attention_heads': 9, 'hidden_dimension': 55, 'number_of_hidden_layers': 3, 'dropout_rate': 0.32953379999680993, 'global_pooling': 'max', 'learning_rate': 0.0034209937702323044, 'weight_decay': 5.055144289623321e-06, 'beta_0': 0.8345370375504654, 'beta_1': 0.9926235493898935, 'epsilon': 2.882432733321491e-07, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 05:47:34,912] Trial 118 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.549221753741118, 'batch_size': 187, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3182263989111541, 'global_pooling': 'max', 'learning_rate': 0.005054282867704142, 'weight_decay': 4.344825416144562e-06, 'beta_0': 0.8331157771293797, 'beta_1': 0.9931275087211089, 'epsilon': 1.7681881116674873e-07, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 05:54:03,116] Trial 119 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6189592704636108, 'batch_size': 58, 'attention_heads': 9, 'hidden_dimension': 42, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5791622391730193, 'global_pooling': 'max', 'learning_rate': 0.005743202851815024, 'weight_decay': 2.711013985031111e-06, 'beta_0': 0.8406277157567487, 'beta_1': 0.9947916643016772, 'epsilon': 2.136319730790214e-07, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:00:23,686] Trial 120 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5909310511468969, 'batch_size': 248, 'attention_heads': 11, 'hidden_dimension': 61, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5609333458535469, 'global_pooling': 'max', 'learning_rate': 0.0022947027358784892, 'weight_decay': 6.668319821213013e-06, 'beta_0': 0.8366449718917274, 'beta_1': 0.9934919794654927, 'epsilon': 9.993812998045489e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:06:45,904] Trial 121 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5742699727578114, 'batch_size': 192, 'attention_heads': 8, 'hidden_dimension': 48, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5704348522840922, 'global_pooling': 'max', 'learning_rate': 0.004107218909570218, 'weight_decay': 1.94673384775723e-06, 'beta_0': 0.8386085033647195, 'beta_1': 0.9942318696210377, 'epsilon': 1.6300673896684753e-07, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:13:01,904] Trial 122 finished with value: 0.9495412844036697 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6024439992405055, 'batch_size': 207, 'attention_heads': 8, 'hidden_dimension': 68, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5862816681109555, 'global_pooling': 'max', 'learning_rate': 0.0017315066509087165, 'weight_decay': 4.0100729190565476e-06, 'beta_0': 0.843400284099355, 'beta_1': 0.9937352175059508, 'epsilon': 1.382362972360855e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:19:25,194] Trial 123 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6086499245396366, 'batch_size': 216, 'attention_heads': 10, 'hidden_dimension': 53, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5842928639627225, 'global_pooling': 'max', 'learning_rate': 0.0013849513230716586, 'weight_decay': 5.415315034366589e-06, 'beta_0': 0.8309623291570769, 'beta_1': 0.9931094978919472, 'epsilon': 3.1176032605772074e-07, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:25:44,411] Trial 124 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6146766506948456, 'batch_size': 212, 'attention_heads': 8, 'hidden_dimension': 74, 'number_of_hidden_layers': 3, 'dropout_rate': 0.588774227383378, 'global_pooling': 'max', 'learning_rate': 0.0030410992846457256, 'weight_decay': 3.6290571088373107e-06, 'beta_0': 0.8260715258382543, 'beta_1': 0.9922347584865544, 'epsilon': 1.1236025434221949e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:32:11,277] Trial 125 finished with value: 0.9506880733944955 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5969829468929717, 'batch_size': 205, 'attention_heads': 7, 'hidden_dimension': 67, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5802845614181815, 'global_pooling': 'max', 'learning_rate': 0.0021058322851756667, 'weight_decay': 9.132615772771794e-06, 'beta_0': 0.8467229341902689, 'beta_1': 0.9916240039048656, 'epsilon': 2.269150110029917e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:38:12,127] Trial 126 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5961606550229976, 'batch_size': 195, 'attention_heads': 6, 'hidden_dimension': 46, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43555897824779083, 'global_pooling': 'max', 'learning_rate': 0.002268479901539624, 'weight_decay': 9.230154108415477e-06, 'beta_0': 0.8513561207435786, 'beta_1': 0.9926366604510084, 'epsilon': 1.8208300840599155e-07, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:44:06,817] Trial 127 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5827492378103257, 'batch_size': 227, 'attention_heads': 4, 'hidden_dimension': 61, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5771426506101744, 'global_pooling': 'max', 'learning_rate': 0.0033078152691203753, 'weight_decay': 7.2921713950038455e-06, 'beta_0': 0.8474415008368461, 'beta_1': 0.9916615023456952, 'epsilon': 2.164635156585429e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:49:59,723] Trial 128 finished with value: 0.9506880733944955 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6342742325215793, 'batch_size': 204, 'attention_heads': 7, 'hidden_dimension': 39, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5997659919570175, 'global_pooling': 'max', 'learning_rate': 0.0016861504491542556, 'weight_decay': 1.1362539975512912e-05, 'beta_0': 0.8416923143146742, 'beta_1': 0.9921050335967528, 'epsilon': 8.862269240075583e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 06:56:15,589] Trial 129 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6638527771992928, 'batch_size': 223, 'attention_heads': 9, 'hidden_dimension': 38, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5992346007738856, 'global_pooling': 'max', 'learning_rate': 0.001713397843775885, 'weight_decay': 1.2464294621612056e-05, 'beta_0': 0.8448819971553003, 'beta_1': 0.9906952293841012, 'epsilon': 8.436493584341449e-08, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:02:26,817] Trial 130 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6333990619356636, 'batch_size': 189, 'attention_heads': 7, 'hidden_dimension': 50, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5724778285787463, 'global_pooling': 'mean', 'learning_rate': 0.002521530811087142, 'weight_decay': 1.152557158198445e-05, 'beta_0': 0.8408561250441992, 'beta_1': 0.9920726334483575, 'epsilon': 5.45704011440227e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:09:31,895] Trial 131 finished with value: 0.9369266055045872 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6454836207533299, 'batch_size': 34, 'attention_heads': 7, 'hidden_dimension': 42, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3637204502973257, 'global_pooling': 'max', 'learning_rate': 0.010751141389443716, 'weight_decay': 9.430312358328772e-06, 'beta_0': 0.8491770279143368, 'beta_1': 0.9914285535300468, 'epsilon': 2.332218462081998e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:15:44,129] Trial 132 finished with value: 0.9506880733944955 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6196431981150792, 'batch_size': 204, 'attention_heads': 7, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5929042854317758, 'global_pooling': 'max', 'learning_rate': 0.0010355758625609228, 'weight_decay': 1.7397551026607348e-05, 'beta_0': 0.8423239207234469, 'beta_1': 0.9931911003640052, 'epsilon': 1.225673962231189e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:21:57,553] Trial 133 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6277592153285565, 'batch_size': 206, 'attention_heads': 7, 'hidden_dimension': 55, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5935885727940136, 'global_pooling': 'max', 'learning_rate': 0.002008157897771133, 'weight_decay': 1.6097973710123333e-05, 'beta_0': 0.8427497305750604, 'beta_1': 0.9929136927550364, 'epsilon': 1.230011378299028e-07, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
