Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-19 04:55:17,165] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2024-12-19 05:02:07,095] Trial 83 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7889278332259337, 'batch_size': 241, 'attention_heads': 9, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5799884908645114, 'global_pooling': 'mean', 'learning_rate': 0.0007641915825754855, 'weight_decay': 0.0005779105615620598, 'beta_0': 0.8407104878617423, 'beta_1': 0.9851331033706553, 'epsilon': 6.111404134400725e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 05:08:38,970] Trial 84 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7417426586205461, 'batch_size': 106, 'attention_heads': 9, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5745698958766758, 'global_pooling': 'mean', 'learning_rate': 0.0010914018305261488, 'weight_decay': 0.00040849168506845794, 'beta_0': 0.8908567574618216, 'beta_1': 0.9919267788051118, 'epsilon': 3.802832484617265e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 05:14:26,882] Trial 85 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6379716962628212, 'batch_size': 237, 'attention_heads': 7, 'hidden_dimension': 234, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5664130733905607, 'global_pooling': 'mean', 'learning_rate': 0.0005169945730494805, 'weight_decay': 3.729711593882259e-05, 'beta_0': 0.8018286059354947, 'beta_1': 0.9924524577584899, 'epsilon': 4.271512207737012e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 05:20:23,251] Trial 86 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7287912421334155, 'batch_size': 214, 'attention_heads': 8, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32270338516705616, 'global_pooling': 'mean', 'learning_rate': 0.0015679931913575977, 'weight_decay': 0.00035351897503228244, 'beta_0': 0.8456755313871541, 'beta_1': 0.9910903198328838, 'epsilon': 3.004456841871989e-06, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 05:30:45,805] Trial 87 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7692078286840884, 'batch_size': 249, 'attention_heads': 10, 'hidden_dimension': 202, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5953666282124734, 'global_pooling': 'mean', 'learning_rate': 0.002870731066276798, 'weight_decay': 0.0001537678850573842, 'beta_0': 0.8351124848413435, 'beta_1': 0.9864780462303723, 'epsilon': 1.9712305213077427e-06, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 05:47:07,549] Trial 88 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7041146393696541, 'batch_size': 217, 'attention_heads': 15, 'hidden_dimension': 215, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5208879263965824, 'global_pooling': 'mean', 'learning_rate': 0.0004249314408893091, 'weight_decay': 1.0956241419686324e-05, 'beta_0': 0.8501151445408954, 'beta_1': 0.9882286779852902, 'epsilon': 1.2273510172382367e-06, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 05:53:24,017] Trial 89 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5637308847535165, 'batch_size': 140, 'attention_heads': 12, 'hidden_dimension': 184, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5472149157014907, 'global_pooling': 'mean', 'learning_rate': 0.00024511027500039603, 'weight_decay': 0.0002823481830368765, 'beta_0': 0.859930905810062, 'beta_1': 0.9905461414579668, 'epsilon': 5.284702146735416e-06, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 06:01:00,298] Trial 90 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6188292585169282, 'batch_size': 187, 'attention_heads': 7, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5997532036976118, 'global_pooling': 'sum', 'learning_rate': 0.0012738960940261348, 'weight_decay': 0.00020729020046007012, 'beta_0': 0.8549187118524324, 'beta_1': 0.9894192316335232, 'epsilon': 1.1812877046731423e-05, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 06:09:18,415] Trial 91 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6262184990803575, 'batch_size': 180, 'attention_heads': 6, 'hidden_dimension': 206, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5987841534765679, 'global_pooling': 'sum', 'learning_rate': 0.0012482152615925725, 'weight_decay': 0.0002175155287536017, 'beta_0': 0.8655790828801728, 'beta_1': 0.989516170623375, 'epsilon': 3.28389225298106e-05, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 06:17:15,058] Trial 92 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6251089949774231, 'batch_size': 183, 'attention_heads': 6, 'hidden_dimension': 208, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5894349715182027, 'global_pooling': 'sum', 'learning_rate': 0.0009995195361328718, 'weight_decay': 0.00022370823561498342, 'beta_0': 0.8547201452838471, 'beta_1': 0.9900125409470159, 'epsilon': 4.4337181507454194e-05, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 06:25:36,828] Trial 93 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.611429420178025, 'batch_size': 195, 'attention_heads': 7, 'hidden_dimension': 201, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5730080198073177, 'global_pooling': 'sum', 'learning_rate': 0.0013026396361374242, 'weight_decay': 0.00021618397813439805, 'beta_0': 0.8646657703465783, 'beta_1': 0.989269515977699, 'epsilon': 2.3673471809398657e-05, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 06:35:32,288] Trial 94 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5928379647462719, 'batch_size': 204, 'attention_heads': 7, 'hidden_dimension': 227, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5991465717126517, 'global_pooling': 'sum', 'learning_rate': 0.0006973682915006221, 'weight_decay': 0.0004832443556887901, 'beta_0': 0.8693299147203216, 'beta_1': 0.991497000156618, 'epsilon': 1.1825923579864625e-05, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 06:42:21,133] Trial 95 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6862676107694681, 'batch_size': 173, 'attention_heads': 6, 'hidden_dimension': 214, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5852514284862618, 'global_pooling': 'sum', 'learning_rate': 0.0019224865817212933, 'weight_decay': 0.00014947411744110548, 'beta_0': 0.8611845487510413, 'beta_1': 0.9895739263546087, 'epsilon': 2.954894809152222e-05, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 91 with value: 0.9346330275229358.
