[I 2024-11-29 03:47:57,995] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 03:55:23,022] Trial 144 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.920590000766377, 'batch_size': 26, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48710745390677607, 'global_pooling': 'mean', 'learning_rate': 0.0007739562508316864, 'weight_decay': 5.428311921884808e-06, 'beta_0': 0.8513535384727559, 'beta_1': 0.9824587528009517, 'epsilon': 6.96323730419582e-08, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 04:01:19,594] Trial 145 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9291881692958381, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47597712984692797, 'global_pooling': 'mean', 'learning_rate': 0.0012262768682672935, 'weight_decay': 7.67278237156809e-06, 'beta_0': 0.8594567666859938, 'beta_1': 0.9816391351627517, 'epsilon': 7.703133709823221e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 04:07:04,436] Trial 146 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9311335827682751, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 119, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4754659957788965, 'global_pooling': 'mean', 'learning_rate': 0.001211645702463277, 'weight_decay': 1.2433250338792135e-05, 'beta_0': 0.8697776916640448, 'beta_1': 0.9851436997417485, 'epsilon': 4.158120608425374e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 04:13:05,164] Trial 147 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9273393232858749, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4788999074323673, 'global_pooling': 'mean', 'learning_rate': 0.0011893677357010372, 'weight_decay': 1.31785136514002e-05, 'beta_0': 0.8657164256460123, 'beta_1': 0.9838168518357238, 'epsilon': 3.933765777185986e-08, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 04:18:28,915] Trial 148 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9314265094960928, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4746388721646632, 'global_pooling': 'mean', 'learning_rate': 0.00123163665975442, 'weight_decay': 1.39105131593026e-05, 'beta_0': 0.8588505166870656, 'beta_1': 0.981615099394679, 'epsilon': 3.9656329127924207e-08, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 04:23:57,538] Trial 149 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9318269002257216, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4774448574105818, 'global_pooling': 'mean', 'learning_rate': 0.0011980331890963638, 'weight_decay': 1.4316473621825268e-05, 'beta_0': 0.8658288421156645, 'beta_1': 0.9816543258410334, 'epsilon': 3.818288369895562e-08, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 04:29:21,055] Trial 150 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9283589514529021, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4781491391985563, 'global_pooling': 'mean', 'learning_rate': 0.0017238355739398693, 'weight_decay': 2.0623549070818023e-05, 'beta_0': 0.8656368210777834, 'beta_1': 0.9824381405896473, 'epsilon': 3.0550497504268845e-08, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 04:34:55,038] Trial 151 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9288729712812388, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 99, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4825982087569591, 'global_pooling': 'mean', 'learning_rate': 0.0016766376888520044, 'weight_decay': 2.5919658911264533e-05, 'beta_0': 0.804989899811022, 'beta_1': 0.9823155271295172, 'epsilon': 1.4007948743561562e-08, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 04:40:21,328] Trial 152 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9326964696996599, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49620495918078833, 'global_pooling': 'mean', 'learning_rate': 0.0013875891908137312, 'weight_decay': 1.7013516472176137e-05, 'beta_0': 0.865190598134817, 'beta_1': 0.9817800066280187, 'epsilon': 3.2178983804492985e-08, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 04:45:38,716] Trial 153 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9344817837797897, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 104, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4751344958369256, 'global_pooling': 'mean', 'learning_rate': 0.0009560366351688267, 'weight_decay': 1.950555787596478e-05, 'beta_0': 0.8728631298023842, 'beta_1': 0.981477784379584, 'epsilon': 2.0223657584599756e-08, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 04:50:56,937] Trial 154 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9356954654787855, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4721620192696305, 'global_pooling': 'mean', 'learning_rate': 0.0009243356624639394, 'weight_decay': 1.9670173750815744e-05, 'beta_0': 0.8724054349378271, 'beta_1': 0.9813179312732334, 'epsilon': 3.023357554719277e-08, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
