[I 2024-12-03 05:07:58,032] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:17:23,774] Trial 117 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.930286879069627, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5451948869983394, 'global_pooling': 'mean', 'learning_rate': 0.0039694708835641915, 'weight_decay': 1.1870087422017486e-06, 'beta_0': 0.8307767898251949, 'beta_1': 0.9813072812413489, 'epsilon': 5.522109503341595e-06, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 05:23:13,944] Trial 118 finished with value: 0.896969696969697 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9627920493174531, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5540254214660065, 'global_pooling': 'mean', 'learning_rate': 0.007403557101755749, 'weight_decay': 2.1981847121085413e-06, 'beta_0': 0.8482368951845984, 'beta_1': 0.9855910940707364, 'epsilon': 3.628650210419897e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 05:31:17,365] Trial 119 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9349224145741875, 'batch_size': 42, 'attention_heads': 5, 'hidden_dimension': 97, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49296299202760513, 'global_pooling': 'mean', 'learning_rate': 0.0025738542651939115, 'weight_decay': 3.813786142664352e-06, 'beta_0': 0.8270810721384243, 'beta_1': 0.9969501927516047, 'epsilon': 2.695063463414619e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 05:38:19,177] Trial 120 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9137066247783677, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5788358768483332, 'global_pooling': 'mean', 'learning_rate': 0.006048469704263788, 'weight_decay': 7.014481149798434e-05, 'beta_0': 0.8374036353663116, 'beta_1': 0.9830345448353923, 'epsilon': 2.340372961799106e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 05:48:35,769] Trial 121 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9487685056788128, 'batch_size': 24, 'attention_heads': 8, 'hidden_dimension': 134, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5085327547861169, 'global_pooling': 'sum', 'learning_rate': 0.003115600645526054, 'weight_decay': 4.4292568787871154e-05, 'beta_0': 0.8508308274095611, 'beta_1': 0.9818755010751816, 'epsilon': 1.8431555125721415e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 05:59:46,980] Trial 122 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9539761384284143, 'batch_size': 24, 'attention_heads': 9, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5089457060620364, 'global_pooling': 'sum', 'learning_rate': 0.0030056260250980234, 'weight_decay': 4.522655771821882e-05, 'beta_0': 0.8520867160482044, 'beta_1': 0.9814113593842757, 'epsilon': 1.7842946261851616e-06, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 06:10:52,117] Trial 123 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9535237423270528, 'batch_size': 24, 'attention_heads': 10, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5108322904961735, 'global_pooling': 'sum', 'learning_rate': 0.00311536628303313, 'weight_decay': 4.91849067637706e-05, 'beta_0': 0.8497852662523535, 'beta_1': 0.9805642049764188, 'epsilon': 1.7794159156880018e-06, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 06:23:24,980] Trial 124 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9492701465418653, 'batch_size': 23, 'attention_heads': 9, 'hidden_dimension': 148, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5067933970899839, 'global_pooling': 'sum', 'learning_rate': 0.0016575363567120091, 'weight_decay': 6.414036966031057e-05, 'beta_0': 0.8531552606771441, 'beta_1': 0.9817428125567381, 'epsilon': 9.042009429015634e-07, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 06:34:51,583] Trial 125 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9487095432346968, 'batch_size': 26, 'attention_heads': 9, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5210312511300745, 'global_pooling': 'sum', 'learning_rate': 0.0013572958073204183, 'weight_decay': 4.151234128952083e-05, 'beta_0': 0.8548221731772359, 'beta_1': 0.9827404141537678, 'epsilon': 1.2964857399212606e-06, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 06:47:12,678] Trial 126 finished with value: 0.9333333333333333 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9554782449126099, 'batch_size': 25, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49808420588237556, 'global_pooling': 'sum', 'learning_rate': 0.0021758885769592724, 'weight_decay': 3.3414441307095585e-05, 'beta_0': 0.8573771149131523, 'beta_1': 0.9816236581423551, 'epsilon': 2.210418611846124e-06, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 06:56:33,650] Trial 127 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9600939178644774, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4989428746621391, 'global_pooling': 'sum', 'learning_rate': 0.001140128183161215, 'weight_decay': 2.3234829916641426e-05, 'beta_0': 0.8571241582512512, 'beta_1': 0.981687296433894, 'epsilon': 2.167787511333673e-06, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
