[I 2024-11-23 03:14:46,105] Using an existing study with name 'IMDb-top_1000-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-23 03:21:50,270] Trial 150 finished with value: 0.8727272727272727 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9226759646604559, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 208, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4453193742840852, 'global_pooling': 'sum', 'learning_rate': 0.001272323368716927, 'weight_decay': 0.0003572203663915397, 'beta_0': 0.8698324915964912, 'beta_1': 0.9881141992631104, 'epsilon': 7.545743072208948e-08, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 03:28:13,405] Trial 151 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9337102082023294, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 185, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4981193094780735, 'global_pooling': 'mean', 'learning_rate': 0.0005605382568568708, 'weight_decay': 0.0008542552467141437, 'beta_0': 0.8732150606079019, 'beta_1': 0.9915165113146829, 'epsilon': 5.8148648505049463e-08, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 03:34:15,160] Trial 152 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9266710568278754, 'batch_size': 23, 'attention_heads': 6, 'hidden_dimension': 198, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48524070212697046, 'global_pooling': 'mean', 'learning_rate': 0.002450122121152482, 'weight_decay': 0.0005438184033726599, 'beta_0': 0.867644759088686, 'beta_1': 0.9946919342743524, 'epsilon': 1.8273238417239893e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 03:40:17,614] Trial 153 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9275315302492263, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 194, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4743325514590152, 'global_pooling': 'mean', 'learning_rate': 0.002101086168872208, 'weight_decay': 1.1752003418812842e-05, 'beta_0': 0.8771379155485127, 'beta_1': 0.9941420202127368, 'epsilon': 9.461918730468255e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 03:46:20,245] Trial 154 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9252994562201183, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 199, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4817653980843922, 'global_pooling': 'mean', 'learning_rate': 0.0040406417599627795, 'weight_decay': 0.0006299878769201267, 'beta_0': 0.8737054325511603, 'beta_1': 0.9950698571465947, 'epsilon': 1.5614228071471595e-07, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 03:52:30,024] Trial 155 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.930094970500726, 'batch_size': 16, 'attention_heads': 7, 'hidden_dimension': 189, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49365418079753826, 'global_pooling': 'mean', 'learning_rate': 0.0017430312520564058, 'weight_decay': 0.0004186980460729403, 'beta_0': 0.8412737216959213, 'beta_1': 0.9936541376257313, 'epsilon': 2.240559525734819e-07, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 03:58:43,771] Trial 156 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9197581065507358, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 195, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5032275389008755, 'global_pooling': 'mean', 'learning_rate': 0.0032359924925774368, 'weight_decay': 0.00013889931583788026, 'beta_0': 0.8654768161200365, 'beta_1': 0.9888900878893774, 'epsilon': 1.1794844066759528e-07, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:04:42,056] Trial 157 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9215925367513343, 'batch_size': 44, 'attention_heads': 5, 'hidden_dimension': 182, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5032365699118605, 'global_pooling': 'mean', 'learning_rate': 0.003125928942128449, 'weight_decay': 0.00011531224540662529, 'beta_0': 0.861339676590696, 'beta_1': 0.9891953886321486, 'epsilon': 7.331589516485264e-08, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:11:03,274] Trial 158 finished with value: 0.8727272727272727 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9182058024924289, 'batch_size': 42, 'attention_heads': 6, 'hidden_dimension': 203, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5151376566031338, 'global_pooling': 'mean', 'learning_rate': 0.004829490948149383, 'weight_decay': 0.00016974540776195979, 'beta_0': 0.8654216294954994, 'beta_1': 0.9887977716443705, 'epsilon': 1.0849973022893487e-06, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:17:20,438] Trial 159 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.920029904751194, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 193, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5245141997759784, 'global_pooling': 'mean', 'learning_rate': 0.000760084105749938, 'weight_decay': 0.0002053667198127711, 'beta_0': 0.8582360877418405, 'beta_1': 0.9897229328801426, 'epsilon': 4.468712021302955e-08, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:24:10,428] Trial 160 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9150190701996246, 'batch_size': 46, 'attention_heads': 7, 'hidden_dimension': 212, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48917694956759644, 'global_pooling': 'mean', 'learning_rate': 0.0010245889302233954, 'weight_decay': 0.00013695351210323657, 'beta_0': 0.8688422718147927, 'beta_1': 0.9918135330167713, 'epsilon': 1.08053831603804e-07, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
