[I 2025-02-19 23:50:00,569] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 00:07:06,400] Trial 109 finished with value: 0.6013413447364191 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9501530773235681, 'batch_size': 79, 'attention_heads': 16, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'max', 'learning_rate': 0.0016672184889731045, 'weight_decay': 0.00035201335912130824, 'beta_0': 0.8901694609158225, 'beta_1': 0.9887320318447872, 'epsilon': 6.516404007487742e-07, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 00:26:59,677] Trial 110 finished with value: 0.5997445078284588 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9241102382744512, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43803195457240446, 'global_pooling': 'max', 'learning_rate': 0.0008598644171574536, 'weight_decay': 0.0006411885087381329, 'beta_0': 0.8974467174907134, 'beta_1': 0.9896690727787945, 'epsilon': 3.059954226066318e-07, 'balanced_loss': True, 'epochs': 77, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 00:45:19,107] Trial 111 finished with value: 0.5842074597622445 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9462348653144503, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42850565050493683, 'global_pooling': 'max', 'learning_rate': 0.0025678251380946665, 'weight_decay': 0.0006042454828919267, 'beta_0': 0.8924251067507005, 'beta_1': 0.984850732459539, 'epsilon': 2.807623058583276e-07, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 01:03:02,686] Trial 112 finished with value: 0.611466324695743 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9306495354373707, 'batch_size': 84, 'attention_heads': 14, 'hidden_dimension': 41, 'number_of_hidden_layers': 2, 'dropout_rate': 0.403442382111812, 'global_pooling': 'max', 'learning_rate': 0.0011956943793602418, 'weight_decay': 0.0008325098738072474, 'beta_0': 0.8870188614723761, 'beta_1': 0.9877220702701636, 'epsilon': 1.9620121323284219e-07, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 01:19:12,986] Trial 113 finished with value: 0.5841567484853575 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9210415285509577, 'batch_size': 73, 'attention_heads': 15, 'hidden_dimension': 65, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37973935351086574, 'global_pooling': 'max', 'learning_rate': 0.0018270076814522927, 'weight_decay': 0.0005326578801053009, 'beta_0': 0.8997791343562525, 'beta_1': 0.9864119182139394, 'epsilon': 7.276993530926115e-08, 'balanced_loss': True, 'epochs': 55, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 01:41:44,490] Trial 114 finished with value: 0.6103388437588817 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9364606868635563, 'batch_size': 64, 'attention_heads': 16, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39271577067157076, 'global_pooling': 'max', 'learning_rate': 0.0014780271859489503, 'weight_decay': 0.00036452358746110364, 'beta_0': 0.884137151735942, 'beta_1': 0.9871488765818782, 'epsilon': 1.433743740478639e-06, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 02:01:52,287] Trial 115 finished with value: 0.6204995300149091 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9279628572070857, 'batch_size': 77, 'attention_heads': 16, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40002912549850367, 'global_pooling': 'max', 'learning_rate': 0.0008121528354762088, 'weight_decay': 0.0005388235232048107, 'beta_0': 0.8991606971220927, 'beta_1': 0.9870716234396699, 'epsilon': 1.239913175861967e-07, 'balanced_loss': True, 'epochs': 69, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 02:21:39,958] Trial 116 finished with value: 0.6192071682914709 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9404339069135451, 'batch_size': 77, 'attention_heads': 16, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41324840936472695, 'global_pooling': 'max', 'learning_rate': 0.0008226824687521311, 'weight_decay': 0.00045264052993495706, 'beta_0': 0.8932969826977071, 'beta_1': 0.9874634485334058, 'epsilon': 1.1475722462770176e-07, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 02:41:54,695] Trial 117 finished with value: 0.6129294100009514 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9414909085771408, 'batch_size': 77, 'attention_heads': 15, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4220375438471166, 'global_pooling': 'max', 'learning_rate': 0.0006332345512404433, 'weight_decay': 0.0004413360022178933, 'beta_0': 0.8920764233305479, 'beta_1': 0.9873937627364994, 'epsilon': 1.1544545912083139e-07, 'balanced_loss': True, 'epochs': 69, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 03:02:16,537] Trial 118 finished with value: 0.6153969684384462 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9507341346168342, 'batch_size': 83, 'attention_heads': 16, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38760082841048654, 'global_pooling': 'max', 'learning_rate': 0.0010340867506852592, 'weight_decay': 0.0006545370572921692, 'beta_0': 0.8876334890129474, 'beta_1': 0.988803906808491, 'epsilon': 1.1431929008577375e-07, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 03:21:06,152] Trial 119 finished with value: 0.6100745339218341 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9442046885730352, 'batch_size': 71, 'attention_heads': 15, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4121927576852073, 'global_pooling': 'max', 'learning_rate': 0.000713163369114526, 'weight_decay': 0.00027039389245864123, 'beta_0': 0.8934720494980389, 'beta_1': 0.9880545487014762, 'epsilon': 9.557594240550224e-08, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 03:44:59,396] Trial 120 finished with value: 0.06625923505084906 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9321881523275325, 'batch_size': 80, 'attention_heads': 16, 'hidden_dimension': 52, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43503508462507334, 'global_pooling': 'max', 'learning_rate': 0.034111360481763844, 'weight_decay': 0.0008054944718058695, 'beta_0': 0.8906769312237013, 'beta_1': 0.9856490186012029, 'epsilon': 5.7248780058642e-08, 'balanced_loss': True, 'epochs': 66, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
CUDA out of memory. Tried to allocate 3.82 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.70 GiB is free. Including non-PyTorch memory, this process has 40.86 GiB memory in use. Of the allocated memory 35.75 GiB is allocated by PyTorch, and 3.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
