[I 2025-04-02 05:24:37,879] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-04-02 05:39:27,045] Trial 234 finished with value: 0.5475317732485647 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8726041653400185, 'batch_size': 50, 'attention_heads': 10, 'hidden_dimension': 227, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30395301973900213, 'global_pooling': 'mean', 'learning_rate': 0.0004995215206737706, 'weight_decay': 0.0005380658856537114, 'beta_0': 0.8434566047757007, 'beta_1': 0.9924655022918006, 'epsilon': 6.726421515382366e-05, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 05:58:30,080] Trial 235 finished with value: 0.5704533578687664 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8863806505062645, 'batch_size': 53, 'attention_heads': 15, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5354389408182978, 'global_pooling': 'mean', 'learning_rate': 0.0006628372478988058, 'weight_decay': 0.0006106684863972248, 'beta_0': 0.87878850765787, 'beta_1': 0.9885354114822518, 'epsilon': 4.9451538786870463e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 06:16:37,735] Trial 236 finished with value: 0.5428643302160762 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8857363691754336, 'batch_size': 53, 'attention_heads': 15, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3700017368178331, 'global_pooling': 'mean', 'learning_rate': 0.000727404510140756, 'weight_decay': 1.9828073917738075e-06, 'beta_0': 0.8778356919450929, 'beta_1': 0.98848429282182, 'epsilon': 5.125545517228319e-05, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 06:34:38,320] Trial 237 finished with value: 0.5538686751815749 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8813055145394644, 'batch_size': 55, 'attention_heads': 14, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5382023407832721, 'global_pooling': 'mean', 'learning_rate': 0.0006417370387150482, 'weight_decay': 0.0006226575986774151, 'beta_0': 0.8790519630115554, 'beta_1': 0.9878179662446744, 'epsilon': 6.378893593063755e-05, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 06:52:47,360] Trial 238 finished with value: 0.5658310378994592 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8915644916833193, 'batch_size': 51, 'attention_heads': 15, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5299532996314287, 'global_pooling': 'mean', 'learning_rate': 0.00047242482772118, 'weight_decay': 1.5862375180645997e-06, 'beta_0': 0.8751992974979678, 'beta_1': 0.9886767322280353, 'epsilon': 4.3515769861272326e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 07:10:40,262] Trial 239 finished with value: 0.5465966076865886 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8864885350495465, 'batch_size': 53, 'attention_heads': 16, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5065633808537284, 'global_pooling': 'mean', 'learning_rate': 0.0009182741024523988, 'weight_decay': 0.000704414401485308, 'beta_0': 0.8530044928215786, 'beta_1': 0.9891010613839407, 'epsilon': 9.996989375096234e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 07:32:17,884] Trial 240 finished with value: 0.5459974199701692 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8948089310174487, 'batch_size': 58, 'attention_heads': 15, 'hidden_dimension': 201, 'number_of_hidden_layers': 2, 'dropout_rate': 0.516716135390166, 'global_pooling': 'mean', 'learning_rate': 0.0007577471151777133, 'weight_decay': 0.0005663111793335761, 'beta_0': 0.8820250463557727, 'beta_1': 0.992118901372563, 'epsilon': 7.520183973078687e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 07:48:35,585] Trial 241 finished with value: 0.5597547062637535 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9171746385987076, 'batch_size': 55, 'attention_heads': 15, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5341741713937772, 'global_pooling': 'mean', 'learning_rate': 0.0005929559404990511, 'weight_decay': 0.0004508011431303719, 'beta_0': 0.8356891955938802, 'beta_1': 0.988404956927861, 'epsilon': 5.6102623934235914e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 08:01:03,438] Trial 242 finished with value: 0.018477988785517947 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8990364897597629, 'batch_size': 51, 'attention_heads': 15, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5245204277048446, 'global_pooling': 'mean', 'learning_rate': 0.014780080015112867, 'weight_decay': 0.0007548857335283285, 'beta_0': 0.8798694144762981, 'beta_1': 0.9930635321710845, 'epsilon': 4.8507274364480694e-05, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 08:20:01,425] Trial 243 finished with value: 0.5737241414931187 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8818186680414317, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41633014351131636, 'global_pooling': 'mean', 'learning_rate': 0.001073179279025599, 'weight_decay': 0.0006358768252273286, 'beta_0': 0.8301453207975239, 'beta_1': 0.9925761680675135, 'epsilon': 6.508512212457973e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 08:37:54,001] Trial 244 finished with value: 0.4437555948287949 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8885792879897636, 'batch_size': 60, 'attention_heads': 14, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41621883888361255, 'global_pooling': 'mean', 'learning_rate': 0.0013395068242091075, 'weight_decay': 0.0006325800000269704, 'beta_0': 0.830071579442024, 'beta_1': 0.9927705606722559, 'epsilon': 6.195668449560482e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
