[I 2025-02-28 06:42:23,779] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 07:01:28,715] Trial 138 finished with value: 0.4521502872664994 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9587202581740613, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5290518266998102, 'global_pooling': 'mean', 'learning_rate': 0.000992610082673091, 'weight_decay': 3.849253049421895e-05, 'beta_0': 0.8447669834535882, 'beta_1': 0.9918800615068335, 'epsilon': 8.337176884712846e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 07:20:04,006] Trial 139 finished with value: 0.48001095400082777 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9733246405446279, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.561510930262653, 'global_pooling': 'mean', 'learning_rate': 0.0004965085845236064, 'weight_decay': 5.860927524459587e-05, 'beta_0': 0.8414578228553058, 'beta_1': 0.9913877829152062, 'epsilon': 6.046994109068384e-07, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 07:39:16,210] Trial 140 finished with value: 0.49348372247045197 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9695384202406806, 'batch_size': 36, 'attention_heads': 15, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5298218772190368, 'global_pooling': 'mean', 'learning_rate': 0.0006966493429832112, 'weight_decay': 3.069067527444118e-05, 'beta_0': 0.8335635154733034, 'beta_1': 0.9931496400369764, 'epsilon': 3.3931185923426973e-07, 'balanced_loss': True, 'epochs': 114, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 08:00:01,539] Trial 141 finished with value: 0.5041798456810366 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9590173734460955, 'batch_size': 38, 'attention_heads': 15, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5146161083023949, 'global_pooling': 'mean', 'learning_rate': 0.0004890280027335677, 'weight_decay': 4.0889371869467736e-05, 'beta_0': 0.8450003088150734, 'beta_1': 0.9924336886601814, 'epsilon': 4.430952838438986e-07, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 08:22:28,533] Trial 142 finished with value: 0.5063807905445109 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9574941481711639, 'batch_size': 39, 'attention_heads': 16, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.515763644783316, 'global_pooling': 'mean', 'learning_rate': 0.0003577145516157695, 'weight_decay': 4.112599161913317e-05, 'beta_0': 0.8425423649318268, 'beta_1': 0.9911201753306004, 'epsilon': 4.383883295952141e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
CUDA out of memory. Tried to allocate 3.30 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.82 GiB is free. Including non-PyTorch memory, this process has 42.74 GiB memory in use. Of the allocated memory 41.15 GiB is allocated by PyTorch, and 453.01 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 08:35:22,681] Trial 143 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9589749793554502, 'batch_size': 128, 'attention_heads': 16, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5146936135476193, 'global_pooling': 'mean', 'learning_rate': 0.0008343840849414971, 'weight_decay': 4.309238186137736e-05, 'beta_0': 0.8416752864919351, 'beta_1': 0.9910987910727496, 'epsilon': 4.082681230514212e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 08:55:47,378] Trial 144 finished with value: 0.5379792613443007 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9679177942671587, 'batch_size': 39, 'attention_heads': 14, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5416920296346099, 'global_pooling': 'max', 'learning_rate': 0.0003703717614878291, 'weight_decay': 4.910776723962668e-05, 'beta_0': 0.8481677460991308, 'beta_1': 0.9920002749091503, 'epsilon': 2.272543788381011e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 09:15:17,661] Trial 145 finished with value: 0.4808525624210333 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9676471651079271, 'batch_size': 39, 'attention_heads': 14, 'hidden_dimension': 98, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5416793233395122, 'global_pooling': 'mean', 'learning_rate': 0.00037410440245393443, 'weight_decay': 2.186660097143981e-05, 'beta_0': 0.8391160486829483, 'beta_1': 0.9919036178928355, 'epsilon': 2.0459529518112068e-07, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 09:35:28,181] Trial 146 finished with value: 0.511518972923294 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9739875941879481, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5348488617213518, 'global_pooling': 'max', 'learning_rate': 0.0006125925719721846, 'weight_decay': 3.921189585016086e-05, 'beta_0': 0.8490166812623674, 'beta_1': 0.9928930101465803, 'epsilon': 1.1142498786412664e-06, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 09:56:04,999] Trial 147 finished with value: 0.5114277281953836 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9763133195820983, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5568124509269362, 'global_pooling': 'max', 'learning_rate': 0.0006225820589505289, 'weight_decay': 3.6631870875071895e-05, 'beta_0': 0.8493296183543477, 'beta_1': 0.9927788114979659, 'epsilon': 1.124437436053777e-06, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 10:15:54,940] Trial 148 finished with value: 0.5249342189622715 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9734252075596879, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 123, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5599957702137023, 'global_pooling': 'max', 'learning_rate': 0.0006294795148176457, 'weight_decay': 3.502021653464944e-05, 'beta_0': 0.8489519337641704, 'beta_1': 0.9915005182998674, 'epsilon': 1.1940999113733225e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 10:35:24,808] Trial 149 finished with value: 0.524711762808546 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9795942634031143, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5559450751518205, 'global_pooling': 'max', 'learning_rate': 0.0007309694506885449, 'weight_decay': 2.8247144334098962e-05, 'beta_0': 0.8483039526326651, 'beta_1': 0.9928060244632189, 'epsilon': 1.341196069606771e-06, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 10:54:45,920] Trial 150 finished with value: 0.4842507142932314 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9814415073510881, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.557250821316859, 'global_pooling': 'max', 'learning_rate': 0.0006461704724135727, 'weight_decay': 2.7028091254075144e-05, 'beta_0': 0.8495482856532268, 'beta_1': 0.9914129856193516, 'epsilon': 1.2422889518896086e-06, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 11:14:31,184] Trial 151 finished with value: 0.46108120991281454 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9756126636948399, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5851041321842556, 'global_pooling': 'max', 'learning_rate': 0.0009588154654150264, 'weight_decay': 3.687872162632093e-05, 'beta_0': 0.8486818112076082, 'beta_1': 0.9927460270920185, 'epsilon': 1.7006761275482573e-06, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 11:33:57,091] Trial 152 finished with value: 0.4915860107536487 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9722295481231776, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5400225009852159, 'global_pooling': 'max', 'learning_rate': 0.0007656827428741702, 'weight_decay': 3.303619799530306e-05, 'beta_0': 0.8522118574404902, 'beta_1': 0.9908843154051334, 'epsilon': 1.1225279381150417e-06, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 11:54:20,619] Trial 153 finished with value: 0.49297844808489716 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.979396607224947, 'batch_size': 43, 'attention_heads': 12, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5684885266586779, 'global_pooling': 'max', 'learning_rate': 0.0006329574827141063, 'weight_decay': 4.6716675519970824e-05, 'beta_0': 0.8468831715792972, 'beta_1': 0.9916493241796863, 'epsilon': 1.4473608885780078e-06, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 12:15:21,602] Trial 154 finished with value: 0.5116733010277514 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9705481827979836, 'batch_size': 48, 'attention_heads': 14, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5497202211864994, 'global_pooling': 'max', 'learning_rate': 0.000381518537404704, 'weight_decay': 5.0558946609132035e-05, 'beta_0': 0.8496188267811935, 'beta_1': 0.9903897276910667, 'epsilon': 7.195581840248509e-07, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
