[I 2025-03-24 20:21:44,041] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-24 20:36:25,921] Trial 209 finished with value: 0.6027611884854839 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8774550873786, 'batch_size': 70, 'attention_heads': 11, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.551350730784173, 'global_pooling': 'mean', 'learning_rate': 0.0008024497023673036, 'weight_decay': 2.290513141515367e-05, 'beta_0': 0.8321955105756308, 'beta_1': 0.9977228351425997, 'epsilon': 1.7430109462234172e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 20:52:53,530] Trial 210 finished with value: 0.6035529931403808 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8838484711860581, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 196, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5574599238842278, 'global_pooling': 'mean', 'learning_rate': 0.00026568470476229645, 'weight_decay': 2.7017917744290776e-05, 'beta_0': 0.8225612051004758, 'beta_1': 0.996527137362365, 'epsilon': 2.7947788126441636e-06, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 21:09:04,944] Trial 211 finished with value: 0.5985445439698995 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8660677490054559, 'batch_size': 68, 'attention_heads': 13, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47217678740835217, 'global_pooling': 'mean', 'learning_rate': 0.0006221374357960844, 'weight_decay': 1.2944005874757573e-05, 'beta_0': 0.8207487038904278, 'beta_1': 0.9984152179395367, 'epsilon': 1.933297342756796e-06, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 21:25:33,332] Trial 212 finished with value: 0.6080977969929643 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8744125974424416, 'batch_size': 74, 'attention_heads': 14, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4818675656729718, 'global_pooling': 'mean', 'learning_rate': 0.00044495956012394666, 'weight_decay': 1.9411517003621427e-05, 'beta_0': 0.824720253040352, 'beta_1': 0.9970755703902269, 'epsilon': 1.2628592502165818e-05, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 21:39:31,358] Trial 213 finished with value: 0.5784927712307073 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8556084847999088, 'batch_size': 77, 'attention_heads': 11, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45891801918706926, 'global_pooling': 'mean', 'learning_rate': 0.001116524386005202, 'weight_decay': 3.847536947649121e-05, 'beta_0': 0.8300975718129878, 'beta_1': 0.9980549443517253, 'epsilon': 7.306525453661579e-06, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 21:54:52,665] Trial 214 finished with value: 0.6284470711999188 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8893584444109977, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 221, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4509689093530286, 'global_pooling': 'mean', 'learning_rate': 0.00033732908551544833, 'weight_decay': 2.982274301670379e-05, 'beta_0': 0.8275301337647212, 'beta_1': 0.9989613686073705, 'epsilon': 4.892894479074444e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 22:10:06,123] Trial 215 finished with value: 0.6021615460562337 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8885727265809402, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4506758550521716, 'global_pooling': 'mean', 'learning_rate': 0.0003949799261708024, 'weight_decay': 2.4765047191661787e-05, 'beta_0': 0.8262093941967772, 'beta_1': 0.9989962396170292, 'epsilon': 4.733172684465344e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 22:26:12,745] Trial 216 finished with value: 0.6025907273468027 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8815034744965351, 'batch_size': 74, 'attention_heads': 12, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44418981191839574, 'global_pooling': 'mean', 'learning_rate': 0.0003191348324405234, 'weight_decay': 2.8398989635631644e-05, 'beta_0': 0.8277014314564501, 'beta_1': 0.9985888862025855, 'epsilon': 4.103383955733785e-06, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 22:40:58,325] Trial 217 finished with value: 0.6287650074305706 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8869251394601465, 'batch_size': 70, 'attention_heads': 12, 'hidden_dimension': 204, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4362665054703549, 'global_pooling': 'mean', 'learning_rate': 0.0005168152270633113, 'weight_decay': 3.0156843696588285e-05, 'beta_0': 0.8232074745893302, 'beta_1': 0.9973245049306136, 'epsilon': 6.266408778395388e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 22:55:20,890] Trial 218 finished with value: 0.6126842773417074 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8825305639006108, 'batch_size': 69, 'attention_heads': 12, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4230744170865375, 'global_pooling': 'mean', 'learning_rate': 0.0005318948389402233, 'weight_decay': 5.3423693289954064e-06, 'beta_0': 0.821325654776399, 'beta_1': 0.9974298893568596, 'epsilon': 6.048598864839854e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 23:08:13,458] Trial 219 finished with value: 0.06124770357055597 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8867334343201781, 'batch_size': 72, 'attention_heads': 12, 'hidden_dimension': 198, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4919832824913578, 'global_pooling': 'mean', 'learning_rate': 0.09285939748894982, 'weight_decay': 3.072659008354506e-05, 'beta_0': 0.8233637604459735, 'beta_1': 0.9978640252706785, 'epsilon': 3.3953933893141054e-06, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
