[I 2025-03-31 09:04:49,334] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-31 09:27:57,521] Trial 151 finished with value: 0.5266184571016004 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8754249836061104, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43240722222676925, 'global_pooling': 'mean', 'learning_rate': 3.669591461834728e-05, 'weight_decay': 0.0003055769204551954, 'beta_0': 0.8333121524725766, 'beta_1': 0.9911222408032522, 'epsilon': 8.251626469991404e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 09:43:11,349] Trial 152 finished with value: 0.5659551916835872 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8965312160300927, 'batch_size': 63, 'attention_heads': 12, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.451237408731533, 'global_pooling': 'mean', 'learning_rate': 0.00028417128727829176, 'weight_decay': 0.000908431522888256, 'beta_0': 0.8418335018835454, 'beta_1': 0.9897759979585351, 'epsilon': 3.5917315812498645e-05, 'balanced_loss': True, 'epochs': 70, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-31 09:43:12,848] Trial 153 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9035610288742773, 'batch_size': 70, 'attention_heads': 13, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4477900625987228, 'global_pooling': 'mean', 'learning_rate': 0.00017272382831578923, 'weight_decay': 0.0008622864926272263, 'beta_0': 0.8426231651806269, 'beta_1': 0.9897489239268414, 'epsilon': 3.447620802351463e-05, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 09:58:18,336] Trial 154 finished with value: 0.5360381642839015 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.89584685088841, 'batch_size': 57, 'attention_heads': 8, 'hidden_dimension': 211, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4149535669612443, 'global_pooling': 'mean', 'learning_rate': 0.0002729275054202034, 'weight_decay': 0.0007099079155634495, 'beta_0': 0.836074550346421, 'beta_1': 0.9941420202127368, 'epsilon': 2.160396595474887e-05, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 10:12:52,022] Trial 155 finished with value: 0.5379593895932847 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8788774215540993, 'batch_size': 62, 'attention_heads': 12, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45415757848824095, 'global_pooling': 'mean', 'learning_rate': 0.00043658767781218436, 'weight_decay': 0.0009140325939954496, 'beta_0': 0.8418843049243333, 'beta_1': 0.9903526012520754, 'epsilon': 4.5426841442541554e-05, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 10:27:11,368] Trial 156 finished with value: 0.5341599210908807 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8846293237488441, 'batch_size': 65, 'attention_heads': 12, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43991534216244715, 'global_pooling': 'mean', 'learning_rate': 0.0003368202013901994, 'weight_decay': 0.0006243115110507002, 'beta_0': 0.8487922010780306, 'beta_1': 0.9902026678986244, 'epsilon': 3.570048942182056e-05, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 10:44:53,384] Trial 157 finished with value: 0.5628341232002401 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8923068112487574, 'batch_size': 60, 'attention_heads': 12, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4684202635805949, 'global_pooling': 'mean', 'learning_rate': 0.00021787318895088295, 'weight_decay': 0.00037705941833610286, 'beta_0': 0.865834281705299, 'beta_1': 0.9894958426003182, 'epsilon': 5.58953909467155e-05, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 11:00:25,438] Trial 158 finished with value: 0.5427127168327683 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8988577068022325, 'batch_size': 63, 'attention_heads': 13, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4684286700933413, 'global_pooling': 'mean', 'learning_rate': 0.0002108171105199828, 'weight_decay': 0.0003964340070765212, 'beta_0': 0.8647763716309529, 'beta_1': 0.9885933283047289, 'epsilon': 5.280832918306439e-05, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 11:14:39,155] Trial 159 finished with value: 0.5933114785827998 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.905288669838256, 'batch_size': 51, 'attention_heads': 10, 'hidden_dimension': 148, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47607055363338724, 'global_pooling': 'mean', 'learning_rate': 0.0005650692471327193, 'weight_decay': 0.0009686178098082797, 'beta_0': 0.8451231662675667, 'beta_1': 0.9926703140637502, 'epsilon': 6.245305805890747e-05, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 11:26:58,389] Trial 160 finished with value: 0.5623481855522351 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9123532747064662, 'batch_size': 48, 'attention_heads': 10, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4246922848589929, 'global_pooling': 'mean', 'learning_rate': 0.0005658288566282812, 'weight_decay': 0.0009250828730028944, 'beta_0': 0.8520031946408126, 'beta_1': 0.9926759724271067, 'epsilon': 6.764031841595674e-05, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
