[I 2025-02-22 04:47:39,982] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-22 05:03:40,063] Trial 214 finished with value: 0.5470196933817312 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9177796836678671, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4513488142230209, 'global_pooling': 'sum', 'learning_rate': 0.0010307288450776765, 'weight_decay': 0.0005888394257496521, 'beta_0': 0.8185713241314859, 'beta_1': 0.9878839461151293, 'epsilon': 1.6074108719666707e-07, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 05:24:09,112] Trial 215 finished with value: 0.616541587582681 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9119679413725439, 'batch_size': 57, 'attention_heads': 16, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41506523167481235, 'global_pooling': 'max', 'learning_rate': 0.000780007582834355, 'weight_decay': 0.0007491600679930234, 'beta_0': 0.8201120840430628, 'beta_1': 0.9876282582338155, 'epsilon': 2.280341156914576e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 05:45:29,479] Trial 216 finished with value: 0.5927227009379008 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9073877574150493, 'batch_size': 56, 'attention_heads': 16, 'hidden_dimension': 68, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4365092614895175, 'global_pooling': 'max', 'learning_rate': 0.002825935856531092, 'weight_decay': 0.0006596194631669879, 'beta_0': 0.8039822184957011, 'beta_1': 0.9871925702336277, 'epsilon': 1.2440810324789043e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 06:08:13,548] Trial 217 finished with value: 0.6088015267756564 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9172478673888591, 'batch_size': 61, 'attention_heads': 16, 'hidden_dimension': 50, 'number_of_hidden_layers': 1, 'dropout_rate': 0.400546479250453, 'global_pooling': 'max', 'learning_rate': 0.0012729957915031383, 'weight_decay': 0.000546152837228547, 'beta_0': 0.8112062873933669, 'beta_1': 0.9891132788355493, 'epsilon': 6.259934158164457e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 06:28:46,012] Trial 218 finished with value: 0.647188582222349 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9234839361886047, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4234400397282161, 'global_pooling': 'max', 'learning_rate': 0.0008781739978769231, 'weight_decay': 0.000877259785717022, 'beta_0': 0.8142339279439296, 'beta_1': 0.9882032466557179, 'epsilon': 8.785642164868862e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 06:49:36,235] Trial 219 finished with value: 0.6376468943793627 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9224622043280782, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 73, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4234356220960088, 'global_pooling': 'max', 'learning_rate': 0.0009046539434138591, 'weight_decay': 0.0007541527697209983, 'beta_0': 0.8094230711584292, 'beta_1': 0.9881388736977914, 'epsilon': 1.0007938438138712e-07, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 07:09:12,350] Trial 220 finished with value: 0.6450710344555775 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.92658786951104, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4218898453092314, 'global_pooling': 'max', 'learning_rate': 0.0006763027553924494, 'weight_decay': 0.000879048411619953, 'beta_0': 0.8813264178991428, 'beta_1': 0.9882748816960351, 'epsilon': 7.589506134255138e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 07:30:10,588] Trial 221 finished with value: 0.6313733557993718 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9220179567124394, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4218960471942104, 'global_pooling': 'max', 'learning_rate': 0.0005943132251027787, 'weight_decay': 0.000647327573936323, 'beta_0': 0.8161657674261829, 'beta_1': 0.9881816348522218, 'epsilon': 9.792147068121679e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 07:51:08,545] Trial 222 finished with value: 0.6575405977059186 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9210805564887998, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42368964656393376, 'global_pooling': 'max', 'learning_rate': 0.0006133444282932067, 'weight_decay': 0.0008220511239761632, 'beta_0': 0.8143346184184584, 'beta_1': 0.9882423851124287, 'epsilon': 6.245036630742755e-08, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 08:10:33,435] Trial 223 finished with value: 0.6247829292620978 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9329745833705158, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42294440334473093, 'global_pooling': 'max', 'learning_rate': 0.0006591747582558649, 'weight_decay': 0.000870053388764281, 'beta_0': 0.81313355676015, 'beta_1': 0.9887772866116438, 'epsilon': 5.545732890476091e-08, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 08:31:59,723] Trial 224 finished with value: 0.6441881933898087 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9203078498766801, 'batch_size': 63, 'attention_heads': 16, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4123699713779379, 'global_pooling': 'max', 'learning_rate': 0.0005692208412574916, 'weight_decay': 0.0007664015006010595, 'beta_0': 0.8163630768862963, 'beta_1': 0.9884438773758433, 'epsilon': 6.937925964660341e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
