[I 2025-03-28 11:18:20,658] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-28 11:29:15,306] Trial 113 finished with value: 0.9217071010776448 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6828776103158056, 'batch_size': 155, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5881150023482613, 'global_pooling': 'max', 'learning_rate': 0.00020053180318885909, 'weight_decay': 1.0787625905977252e-05, 'beta_0': 0.8912365359592451, 'beta_1': 0.9880739302886352, 'epsilon': 4.0171759992115225e-07, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 98 with value: 0.9324157246449043.
[I 2025-03-28 11:39:13,241] Trial 114 finished with value: 0.9288969276750383 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6665826010999388, 'batch_size': 140, 'attention_heads': 5, 'hidden_dimension': 119, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5578451435746375, 'global_pooling': 'max', 'learning_rate': 0.0002767656517420958, 'weight_decay': 1.7009132966792188e-05, 'beta_0': 0.8954027983310036, 'beta_1': 0.9871371835033286, 'epsilon': 2.023672733348238e-06, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 98 with value: 0.9324157246449043.
[I 2025-03-28 11:48:11,034] Trial 115 finished with value: 0.9322746733694083 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6520442249228853, 'batch_size': 133, 'attention_heads': 4, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5588781965559758, 'global_pooling': 'max', 'learning_rate': 0.0003981686086446718, 'weight_decay': 3.2069039272770454e-05, 'beta_0': 0.8893129185792626, 'beta_1': 0.9870616771446976, 'epsilon': 5.383745918888429e-07, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 98 with value: 0.9324157246449043.
[I 2025-03-28 11:59:03,991] Trial 116 finished with value: 0.9335342385509875 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6507384909262877, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5692636535884787, 'global_pooling': 'max', 'learning_rate': 0.0004542028832393134, 'weight_decay': 1.7040418329246527e-05, 'beta_0': 0.8855423691411672, 'beta_1': 0.9876475032896204, 'epsilon': 6.18712801186244e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 12:10:41,631] Trial 117 finished with value: 0.9171679058866395 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6524923299248884, 'batch_size': 143, 'attention_heads': 4, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5724219343095875, 'global_pooling': 'max', 'learning_rate': 0.00041447812599859613, 'weight_decay': 1.7746411536329854e-05, 'beta_0': 0.8860151866896683, 'beta_1': 0.9887487683509604, 'epsilon': 8.760403009156602e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 12:20:49,406] Trial 118 finished with value: 0.9139536576821787 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6665673901249789, 'batch_size': 148, 'attention_heads': 4, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5629783241017173, 'global_pooling': 'max', 'learning_rate': 0.00028693113763418577, 'weight_decay': 1.2354859141508184e-05, 'beta_0': 0.8891252900971996, 'beta_1': 0.9875812319266388, 'epsilon': 5.869616005226297e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 12:30:42,650] Trial 119 finished with value: 0.9239689264758955 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6699858788532664, 'batch_size': 133, 'attention_heads': 5, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5937546123665083, 'global_pooling': 'max', 'learning_rate': 0.0004800162532454087, 'weight_decay': 1.3569829573259e-05, 'beta_0': 0.8820032491205101, 'beta_1': 0.9894897726313261, 'epsilon': 1.8591524068596972e-06, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 12:41:16,973] Trial 120 finished with value: 0.9288628323368237 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6507837913208161, 'batch_size': 164, 'attention_heads': 4, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5822256288390361, 'global_pooling': 'max', 'learning_rate': 0.000258796663629571, 'weight_decay': 3.316705795780301e-05, 'beta_0': 0.883574359059078, 'beta_1': 0.9880395568843113, 'epsilon': 5.671103738620183e-07, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 12:52:22,596] Trial 121 finished with value: 0.9085919884151843 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6505767647371319, 'batch_size': 175, 'attention_heads': 4, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5815561694824962, 'global_pooling': 'max', 'learning_rate': 0.0002568425269612301, 'weight_decay': 3.788356889714341e-05, 'beta_0': 0.8851331768910198, 'beta_1': 0.9883709470426054, 'epsilon': 4.572379523861475e-07, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 13:02:54,203] Trial 122 finished with value: 0.9317515611276053 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6634923476247202, 'batch_size': 161, 'attention_heads': 4, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5537757004758161, 'global_pooling': 'max', 'learning_rate': 0.0006185808664777798, 'weight_decay': 5.191798785095329e-05, 'beta_0': 0.8918150436532124, 'beta_1': 0.9891459771505539, 'epsilon': 6.126080231454678e-07, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 13:12:34,827] Trial 123 finished with value: 0.9322828079651821 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6619475749875325, 'batch_size': 167, 'attention_heads': 4, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5572892219966777, 'global_pooling': 'max', 'learning_rate': 0.0006611583949049675, 'weight_decay': 4.9336940023417244e-05, 'beta_0': 0.8911154092547084, 'beta_1': 0.9879100171884211, 'epsilon': 5.725755497202919e-07, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
