[I 2025-03-27 23:26:41,761] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.5' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-27 23:37:25,820] Trial 44 finished with value: 0.9468804852845734 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7861701848877265, 'batch_size': 144, 'attention_heads': 10, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4404972806497217, 'global_pooling': 'max', 'learning_rate': 0.00039692866298727164, 'weight_decay': 4.687368116471118e-06, 'beta_0': 0.8576815786682576, 'beta_1': 0.9977816340455311, 'epsilon': 3.960482856756747e-07, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-27 23:48:45,454] Trial 45 finished with value: 0.9353883127960192 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7877653943186729, 'batch_size': 142, 'attention_heads': 10, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44525352511541844, 'global_pooling': 'max', 'learning_rate': 0.0005312602192136557, 'weight_decay': 4.609333126686324e-06, 'beta_0': 0.8597296873903382, 'beta_1': 0.9964167584773315, 'epsilon': 6.804425059882235e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-27 23:58:37,927] Trial 46 finished with value: 0.9358771683223254 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.789052618706634, 'batch_size': 143, 'attention_heads': 9, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4387381425670372, 'global_pooling': 'max', 'learning_rate': 0.0005677904091983414, 'weight_decay': 4.481674046547457e-06, 'beta_0': 0.8590530131563976, 'beta_1': 0.9979703537558641, 'epsilon': 1.2580653155812314e-06, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 00:08:42,931] Trial 47 finished with value: 0.9186464993972095 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7777949552125251, 'batch_size': 146, 'attention_heads': 9, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41343072171293666, 'global_pooling': 'max', 'learning_rate': 0.0006892161968717118, 'weight_decay': 4.506650129345237e-06, 'beta_0': 0.8620614466202818, 'beta_1': 0.9978404873882234, 'epsilon': 2.9398741250706024e-06, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 00:19:58,035] Trial 48 finished with value: 0.9305631861786676 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7657434121054205, 'batch_size': 136, 'attention_heads': 7, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4419919983604241, 'global_pooling': 'max', 'learning_rate': 0.00034452102584924785, 'weight_decay': 1.5855308574705443e-06, 'beta_0': 0.8706288183384218, 'beta_1': 0.9977724704544023, 'epsilon': 6.65482457461994e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 00:39:58,493] Trial 49 finished with value: 0.9238956760039907 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7879482820748352, 'batch_size': 183, 'attention_heads': 10, 'hidden_dimension': 174, 'number_of_hidden_layers': 1, 'dropout_rate': 0.496219129989454, 'global_pooling': 'max', 'learning_rate': 0.000551536752918935, 'weight_decay': 6.992934972302667e-06, 'beta_0': 0.8781570098499738, 'beta_1': 0.9964004966186822, 'epsilon': 1.6815749066794989e-06, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 00:48:30,344] Trial 50 finished with value: 0.9289740213405984 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7519205746656896, 'batch_size': 136, 'attention_heads': 7, 'hidden_dimension': 66, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38646514593614806, 'global_pooling': 'max', 'learning_rate': 0.0008763688657250155, 'weight_decay': 4.340945416839156e-06, 'beta_0': 0.8581999627804331, 'beta_1': 0.9975508450631942, 'epsilon': 1.1661058692146049e-06, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 01:01:44,625] Trial 51 finished with value: 0.9459208337888662 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7368911921348875, 'batch_size': 167, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4766354117506806, 'global_pooling': 'max', 'learning_rate': 0.00017001869361924732, 'weight_decay': 1.0001061807248377e-05, 'beta_0': 0.8616366139053002, 'beta_1': 0.9958951736190714, 'epsilon': 3.88008909058925e-06, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 01:15:36,380] Trial 52 finished with value: 0.9332328037157651 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7431930406129239, 'batch_size': 166, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4773882150704368, 'global_pooling': 'max', 'learning_rate': 0.00017014244004353747, 'weight_decay': 2.7932302745701e-06, 'beta_0': 0.8525264460684345, 'beta_1': 0.9981334738914975, 'epsilon': 3.943203508652823e-06, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 01:26:34,591] Trial 53 finished with value: 0.9370995778728647 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7872685329966495, 'batch_size': 147, 'attention_heads': 9, 'hidden_dimension': 98, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49505184887532083, 'global_pooling': 'max', 'learning_rate': 0.0002965751247834048, 'weight_decay': 1.133713719877898e-05, 'beta_0': 0.8614344298040494, 'beta_1': 0.9961890844552739, 'epsilon': 7.747798107137818e-06, 'balanced_loss': True, 'epochs': 73, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 44 with value: 0.9468804852845734.
[I 2025-03-28 01:37:34,443] Trial 54 finished with value: 0.9266392576032638 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7853850474291575, 'batch_size': 145, 'attention_heads': 9, 'hidden_dimension': 97, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49585856634350545, 'global_pooling': 'max', 'learning_rate': 0.0004024672879352303, 'weight_decay': 1.0214011153202696e-05, 'beta_0': 0.8624516009638566, 'beta_1': 0.9965190963912803, 'epsilon': 7.738239313092552e-06, 'balanced_loss': True, 'epochs': 66, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 44 with value: 0.9468804852845734.
