[I 2025-03-28 19:53:26,081] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-28 19:53:27,077] Trial 139 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7990021578109946, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49884054429170144, 'global_pooling': 'mean', 'learning_rate': 0.0015631002456989547, 'weight_decay': 1.9964715753745763e-05, 'beta_0': 0.8700692367995946, 'beta_1': 0.9861867996806907, 'epsilon': 2.870196664926035e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-28 19:58:53,025] Trial 140 finished with value: 0.9277438926041094 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9426908190253207, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 2, 'dropout_rate': 0.421040803365869, 'global_pooling': 'mean', 'learning_rate': 0.0022878553392831776, 'weight_decay': 1.5522193731340667e-05, 'beta_0': 0.8675502964991892, 'beta_1': 0.9816934906914506, 'epsilon': 6.468430428997922e-08, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:05:45,534] Trial 141 finished with value: 0.9413148685682904 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7841418139884762, 'batch_size': 92, 'attention_heads': 6, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4872554872546138, 'global_pooling': 'mean', 'learning_rate': 0.000347453190392571, 'weight_decay': 3.109458756969464e-05, 'beta_0': 0.8574661764981405, 'beta_1': 0.9882842758341398, 'epsilon': 3.614850327715143e-08, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:13:04,613] Trial 142 finished with value: 0.921974638081624 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7818625462380429, 'batch_size': 91, 'attention_heads': 7, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4885235762926179, 'global_pooling': 'mean', 'learning_rate': 0.00029960234893475034, 'weight_decay': 2.4532878384891493e-05, 'beta_0': 0.8480243063407384, 'beta_1': 0.9895159155515424, 'epsilon': 4.605494933863277e-08, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:19:34,917] Trial 143 finished with value: 0.8955114944948536 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8206104931189988, 'batch_size': 104, 'attention_heads': 6, 'hidden_dimension': 75, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5027857095743757, 'global_pooling': 'sum', 'learning_rate': 0.00035586826192012926, 'weight_decay': 8.481091042211197e-06, 'beta_0': 0.8505389501988592, 'beta_1': 0.9881308995549362, 'epsilon': 3.458826903219169e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:27:03,514] Trial 144 finished with value: 0.9321088386107699 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7705416065189163, 'batch_size': 85, 'attention_heads': 6, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4786740243251107, 'global_pooling': 'mean', 'learning_rate': 0.0001943317450630054, 'weight_decay': 4.401024423480992e-05, 'beta_0': 0.8800963110779901, 'beta_1': 0.9885243648585956, 'epsilon': 5.183744425191333e-07, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:34:14,879] Trial 145 finished with value: 0.925636856019994 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7887955908237363, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45827666002755446, 'global_pooling': 'mean', 'learning_rate': 0.0007513930455075358, 'weight_decay': 3.301332056302743e-05, 'beta_0': 0.8569678723783104, 'beta_1': 0.9873605342647612, 'epsilon': 2.3779468496656195e-08, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:40:56,395] Trial 146 finished with value: 0.9248956559406305 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8041948697120855, 'batch_size': 96, 'attention_heads': 6, 'hidden_dimension': 67, 'number_of_hidden_layers': 2, 'dropout_rate': 0.50832887599105, 'global_pooling': 'mean', 'learning_rate': 0.0005443961977518591, 'weight_decay': 2.046301303073568e-05, 'beta_0': 0.8883134991780629, 'beta_1': 0.9869578692692476, 'epsilon': 1.7829357696643152e-08, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:49:09,138] Trial 147 finished with value: 0.9197480334728464 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7814580111540624, 'batch_size': 70, 'attention_heads': 7, 'hidden_dimension': 93, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48595174419993187, 'global_pooling': 'mean', 'learning_rate': 0.0006403030812238365, 'weight_decay': 3.084877676690928e-05, 'beta_0': 0.8457158664691359, 'beta_1': 0.9889847514754191, 'epsilon': 3.0627853696306324e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 20:54:43,251] Trial 148 finished with value: 0.9201552186364113 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9177939000405048, 'batch_size': 92, 'attention_heads': 5, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47028230338377325, 'global_pooling': 'mean', 'learning_rate': 0.0012614313246185564, 'weight_decay': 1.761665267593794e-05, 'beta_0': 0.8357484266507201, 'beta_1': 0.985486760601371, 'epsilon': 4.046989847197658e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
