[I 2025-02-20 05:36:20,200] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 05:59:10,161] Trial 133 finished with value: 0.9498268760856611 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7997322256906981, 'batch_size': 50, 'attention_heads': 10, 'hidden_dimension': 111, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5796034568715857, 'global_pooling': 'max', 'learning_rate': 0.0003074539996725009, 'weight_decay': 8.290872648824757e-05, 'beta_0': 0.8598934541783543, 'beta_1': 0.9953549073917621, 'epsilon': 1.04767457733271e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 06:20:07,941] Trial 134 finished with value: 0.950758985260793 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8046454291713168, 'batch_size': 32, 'attention_heads': 11, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5755846664893604, 'global_pooling': 'max', 'learning_rate': 0.00022285501021296645, 'weight_decay': 0.0001293035906237207, 'beta_0': 0.8470528222652101, 'beta_1': 0.9912988169067393, 'epsilon': 7.225889195193359e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 06:34:36,504] Trial 135 finished with value: 0.954619613127329 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8220062588133071, 'batch_size': 44, 'attention_heads': 4, 'hidden_dimension': 92, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5667501373634346, 'global_pooling': 'max', 'learning_rate': 0.00041807960209060477, 'weight_decay': 3.4562525452279735e-05, 'beta_0': 0.8628924884742526, 'beta_1': 0.9941865861924901, 'epsilon': 1.083628175562829e-06, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 06:45:36,074] Trial 136 finished with value: 0.9543184026767223 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8369522569094876, 'batch_size': 36, 'attention_heads': 5, 'hidden_dimension': 92, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5652768105491722, 'global_pooling': 'max', 'learning_rate': 0.0004941609589584055, 'weight_decay': 3.06824368710775e-05, 'beta_0': 0.8625142771772292, 'beta_1': 0.9937621834854424, 'epsilon': 1.5959976192456177e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 07:01:47,125] Trial 137 finished with value: 0.9514543179507984 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8362663641680893, 'batch_size': 159, 'attention_heads': 4, 'hidden_dimension': 100, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5639026357667862, 'global_pooling': 'max', 'learning_rate': 0.00042301164096881686, 'weight_decay': 2.896466574610925e-05, 'beta_0': 0.8627305038529453, 'beta_1': 0.990704375790825, 'epsilon': 1.7006266948238998e-06, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 07:17:31,475] Trial 138 finished with value: 0.9493445543886674 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8560020790142313, 'batch_size': 194, 'attention_heads': 4, 'hidden_dimension': 92, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5932671818580086, 'global_pooling': 'max', 'learning_rate': 0.0005334749662667295, 'weight_decay': 3.657691588603798e-05, 'beta_0': 0.8379947794032481, 'beta_1': 0.9936618210526653, 'epsilon': 1.1905588514263835e-06, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 07:30:41,947] Trial 139 finished with value: 0.9531576578097721 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8422832338222735, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 86, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5664747861092504, 'global_pooling': 'max', 'learning_rate': 0.0003944731710598008, 'weight_decay': 3.319332612408984e-05, 'beta_0': 0.8555689028258032, 'beta_1': 0.9936633347361086, 'epsilon': 1.3762919997074855e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 07:44:37,380] Trial 140 finished with value: 0.9466803379770967 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8424770608226245, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 88, 'number_of_hidden_layers': 4, 'dropout_rate': 0.530971864352297, 'global_pooling': 'max', 'learning_rate': 0.00036186834360427193, 'weight_decay': 3.3555531232832815e-05, 'beta_0': 0.8559961649115431, 'beta_1': 0.9937540712802908, 'epsilon': 1.2971910131235435e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 36 with value: 0.966858574697526.
[I 2025-02-20 08:01:20,115] Trial 141 finished with value: 0.9523512834729416 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8204136930041744, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5568444848724224, 'global_pooling': 'max', 'learning_rate': 0.0001449983034741261, 'weight_decay': 2.0485893170091708e-05, 'beta_0': 0.8586282232328977, 'beta_1': 0.9945019000418447, 'epsilon': 1.680143823578326e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 36 with value: 0.966858574697526.
CUDA out of memory. Tried to allocate 2.15 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.80 GiB is free. Including non-PyTorch memory, this process has 42.76 GiB memory in use. Of the allocated memory 41.34 GiB is allocated by PyTorch, and 277.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 08:08:02,253] Trial 142 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8285154441241597, 'batch_size': 223, 'attention_heads': 4, 'hidden_dimension': 93, 'number_of_hidden_layers': 4, 'dropout_rate': 0.569211112633832, 'global_pooling': 'max', 'learning_rate': 0.00043706716699112895, 'weight_decay': 4.554352158346087e-05, 'beta_0': 0.8665291692826321, 'beta_1': 0.9881491957326526, 'epsilon': 2.4429156947211917e-06, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 36 with value: 0.966858574697526.
