[I 2025-03-22 05:42:53,185] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 06:12:02,392] Trial 120 finished with value: 0.9522853936881172 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7896292593521281, 'batch_size': 87, 'attention_heads': 7, 'hidden_dimension': 107, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5719145239938085, 'global_pooling': 'max', 'learning_rate': 4.0596113872034844e-05, 'weight_decay': 0.00027705564993565576, 'beta_0': 0.8974032790114312, 'beta_1': 0.9960533780683396, 'epsilon': 2.0761283505194564e-08, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
CUDA out of memory. Tried to allocate 1.72 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.37 GiB is free. Including non-PyTorch memory, this process has 43.18 GiB memory in use. Of the allocated memory 40.91 GiB is allocated by PyTorch, and 1.13 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-22 06:20:46,100] Trial 121 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7342350552217703, 'batch_size': 98, 'attention_heads': 7, 'hidden_dimension': 187, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5940280191908112, 'global_pooling': 'max', 'learning_rate': 3.079970098554101e-05, 'weight_decay': 0.000214228336891363, 'beta_0': 0.8945053712337114, 'beta_1': 0.9975214833938402, 'epsilon': 1.300041349282026e-08, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 06:47:24,959] Trial 122 finished with value: 0.9522219818658759 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7982617979888654, 'batch_size': 79, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5858209212002875, 'global_pooling': 'max', 'learning_rate': 7.007699740338589e-05, 'weight_decay': 5.69223907289698e-05, 'beta_0': 0.888456672903252, 'beta_1': 0.995494284987504, 'epsilon': 1.1180940108449018e-08, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 07:09:24,862] Trial 123 finished with value: 0.9574003183942442 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7842976757519704, 'batch_size': 114, 'attention_heads': 7, 'hidden_dimension': 127, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5497367324589724, 'global_pooling': 'max', 'learning_rate': 0.00011201710362403228, 'weight_decay': 2.2334729905769086e-05, 'beta_0': 0.8949980393094334, 'beta_1': 0.9944655385236422, 'epsilon': 2.4991517477902267e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 07:29:51,921] Trial 124 finished with value: 0.9550752836732568 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7814681755710001, 'batch_size': 113, 'attention_heads': 7, 'hidden_dimension': 116, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5453920085070701, 'global_pooling': 'max', 'learning_rate': 0.00010475466048552716, 'weight_decay': 2.1982731604792522e-05, 'beta_0': 0.8997050136662702, 'beta_1': 0.9946773171947931, 'epsilon': 2.8133707066492677e-08, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 07:49:56,059] Trial 125 finished with value: 0.9428167748343937 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7796771372331306, 'batch_size': 109, 'attention_heads': 7, 'hidden_dimension': 102, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5474204054701401, 'global_pooling': 'max', 'learning_rate': 5.1738343884754506e-05, 'weight_decay': 2.4532752741386853e-05, 'beta_0': 0.8997100862701297, 'beta_1': 0.9945331704734917, 'epsilon': 2.8615802680936274e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 08:11:19,224] Trial 126 finished with value: 0.9511567685362201 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7707027902653871, 'batch_size': 115, 'attention_heads': 7, 'hidden_dimension': 126, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5537395088770404, 'global_pooling': 'max', 'learning_rate': 0.0001085846271385446, 'weight_decay': 2.8591550365882105e-05, 'beta_0': 0.8966132985684817, 'beta_1': 0.9951444805057105, 'epsilon': 2.5095178373428343e-08, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 08:32:16,908] Trial 127 finished with value: 0.9577473012486097 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7836357226770166, 'batch_size': 123, 'attention_heads': 7, 'hidden_dimension': 114, 'number_of_hidden_layers': 4, 'dropout_rate': 0.560989009738522, 'global_pooling': 'max', 'learning_rate': 9.555058498538423e-05, 'weight_decay': 2.1102237340696374e-05, 'beta_0': 0.8948570747374617, 'beta_1': 0.9940499731135646, 'epsilon': 1.4332110616022915e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 08:52:39,641] Trial 128 finished with value: 0.9510449144218633 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7506286758851514, 'batch_size': 120, 'attention_heads': 6, 'hidden_dimension': 109, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5627015267907263, 'global_pooling': 'max', 'learning_rate': 8.300186638676787e-05, 'weight_decay': 3.054710385778071e-05, 'beta_0': 0.891023977111166, 'beta_1': 0.9939367830338455, 'epsilon': 1.4439001795548562e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
CUDA out of memory. Tried to allocate 1.85 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 43.38 GiB memory in use. Of the allocated memory 40.43 GiB is allocated by PyTorch, and 1.81 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
