[I 2025-04-02 05:20:35,855] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-02 05:29:43,927] Trial 31 finished with value: 0.9393939393939394 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 3, 'batch_size': 24, 'attention_heads': 14, 'hidden_dimension': 173, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4387394656116058, 'global_pooling': 'mean', 'learning_rate': 0.00013546797290956528, 'weight_decay': 1.6660008165950192e-05, 'beta_0': 0.8447731050576481, 'beta_1': 0.9951257070834243, 'epsilon': 9.023970406438909e-07, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 05:40:06,739] Trial 32 finished with value: 0.7212121212121212 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 43, 'attention_heads': 5, 'hidden_dimension': 110, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3912524522515135, 'global_pooling': 'sum', 'learning_rate': 0.09941450502972564, 'weight_decay': 8.949129521300764e-06, 'beta_0': 0.8605220154839217, 'beta_1': 0.9866685123245215, 'epsilon': 1.7739433375415443e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 05:50:37,555] Trial 33 finished with value: 0.9393939393939394 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 7, 'batch_size': 37, 'attention_heads': 11, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3032967567731314, 'global_pooling': 'sum', 'learning_rate': 0.0020305090966894635, 'weight_decay': 0.00010087308091423004, 'beta_0': 0.8006819353367449, 'beta_1': 0.9944289852009432, 'epsilon': 2.3144997732963166e-06, 'balanced_loss': True, 'epochs': 114, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 06:02:38,403] Trial 34 finished with value: 0.9454545454545454 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 25, 'attention_heads': 11, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33752819845800297, 'global_pooling': 'sum', 'learning_rate': 0.0028176177068146065, 'weight_decay': 3.8836484818372974e-05, 'beta_0': 0.8063000173696977, 'beta_1': 0.993640495972033, 'epsilon': 3.535753676853955e-06, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 06:11:48,639] Trial 35 finished with value: 0.5333333333333333 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 30, 'attention_heads': 12, 'hidden_dimension': 70, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5265072724848368, 'global_pooling': 'sum', 'learning_rate': 0.03685585438769181, 'weight_decay': 0.00036127503734927204, 'beta_0': 0.8141618541032789, 'beta_1': 0.9962670288713602, 'epsilon': 4.480129617632477e-05, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 06:26:35,983] Trial 36 finished with value: 0.9333333333333333 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 42, 'attention_heads': 11, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5724636935500812, 'global_pooling': 'sum', 'learning_rate': 0.008672809177925891, 'weight_decay': 0.00010109062603263633, 'beta_0': 0.8206811202475226, 'beta_1': 0.982667676482043, 'epsilon': 1.6920638159436313e-05, 'balanced_loss': True, 'epochs': 130, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 06:34:18,751] Trial 37 finished with value: 0.9454545454545454 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 51, 'attention_heads': 13, 'hidden_dimension': 40, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3320682520619763, 'global_pooling': 'mean', 'learning_rate': 0.0012986664428791509, 'weight_decay': 5.465647678947476e-05, 'beta_0': 0.8055983917629208, 'beta_1': 0.9949952823292146, 'epsilon': 6.7194188729187845e-06, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 06:43:52,765] Trial 38 finished with value: 0.5575757575757576 and parameters: {'left_stride': 256, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 16, 'attention_heads': 9, 'hidden_dimension': 92, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4079790573758256, 'global_pooling': 'max', 'learning_rate': 0.03144066134599527, 'weight_decay': 2.1308593408070657e-05, 'beta_0': 0.8136092919399179, 'beta_1': 0.9910067360873933, 'epsilon': 1.7865075242096885e-06, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 06:54:35,827] Trial 39 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 46, 'attention_heads': 12, 'hidden_dimension': 234, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5605334677257963, 'global_pooling': 'sum', 'learning_rate': 0.0001961127995666094, 'weight_decay': 3.1956268377947513e-06, 'beta_0': 0.8042893246630447, 'beta_1': 0.9976124060103638, 'epsilon': 2.6647398414359694e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 07:01:02,830] Trial 40 finished with value: 0.9272727272727272 and parameters: {'left_stride': 32, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 2, 'batch_size': 39, 'attention_heads': 10, 'hidden_dimension': 71, 'number_of_hidden_layers': 4, 'dropout_rate': 0.37831330736838625, 'global_pooling': 'mean', 'learning_rate': 0.0006856112429199351, 'weight_decay': 6.589424685229284e-05, 'beta_0': 0.8234139208220886, 'beta_1': 0.9929474788412047, 'epsilon': 6.085419912649655e-07, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 07:12:48,435] Trial 41 finished with value: 0.9151515151515152 and parameters: {'left_stride': 0, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 10, 'batch_size': 48, 'attention_heads': 7, 'hidden_dimension': 221, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35546127887094103, 'global_pooling': 'sum', 'learning_rate': 0.0035757320715745743, 'weight_decay': 1.1857459508357214e-05, 'beta_0': 0.8109512560652186, 'beta_1': 0.9801336323934405, 'epsilon': 9.420158668908837e-08, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 07:21:15,364] Trial 42 finished with value: 0.9333333333333333 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 5, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 47, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4626416195819902, 'global_pooling': 'max', 'learning_rate': 0.007065274011500729, 'weight_decay': 0.0001398092591518113, 'beta_0': 0.8349354126165649, 'beta_1': 0.9888579125770162, 'epsilon': 3.8335878033411314e-06, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 07:29:55,424] Trial 43 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 178, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5220337028378038, 'global_pooling': 'mean', 'learning_rate': 9.644353610320925e-05, 'weight_decay': 4.573496297422472e-05, 'beta_0': 0.8728141178378312, 'beta_1': 0.9925151595915609, 'epsilon': 2.4207659438926343e-08, 'balanced_loss': True, 'epochs': 138, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 07:38:27,635] Trial 44 finished with value: 0.9575757575757575 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 153, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5034895348084889, 'global_pooling': 'mean', 'learning_rate': 5.271366218881256e-05, 'weight_decay': 6.296264963412237e-05, 'beta_0': 0.8776568225387953, 'beta_1': 0.9915297848005984, 'epsilon': 5.711908508231033e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 07:46:17,294] Trial 45 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 152, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49642862452684045, 'global_pooling': 'mean', 'learning_rate': 3.156870764598946e-05, 'weight_decay': 3.755932904248933e-05, 'beta_0': 0.8896444893702764, 'beta_1': 0.9940949253757029, 'epsilon': 6.408953100478287e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 07:54:15,948] Trial 46 finished with value: 0.6060606060606061 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5406513002421066, 'global_pooling': 'mean', 'learning_rate': 0.06453850430126748, 'weight_decay': 2.2034303338875116e-05, 'beta_0': 0.8785700122982121, 'beta_1': 0.9910987179064745, 'epsilon': 1.0883516408498951e-08, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 08:11:56,312] Trial 47 finished with value: 0.9030303030303031 and parameters: {'left_stride': 0, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 137, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5055760259869493, 'global_pooling': 'max', 'learning_rate': 1.1013993004081761e-05, 'weight_decay': 6.86063403107143e-05, 'beta_0': 0.8681279131153131, 'beta_1': 0.9957233469539788, 'epsilon': 1.8342584518522851e-07, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 08:19:42,345] Trial 48 finished with value: 0.9515151515151515 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 158, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47455378581548624, 'global_pooling': 'sum', 'learning_rate': 0.0002512523035343921, 'weight_decay': 0.000256746773747282, 'beta_0': 0.8795175457870875, 'beta_1': 0.9893849686402535, 'epsilon': 1.324439351444154e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 08:26:39,250] Trial 49 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 2, 'batch_size': 30, 'attention_heads': 6, 'hidden_dimension': 189, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4358742095154036, 'global_pooling': 'mean', 'learning_rate': 5.015801680454713e-05, 'weight_decay': 0.0001290899963187674, 'beta_0': 0.8866658737003922, 'beta_1': 0.9917573484911251, 'epsilon': 5.957308009469738e-05, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 08:37:56,708] Trial 50 finished with value: 0.9393939393939394 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 25, 'attention_heads': 15, 'hidden_dimension': 118, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5856593432332683, 'global_pooling': 'max', 'learning_rate': 0.001132414073418568, 'weight_decay': 0.0007866473834090143, 'beta_0': 0.8982422229619048, 'beta_1': 0.9939597418790772, 'epsilon': 1.704541343341396e-08, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 15, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 08:58:33,014] Trial 51 finished with value: 0.9333333333333333 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 22, 'attention_heads': 13, 'hidden_dimension': 169, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3023933134395514, 'global_pooling': 'sum', 'learning_rate': 2.2855014699456327e-05, 'weight_decay': 2.851004658944992e-05, 'beta_0': 0.8006789489097347, 'beta_1': 0.9988867865307072, 'epsilon': 5.8558456181343336e-08, 'balanced_loss': True, 'epochs': 82, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 44 with value: 0.9575757575757575.
CUDA out of memory. Tried to allocate 1.94 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.23 GiB is free. Including non-PyTorch memory, this process has 43.33 GiB memory in use. Of the allocated memory 40.85 GiB is allocated by PyTorch, and 1.32 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-04-02 09:05:20,762] Trial 52 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 4, 'batch_size': 53, 'attention_heads': 11, 'hidden_dimension': 239, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4844847710588691, 'global_pooling': 'mean', 'learning_rate': 0.00013389301208708955, 'weight_decay': 7.272459451426913e-05, 'beta_0': 0.8173712760742209, 'beta_1': 0.9974675336983175, 'epsilon': 2.8750166276861374e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 09:13:52,402] Trial 53 finished with value: 0.9575757575757575 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 184, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5194477129070187, 'global_pooling': 'mean', 'learning_rate': 4.609621237442163e-05, 'weight_decay': 5.290783560545512e-05, 'beta_0': 0.8749792276420832, 'beta_1': 0.9925586997339533, 'epsilon': 2.8684924297451353e-08, 'balanced_loss': True, 'epochs': 138, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 09:21:41,474] Trial 54 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 188, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5348224869880001, 'global_pooling': 'mean', 'learning_rate': 4.605622911334357e-05, 'weight_decay': 5.047898217374334e-05, 'beta_0': 0.8663114663272143, 'beta_1': 0.9913682383186725, 'epsilon': 3.7231499691526176e-08, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 09:29:29,607] Trial 55 finished with value: 0.5333333333333333 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 151, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5549226558004694, 'global_pooling': 'mean', 'learning_rate': 0.02424623672450928, 'weight_decay': 3.548124770668126e-05, 'beta_0': 0.8699154702729993, 'beta_1': 0.9924990722816143, 'epsilon': 1.9375065937691672e-08, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 09:40:12,701] Trial 56 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 4, 'dropout_rate': 0.507986542447761, 'global_pooling': 'mean', 'learning_rate': 1.4827134052841578e-05, 'weight_decay': 1.6033908010687263e-05, 'beta_0': 0.8855365674394916, 'beta_1': 0.9906160769087146, 'epsilon': 6.951648412871099e-08, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 09:47:15,475] Trial 57 finished with value: 0.9454545454545454 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 97, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5280764013259603, 'global_pooling': 'mean', 'learning_rate': 0.0003611253095545841, 'weight_decay': 2.2990348040703295e-05, 'beta_0': 0.8588928950732242, 'beta_1': 0.989611480602902, 'epsilon': 8.346234689174123e-06, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 09:55:43,315] Trial 58 finished with value: 0.9333333333333333 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 64, 'attention_heads': 6, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3208040080001314, 'global_pooling': 'max', 'learning_rate': 0.010852298818415427, 'weight_decay': 8.226701737014101e-05, 'beta_0': 0.8937348574570937, 'beta_1': 0.9954071866742711, 'epsilon': 2.0054550516251812e-05, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
CUDA out of memory. Tried to allocate 3.03 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.24 GiB is free. Including non-PyTorch memory, this process has 43.32 GiB memory in use. Of the allocated memory 39.24 GiB is allocated by PyTorch, and 2.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-04-02 10:03:50,974] Trial 59 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 7, 'batch_size': 44, 'attention_heads': 12, 'hidden_dimension': 242, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4623163056548937, 'global_pooling': 'mean', 'learning_rate': 0.0007789268059002386, 'weight_decay': 0.00011881513128422228, 'beta_0': 0.8802497676219093, 'beta_1': 0.9930879988691187, 'epsilon': 1.1242707670716653e-05, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 10:13:06,602] Trial 60 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 27, 'attention_heads': 7, 'hidden_dimension': 222, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5668183991276411, 'global_pooling': 'sum', 'learning_rate': 4.9552492365672826e-05, 'weight_decay': 6.003598196993395e-05, 'beta_0': 0.8548966910545689, 'beta_1': 0.985155476938992, 'epsilon': 4.4794392099383775e-08, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 10:21:11,501] Trial 61 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 30, 'attention_heads': 4, 'hidden_dimension': 115, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35159822083495046, 'global_pooling': 'max', 'learning_rate': 9.678513994456718e-05, 'weight_decay': 0.00017460020335598547, 'beta_0': 0.8757891722468583, 'beta_1': 0.9818698955950826, 'epsilon': 8.99999786362678e-05, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 44 with value: 0.9575757575757575.
