[I 2025-03-31 10:16:53,886] A new study created in RDB with name: IMDb-top_1000-GATv2-facebook-bart-large-Grouped-Sliding_Windows
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-03-31 10:23:47,240] Trial 0 finished with value: 0.9272727272727272 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4295835055926347, 'global_pooling': 'sum', 'learning_rate': 0.00014742753159914678, 'weight_decay': 1.2562773503807034e-05, 'beta_0': 0.8441490131534063, 'beta_1': 0.9948875174647561, 'epsilon': 6.290644294586131e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 0 with value: 0.9272727272727272.
[I 2025-03-31 10:31:25,746] Trial 1 finished with value: 0.5333333333333333 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 4, 'batch_size': 41, 'attention_heads': 11, 'hidden_dimension': 73, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5325398470083343, 'global_pooling': 'mean', 'learning_rate': 0.04869640941520897, 'weight_decay': 1.8427970406864558e-06, 'beta_0': 0.8186815530612018, 'beta_1': 0.9808514641670935, 'epsilon': 2.001342062287995e-07, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 0 with value: 0.9272727272727272.
[I 2025-03-31 10:38:22,971] Trial 2 finished with value: 0.9515151515151515 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 3, 'batch_size': 58, 'attention_heads': 12, 'hidden_dimension': 106, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3932946965146986, 'global_pooling': 'sum', 'learning_rate': 0.03538758864779238, 'weight_decay': 2.6100256506134754e-05, 'beta_0': 0.8113486807589793, 'beta_1': 0.993514290315892, 'epsilon': 1.1044350847124683e-05, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 2 with value: 0.9515151515151515.
CUDA out of memory. Tried to allocate 5.03 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.60 GiB is free. Including non-PyTorch memory, this process has 41.96 GiB memory in use. Of the allocated memory 35.86 GiB is allocated by PyTorch, and 4.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-31 10:47:45,493] Trial 3 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 55, 'attention_heads': 12, 'hidden_dimension': 228, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35597101766581074, 'global_pooling': 'mean', 'learning_rate': 0.038403004190988556, 'weight_decay': 8.995191735587168e-06, 'beta_0': 0.8104372991002851, 'beta_1': 0.9842987215914974, 'epsilon': 5.110120656497157e-07, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 10:53:55,712] Trial 4 finished with value: 0.8545454545454545 and parameters: {'left_stride': 64, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 2, 'batch_size': 45, 'attention_heads': 10, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.572479765789996, 'global_pooling': 'max', 'learning_rate': 0.0876197110102369, 'weight_decay': 5.32311458092889e-06, 'beta_0': 0.8659073293205172, 'beta_1': 0.9944375979452469, 'epsilon': 8.923807143379777e-08, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 11:04:28,589] Trial 5 finished with value: 0.9515151515151515 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 22, 'attention_heads': 8, 'hidden_dimension': 57, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5632018060142943, 'global_pooling': 'max', 'learning_rate': 0.0016626592254031865, 'weight_decay': 3.88107231640948e-05, 'beta_0': 0.8231165648006942, 'beta_1': 0.9817535900941985, 'epsilon': 3.880279700786687e-05, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 11:14:33,372] Trial 6 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 8, 'batch_size': 47, 'attention_heads': 6, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3976199094477803, 'global_pooling': 'max', 'learning_rate': 0.004270232968405542, 'weight_decay': 5.069041070711457e-05, 'beta_0': 0.8088755118641054, 'beta_1': 0.9869442234353017, 'epsilon': 1.1502956321912714e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 11:28:01,096] Trial 7 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 2, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 249, 'number_of_hidden_layers': 4, 'dropout_rate': 0.555902836640208, 'global_pooling': 'max', 'learning_rate': 0.00018522006003174386, 'weight_decay': 3.2246177486423724e-06, 'beta_0': 0.8542240137875021, 'beta_1': 0.9977760071698266, 'epsilon': 6.083019192425831e-06, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 2 with value: 0.9515151515151515.
CUDA out of memory. Tried to allocate 3.82 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.17 GiB is free. Including non-PyTorch memory, this process has 41.38 GiB memory in use. Of the allocated memory 36.07 GiB is allocated by PyTorch, and 4.16 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-31 11:36:11,852] Trial 8 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 50, 'attention_heads': 14, 'hidden_dimension': 232, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4126748857919832, 'global_pooling': 'sum', 'learning_rate': 0.0007284371265166888, 'weight_decay': 4.245549454254901e-05, 'beta_0': 0.8274605448578289, 'beta_1': 0.9911817064945119, 'epsilon': 1.3243445838637945e-08, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 2 with value: 0.9515151515151515.
