from_ids,from,to_id,to,weight
5,Ġthe,5,Ġthe,0.00030246528
5,Ġthe,16,Ġis,3.5851485e-06
5,Ġthe,89,Ġthere,4.7630522e-07
5,Ġthe,479,Ġ.,5.6917615e-06
5,Ġthe,1782,Ġseeing,1.6769095e-06
5,Ġthe,7682,Every,1.00462785e-05
5,Ġthe,8569,where,2.0253197e-05
16,Ġis,16,Ġis,0.00021474574
16,Ġis,89,Ġthere,0.000184754
16,Ġis,479,Ġ.,7.200446e-07
16,Ġis,1326,Ġlooks,3.2833512e-07
16,Ġis,1782,Ġseeing,1.6586165e-06
16,Ġis,8569,where,2.1140595e-06
89,Ġthere,89,Ġthere,6.144774e-05
89,Ġthere,1326,Ġlooks,1.9595907e-05
89,Ġthere,2280,Ġcamera,1.0391724e-05
402,Ġsomething,5,Ġthe,9.542909e-06
402,Ġsomething,16,Ġis,0.00021073049
402,Ġsomething,89,Ġthere,3.5730642e-07
402,Ġsomething,402,Ġsomething,3.349964e-05
402,Ġsomething,479,Ġ.,1.6666688e-06
479,Ġ.,479,Ġ.,4.3422147e-06
479,Ġ.,1782,Ġseeing,6.062082e-07
966,Ġworth,16,Ġis,1.24968365e-05
966,Ġworth,402,Ġsomething,0.00010537515
966,Ġworth,966,Ġworth,0.000118920114
966,Ġworth,2280,Ġcamera,1.4869108e-06
1326,Ġlooks,1326,Ġlooks,1.7485741e-05
1326,Ġlooks,2280,Ġcamera,5.147439e-05
1782,Ġseeing,402,Ġsomething,1.1129727e-06
1782,Ġseeing,966,Ġworth,2.9453638e-05
1782,Ġseeing,1782,Ġseeing,5.711134e-05
1782,Ġseeing,7682,Every,1.059389e-06
2280,Ġcamera,5,Ġthe,0.00020192095
2280,Ġcamera,16,Ġis,4.2500838e-07
2280,Ġcamera,402,Ġsomething,4.8411207e-06
2280,Ġcamera,2280,Ġcamera,4.4873395e-05
2280,Ġcamera,8569,where,5.5585326e-07
7682,Every,402,Ġsomething,4.8817697e-07
7682,Every,966,Ġworth,3.387175e-05
7682,Every,1326,Ġlooks,3.268518e-06
7682,Every,2280,Ġcamera,2.1052138e-05
7682,Every,7682,Every,0.0004949871
8569,where,89,Ġthere,3.329608e-07
8569,where,966,Ġworth,5.5477443e-07
8569,where,1782,Ġseeing,8.5848666e-07
8569,where,7682,Every,0.0002918619
8569,where,8569,where,6.7092544e-05
