from_id,from,to_id,to,weight
1,the,1,the,0.080311775
1,the,2,quick,0.071800776
1,the,3,brown,0.035069626
1,the,4,fox,0.056610227
1,the,5,jumps,0.06029227
1,the,6,over,0.03042688
1,the,7,the,0.06274907
1,the,8,lazy,0.02183749
1,the,9,dog,0.04779911
2,quick,1,the,0.07596501
2,quick,2,quick,0.05021188
2,quick,3,brown,0.06998463
2,quick,4,fox,0.049948685
2,quick,5,jumps,0.03704981
2,quick,6,over,0.023107974
2,quick,7,the,0.025760328
2,quick,8,lazy,0.023728862
2,quick,9,dog,0.031455234
3,brown,1,the,0.060074825
3,brown,2,quick,0.07576206
3,brown,3,brown,0.048344843
3,brown,4,fox,0.094469056
3,brown,5,jumps,0.033176698
3,brown,6,over,0.019119041
3,brown,7,the,0.029411972
3,brown,8,lazy,0.024781942
3,brown,9,dog,0.046552427
4,fox,1,the,0.05254195
4,fox,2,quick,0.03764232
4,fox,3,brown,0.06086574
4,fox,4,fox,0.048211373
4,fox,5,jumps,0.06874299
4,fox,6,over,0.022752622
4,fox,7,the,0.031086544
4,fox,8,lazy,0.020055229
4,fox,9,dog,0.053057864
5,jumps,1,the,0.052246187
5,jumps,2,quick,0.028420057
5,jumps,3,brown,0.022346254
5,jumps,4,fox,0.06372486
5,jumps,5,jumps,0.07459325
5,jumps,6,over,0.09310673
5,jumps,7,the,0.048003655
5,jumps,8,lazy,0.027810637
5,jumps,9,dog,0.050814945
6,over,1,the,0.035216935
6,over,2,quick,0.019276883
6,over,3,brown,0.017163413
6,over,4,fox,0.03501939
6,over,5,jumps,0.13568063
6,over,6,over,0.07625838
6,over,7,the,0.072277784
6,over,8,lazy,0.03577472
6,over,9,dog,0.055749085
7,the,1,the,0.07764721
7,the,2,quick,0.028203283
7,the,3,brown,0.025063623
7,the,4,fox,0.035335045
7,the,5,jumps,0.06692002
7,the,6,over,0.08133153
7,the,7,the,0.07133928
7,the,8,lazy,0.08155582
7,the,9,dog,0.091568895
8,lazy,1,the,0.025644464
8,lazy,2,quick,0.02012724
8,lazy,3,brown,0.017864332
8,lazy,4,fox,0.024314037
8,lazy,5,jumps,0.029137611
8,lazy,6,over,0.030133838
8,lazy,7,the,0.058512527
8,lazy,8,lazy,0.048310507
8,lazy,9,dog,0.09390219
9,dog,1,the,0.03664779
9,dog,2,quick,0.017597914
9,dog,3,brown,0.018426085
9,dog,4,fox,0.03821156
9,dog,5,jumps,0.04822926
9,dog,6,over,0.041647453
9,dog,7,the,0.051747132
9,dog,8,lazy,0.056228433
9,dog,9,dog,0.059711006
