Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 19:14:11,197] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2025-01-08 19:20:21,874] Trial 89 finished with value: 0.8853727144866386 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7174859242312271, 'batch_size': 60, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4872250581517096, 'global_pooling': 'max', 'learning_rate': 0.0029722357729355118, 'weight_decay': 1.0288602367328868e-06, 'beta_0': 0.867719638857784, 'beta_1': 0.9916278253299406, 'epsilon': 4.64828476448225e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 19:26:20,377] Trial 90 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7322018286194698, 'batch_size': 63, 'attention_heads': 5, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5077667795259817, 'global_pooling': 'max', 'learning_rate': 0.0016773841397548733, 'weight_decay': 1.1374063198030197e-06, 'beta_0': 0.8699080555423748, 'beta_1': 0.9911518374093937, 'epsilon': 4.9127479539633994e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 19:35:49,385] Trial 91 finished with value: 0.8713080168776371 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7508233410340146, 'batch_size': 33, 'attention_heads': 4, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.486026313508217, 'global_pooling': 'max', 'learning_rate': 1.815919625096087e-05, 'weight_decay': 1.573696751334265e-06, 'beta_0': 0.8615090248377107, 'beta_1': 0.9939619673010729, 'epsilon': 7.21886122362999e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 19:41:52,645] Trial 92 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6926884134169858, 'batch_size': 58, 'attention_heads': 4, 'hidden_dimension': 100, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5619352753091377, 'global_pooling': 'max', 'learning_rate': 0.0029901957830279907, 'weight_decay': 1.018721251386229e-06, 'beta_0': 0.8551596643025978, 'beta_1': 0.9977917923808591, 'epsilon': 9.948972376825592e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 10, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 19:47:42,594] Trial 93 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.716119257317618, 'batch_size': 80, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5379525719314615, 'global_pooling': 'max', 'learning_rate': 0.0013081318950810175, 'weight_decay': 1.4296921017870087e-06, 'beta_0': 0.8686893841019947, 'beta_1': 0.9919092094402372, 'epsilon': 4.1765596201082296e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 19:53:51,027] Trial 94 finished with value: 0.8509142053445851 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.668448242331433, 'batch_size': 45, 'attention_heads': 5, 'hidden_dimension': 109, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5855736585672082, 'global_pooling': 'max', 'learning_rate': 0.006762533264612249, 'weight_decay': 1.8348032574851447e-06, 'beta_0': 0.86677040671527, 'beta_1': 0.9898031603109255, 'epsilon': 6.114176683433116e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 19:59:56,024] Trial 95 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6790527525925533, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46118556636316216, 'global_pooling': 'max', 'learning_rate': 0.0024661333268671502, 'weight_decay': 2.4332943330588495e-06, 'beta_0': 0.8737227850234215, 'beta_1': 0.9887372791835516, 'epsilon': 2.8772269059161512e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:05:47,162] Trial 96 finished with value: 0.8741209563994374 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7399607932690804, 'batch_size': 47, 'attention_heads': 10, 'hidden_dimension': 89, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44874662011824523, 'global_pooling': 'max', 'learning_rate': 0.001766589191377035, 'weight_decay': 1.277658160781187e-06, 'beta_0': 0.8852852861409107, 'beta_1': 0.9905003054357625, 'epsilon': 3.189264868448443e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:12:19,748] Trial 97 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6979850577147214, 'batch_size': 57, 'attention_heads': 5, 'hidden_dimension': 105, 'number_of_hidden_layers': 1, 'dropout_rate': 0.55368749656761, 'global_pooling': 'max', 'learning_rate': 0.0031489732034180387, 'weight_decay': 2.058658601677477e-06, 'beta_0': 0.851082601990951, 'beta_1': 0.9931772553348058, 'epsilon': 5.016383279934966e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:18:29,878] Trial 98 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7241105592256003, 'batch_size': 50, 'attention_heads': 4, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5659912101933366, 'global_pooling': 'max', 'learning_rate': 0.0009532480910211073, 'weight_decay': 1.6229023784941945e-06, 'beta_0': 0.8566052708922645, 'beta_1': 0.9924923781344587, 'epsilon': 7.914852104095072e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:24:41,488] Trial 99 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7192044596284225, 'batch_size': 67, 'attention_heads': 5, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5629945621866718, 'global_pooling': 'max', 'learning_rate': 0.0009296387858638191, 'weight_decay': 1.5586135335801592e-06, 'beta_0': 0.8604645780590652, 'beta_1': 0.9921826852733173, 'epsilon': 6.575816789028094e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
