[I 2025-01-09 11:27:37,124] Using an existing study with name 'RTSP-GATv2-facebook-bart-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2025-01-09 11:41:02,814] Trial 87 finished with value: 0.8502109704641351 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5677638631304116, 'batch_size': 136, 'attention_heads': 14, 'hidden_dimension': 199, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3613529900985936, 'global_pooling': 'mean', 'learning_rate': 0.011802082428154767, 'weight_decay': 0.00023814076232801118, 'beta_0': 0.8118430633577361, 'beta_1': 0.9861742186136709, 'epsilon': 4.8600562167785295e-08, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 11:47:52,848] Trial 88 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.44364362912487687, 'batch_size': 108, 'attention_heads': 13, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33648112731766194, 'global_pooling': 'mean', 'learning_rate': 0.001907982064686077, 'weight_decay': 5.946301636454109e-05, 'beta_0': 0.8865021626777773, 'beta_1': 0.9920841094231203, 'epsilon': 2.996894878961025e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 11:55:08,409] Trial 89 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5097589692450337, 'batch_size': 97, 'attention_heads': 9, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4355847615524987, 'global_pooling': 'max', 'learning_rate': 0.0008438450828425825, 'weight_decay': 2.418092849725911e-06, 'beta_0': 0.8151369108736465, 'beta_1': 0.9818212831819769, 'epsilon': 9.344028792207708e-07, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 12:04:06,535] Trial 90 finished with value: 0.8305203938115331 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6838157512764863, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 171, 'number_of_hidden_layers': 3, 'dropout_rate': 0.37039495027012354, 'global_pooling': 'mean', 'learning_rate': 0.030187041569259103, 'weight_decay': 7.491160956968641e-05, 'beta_0': 0.8459456853934347, 'beta_1': 0.9821095521932455, 'epsilon': 2.6206012130045203e-07, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 19, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 12:18:22,785] Trial 91 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.46965527780841415, 'batch_size': 84, 'attention_heads': 16, 'hidden_dimension': 181, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38004308813625537, 'global_pooling': 'max', 'learning_rate': 0.008504446486533323, 'weight_decay': 3.898981321815377e-05, 'beta_0': 0.8284034974211205, 'beta_1': 0.9803818760108829, 'epsilon': 1.8682459364116543e-08, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 12:30:21,444] Trial 92 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.540132536753847, 'batch_size': 76, 'attention_heads': 12, 'hidden_dimension': 212, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4077513153828217, 'global_pooling': 'max', 'learning_rate': 0.003401349974342443, 'weight_decay': 0.00010555221526972796, 'beta_0': 0.803019261185316, 'beta_1': 0.9810597977761653, 'epsilon': 3.9040609667799954e-05, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 12:42:49,532] Trial 93 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5797953941167916, 'batch_size': 90, 'attention_heads': 13, 'hidden_dimension': 217, 'number_of_hidden_layers': 4, 'dropout_rate': 0.41072985416271535, 'global_pooling': 'max', 'learning_rate': 0.003102342285662692, 'weight_decay': 0.00010539158696566598, 'beta_0': 0.8014149648163248, 'beta_1': 0.9827533527874893, 'epsilon': 9.976623143623009e-05, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 12:54:26,116] Trial 94 finished with value: 0.6842475386779184 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5548080216940829, 'batch_size': 73, 'attention_heads': 11, 'hidden_dimension': 224, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4466025298959166, 'global_pooling': 'max', 'learning_rate': 0.006297229790643901, 'weight_decay': 0.00013994058065423267, 'beta_0': 0.8077056822086914, 'beta_1': 0.9811712141517343, 'epsilon': 2.1021004653356623e-05, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 13:04:19,009] Trial 95 finished with value: 0.8966244725738397 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5179215866982916, 'batch_size': 101, 'attention_heads': 12, 'hidden_dimension': 187, 'number_of_hidden_layers': 4, 'dropout_rate': 0.389407778131821, 'global_pooling': 'max', 'learning_rate': 0.003876779761204844, 'weight_decay': 0.00016176677226311447, 'beta_0': 0.8253331098229214, 'beta_1': 0.9853364940722741, 'epsilon': 5.146825233610146e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 13:14:07,552] Trial 96 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5415744777572766, 'batch_size': 41, 'attention_heads': 13, 'hidden_dimension': 128, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42088040979768576, 'global_pooling': 'max', 'learning_rate': 0.001238507079474096, 'weight_decay': 8.249711266729678e-05, 'beta_0': 0.8125920090830399, 'beta_1': 0.9804386443260019, 'epsilon': 5.05579821297498e-05, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 13:22:35,786] Trial 97 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.537481092695834, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 131, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4176618843401851, 'global_pooling': 'sum', 'learning_rate': 0.0012895862776811852, 'weight_decay': 0.00032503424728164143, 'beta_0': 0.8128828163165281, 'beta_1': 0.980469641607449, 'epsilon': 3.799649711216965e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 13:33:51,152] Trial 98 finished with value: 0.8959212376933896 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.492618330063553, 'batch_size': 41, 'attention_heads': 14, 'hidden_dimension': 145, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4030065175169563, 'global_pooling': 'max', 'learning_rate': 0.0019558461466895054, 'weight_decay': 0.0001778339036181426, 'beta_0': 0.8024283662617264, 'beta_1': 0.9808957635888113, 'epsilon': 8.445266063012531e-08, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 13:44:26,727] Trial 99 finished with value: 0.8895921237693389 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5426385740950238, 'batch_size': 33, 'attention_heads': 12, 'hidden_dimension': 100, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4324471696862099, 'global_pooling': 'max', 'learning_rate': 2.0453494572061994e-05, 'weight_decay': 0.0002244810632837104, 'beta_0': 0.8101108390440102, 'beta_1': 0.9819472730062102, 'epsilon': 3.274259074748242e-05, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 13:53:35,313] Trial 100 finished with value: 0.9022503516174403 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6177378847444611, 'batch_size': 59, 'attention_heads': 13, 'hidden_dimension': 119, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44482467826406236, 'global_pooling': 'max', 'learning_rate': 0.0026757690792982834, 'weight_decay': 0.0001265743896477109, 'beta_0': 0.8184405182836463, 'beta_1': 0.9804591048120321, 'epsilon': 7.033531668718058e-07, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:02:38,287] Trial 101 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6032336066862646, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45948080251617684, 'global_pooling': 'mean', 'learning_rate': 0.0047001692916373156, 'weight_decay': 5.2771625224458835e-05, 'beta_0': 0.8514100270521977, 'beta_1': 0.9907647926158297, 'epsilon': 1.7424728332703466e-07, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:10:17,088] Trial 102 finished with value: 0.9036568213783404 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5796278877311379, 'batch_size': 50, 'attention_heads': 14, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41802277836544255, 'global_pooling': 'mean', 'learning_rate': 0.004898962072598346, 'weight_decay': 5.7567613306858085e-05, 'beta_0': 0.8509148560292654, 'beta_1': 0.9905201834413021, 'epsilon': 1.5844157317510773e-07, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:18:50,240] Trial 103 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6048617140246847, 'batch_size': 64, 'attention_heads': 14, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4796629353153889, 'global_pooling': 'mean', 'learning_rate': 0.00214776044989947, 'weight_decay': 4.7897947317528857e-05, 'beta_0': 0.8537419474288502, 'beta_1': 0.9899381275997355, 'epsilon': 1.2791986770263762e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:27:20,283] Trial 104 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5905058755248495, 'batch_size': 57, 'attention_heads': 13, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40691064863040205, 'global_pooling': 'mean', 'learning_rate': 0.003958869013531504, 'weight_decay': 9.117371490077321e-05, 'beta_0': 0.8573474881413711, 'beta_1': 0.9890137746273554, 'epsilon': 6.099591647496327e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:36:34,953] Trial 105 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6378160818369852, 'batch_size': 52, 'attention_heads': 14, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4257798907718801, 'global_pooling': 'mean', 'learning_rate': 0.0034261743637350414, 'weight_decay': 8.023860181596166e-05, 'beta_0': 0.8645185566274749, 'beta_1': 0.9913742039451977, 'epsilon': 2.5320561630727656e-07, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:45:30,537] Trial 106 finished with value: 0.89943741209564 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6568045471701178, 'batch_size': 37, 'attention_heads': 15, 'hidden_dimension': 141, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3221386423442161, 'global_pooling': 'max', 'learning_rate': 0.00019944893429798578, 'weight_decay': 0.0003837864827366808, 'beta_0': 0.8064376364646612, 'beta_1': 0.9894942178516213, 'epsilon': 1.1022230468286364e-06, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 14:56:00,334] Trial 107 finished with value: 0.89943741209564 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5691087796893626, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 149, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4550879129565021, 'global_pooling': 'mean', 'learning_rate': 0.002767849830494202, 'weight_decay': 6.567104117540063e-05, 'beta_0': 0.8479542399969223, 'beta_1': 0.9936652831343943, 'epsilon': 1.8165138982752136e-07, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:06:08,064] Trial 108 finished with value: 0.9036568213783404 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5985040556378612, 'batch_size': 111, 'attention_heads': 12, 'hidden_dimension': 162, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4395295835150867, 'global_pooling': 'max', 'learning_rate': 0.0016017692447404866, 'weight_decay': 0.00010828683646961953, 'beta_0': 0.8451065211876536, 'beta_1': 0.9883107191203181, 'epsilon': 4.764319234789693e-05, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:14:42,246] Trial 109 finished with value: 0.8867791842475387 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8733361278157754, 'batch_size': 46, 'attention_heads': 15, 'hidden_dimension': 202, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5723005879571851, 'global_pooling': 'mean', 'learning_rate': 0.005796842100026139, 'weight_decay': 0.00026738332795642205, 'beta_0': 0.8683182897570396, 'beta_1': 0.9815902242611725, 'epsilon': 9.96477555701265e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:24:04,248] Trial 110 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5222375791484781, 'batch_size': 77, 'attention_heads': 13, 'hidden_dimension': 231, 'number_of_hidden_layers': 2, 'dropout_rate': 0.349263096028068, 'global_pooling': 'max', 'learning_rate': 0.0012305590312297646, 'weight_decay': 0.0001452127224594875, 'beta_0': 0.8166571581655515, 'beta_1': 0.9917248481513388, 'epsilon': 2.8106794134300137e-05, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 16, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:33:58,738] Trial 111 finished with value: 0.8417721518987342 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5446513087276676, 'batch_size': 107, 'attention_heads': 14, 'hidden_dimension': 115, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39367865374323496, 'global_pooling': 'max', 'learning_rate': 0.014187881633000526, 'weight_decay': 5.552344562614169e-05, 'beta_0': 0.8220554144991377, 'beta_1': 0.9810933578503938, 'epsilon': 5.367201610011148e-05, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:42:50,929] Trial 112 finished with value: 0.8938115330520394 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.562660759243776, 'batch_size': 80, 'attention_heads': 11, 'hidden_dimension': 209, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5480723152683574, 'global_pooling': 'max', 'learning_rate': 0.006925051646912189, 'weight_decay': 8.064338031109313e-05, 'beta_0': 0.8201884767394165, 'beta_1': 0.9908238595668881, 'epsilon': 4.188770840347658e-05, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:49:02,265] Trial 113 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9492781090307063, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 195, 'number_of_hidden_layers': 0, 'dropout_rate': 0.38183192139401334, 'global_pooling': 'max', 'learning_rate': 0.008524397306873443, 'weight_decay': 0.0001887984053374092, 'beta_0': 0.8133827968686822, 'beta_1': 0.9835027765098804, 'epsilon': 7.582641149423108e-05, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 15:57:41,562] Trial 114 finished with value: 0.8973277074542897 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5574073127216087, 'batch_size': 100, 'attention_heads': 10, 'hidden_dimension': 130, 'number_of_hidden_layers': 4, 'dropout_rate': 0.34137735729728585, 'global_pooling': 'max', 'learning_rate': 0.004967534831791807, 'weight_decay': 4.576495467689233e-05, 'beta_0': 0.824009711867856, 'beta_1': 0.9840593111544736, 'epsilon': 5.957889635433809e-06, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:05:08,685] Trial 115 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5862000237318559, 'batch_size': 70, 'attention_heads': 9, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4110096127335051, 'global_pooling': 'max', 'learning_rate': 0.004155761037760188, 'weight_decay': 2.9521471542728747e-05, 'beta_0': 0.8038641583181944, 'beta_1': 0.9823392558988836, 'epsilon': 5.667408460939462e-05, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:13:08,245] Trial 116 finished with value: 0.9050632911392406 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6322359565202169, 'batch_size': 62, 'attention_heads': 12, 'hidden_dimension': 217, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4001082009524359, 'global_pooling': 'max', 'learning_rate': 0.00444112669356674, 'weight_decay': 2.060281677642604e-05, 'beta_0': 0.8027255277624028, 'beta_1': 0.9821669869624329, 'epsilon': 8.271638079069313e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:21:07,928] Trial 117 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6362774104108458, 'batch_size': 64, 'attention_heads': 12, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4206155450386593, 'global_pooling': 'max', 'learning_rate': 0.004204717606465405, 'weight_decay': 2.208196065286104e-05, 'beta_0': 0.8026472608467268, 'beta_1': 0.9826960378835513, 'epsilon': 8.165307319486544e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:29:08,646] Trial 118 finished with value: 0.9022503516174403 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6173401273761485, 'batch_size': 54, 'attention_heads': 12, 'hidden_dimension': 220, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4116658407658607, 'global_pooling': 'mean', 'learning_rate': 0.0034827034279536692, 'weight_decay': 2.836541994766322e-05, 'beta_0': 0.8045716304774916, 'beta_1': 0.9821093555314245, 'epsilon': 5.580641557025906e-05, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:36:58,648] Trial 119 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5871889939850036, 'batch_size': 62, 'attention_heads': 11, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4323534461304142, 'global_pooling': 'sum', 'learning_rate': 0.002214772195505167, 'weight_decay': 1.2059820654803833e-05, 'beta_0': 0.8084530170373431, 'beta_1': 0.9830562083963696, 'epsilon': 2.722498880094368e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:44:33,626] Trial 120 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5050220348755547, 'batch_size': 254, 'attention_heads': 8, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3121609770092024, 'global_pooling': 'max', 'learning_rate': 0.002961026629922835, 'weight_decay': 1.7752172660479063e-05, 'beta_0': 0.8010749405878937, 'beta_1': 0.9801311403805731, 'epsilon': 1.3073855318145926e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
