Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-09 11:27:36,765] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2025-01-09 11:36:22,803] Trial 91 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5592169400856513, 'batch_size': 241, 'attention_heads': 6, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39012445022419606, 'global_pooling': 'max', 'learning_rate': 0.0008222575598484658, 'weight_decay': 5.517741939890411e-05, 'beta_0': 0.8601743537063061, 'beta_1': 0.990798152343551, 'epsilon': 4.275960740862204e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 11:43:07,196] Trial 92 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5088128125416947, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 119, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3520320353931873, 'global_pooling': 'max', 'learning_rate': 0.0018139971975047924, 'weight_decay': 0.0001563967266391439, 'beta_0': 0.895382507876706, 'beta_1': 0.9853523961195402, 'epsilon': 2.4286664447756004e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 11:50:34,584] Trial 93 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6093120023018813, 'batch_size': 96, 'attention_heads': 15, 'hidden_dimension': 129, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42975947981779644, 'global_pooling': 'max', 'learning_rate': 0.0023130715238067817, 'weight_decay': 0.00019451886621867944, 'beta_0': 0.8915153806961514, 'beta_1': 0.9829299743159658, 'epsilon': 7.188958626315231e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 11:56:48,788] Trial 94 finished with value: 0.8860759493670886 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5006681515677422, 'batch_size': 85, 'attention_heads': 9, 'hidden_dimension': 97, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36540425077564365, 'global_pooling': 'max', 'learning_rate': 0.001332905431257747, 'weight_decay': 0.00023883155751875545, 'beta_0': 0.8536828404502266, 'beta_1': 0.9859902896937703, 'epsilon': 6.176928949123274e-08, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:03:11,230] Trial 95 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.44712495700046134, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 95, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39777165183045216, 'global_pooling': 'max', 'learning_rate': 0.0014061997789490339, 'weight_decay': 0.0003621237572079248, 'beta_0': 0.848554975461278, 'beta_1': 0.9847313941952072, 'epsilon': 3.871033333508052e-08, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:09:48,528] Trial 96 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.46678927888226474, 'batch_size': 58, 'attention_heads': 9, 'hidden_dimension': 101, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36603260907984575, 'global_pooling': 'max', 'learning_rate': 0.0003901291044223701, 'weight_decay': 2.6421471831036885e-06, 'beta_0': 0.842692111291581, 'beta_1': 0.9864463093392054, 'epsilon': 5.6762084031947584e-08, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:16:13,069] Trial 97 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5771747657036246, 'batch_size': 249, 'attention_heads': 9, 'hidden_dimension': 108, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3586650597367241, 'global_pooling': 'max', 'learning_rate': 0.000603174480897257, 'weight_decay': 0.00023737470043272158, 'beta_0': 0.838471970698584, 'beta_1': 0.9879211072151753, 'epsilon': 2.140742033927368e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:23:50,699] Trial 98 finished with value: 0.8727144866385372 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.522048785546702, 'batch_size': 73, 'attention_heads': 8, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.37111443000388794, 'global_pooling': 'max', 'learning_rate': 0.0009649259030102144, 'weight_decay': 2.8264170018299033e-05, 'beta_0': 0.8549187118524324, 'beta_1': 0.9860314044448938, 'epsilon': 8.882021987868479e-08, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:29:45,385] Trial 99 finished with value: 0.8741209563994374 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5547110683279872, 'batch_size': 49, 'attention_heads': 10, 'hidden_dimension': 79, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3826036403504538, 'global_pooling': 'max', 'learning_rate': 0.0011988345633038068, 'weight_decay': 6.509973476575077e-06, 'beta_0': 0.8339410243098518, 'beta_1': 0.9822144633631332, 'epsilon': 1.5404946519175158e-07, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:36:07,742] Trial 100 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5419295473323531, 'batch_size': 224, 'attention_heads': 7, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4035103955205539, 'global_pooling': 'mean', 'learning_rate': 0.0004997326756605825, 'weight_decay': 0.00010340710353587925, 'beta_0': 0.8854262004091454, 'beta_1': 0.9870342351050411, 'epsilon': 7.183185392021094e-08, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:42:54,614] Trial 101 finished with value: 0.8874824191279888 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5000696686759288, 'batch_size': 89, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44738618535801244, 'global_pooling': 'max', 'learning_rate': 0.004833087993609582, 'weight_decay': 0.00012756023047751162, 'beta_0': 0.8493258579951724, 'beta_1': 0.9928379171908259, 'epsilon': 1.9279005291715342e-06, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
