[I 2025-04-02 05:20:02,895] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-02 05:40:20,662] Trial 52 finished with value: 0.623082306710378 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 86, 'attention_heads': 13, 'hidden_dimension': 204, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46426747232112114, 'global_pooling': 'mean', 'learning_rate': 0.0005135179490644988, 'weight_decay': 1.6660008165950192e-05, 'beta_0': 0.8273935974751065, 'beta_1': 0.9952140324141445, 'epsilon': 6.642247626523708e-08, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 06:00:59,150] Trial 53 finished with value: 0.6183694325538697 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 81, 'attention_heads': 16, 'hidden_dimension': 195, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47680128310142433, 'global_pooling': 'mean', 'learning_rate': 0.0007711431267739297, 'weight_decay': 6.37002108558593e-06, 'beta_0': 0.8177109877527466, 'beta_1': 0.9969243166338929, 'epsilon': 3.7516858453263336e-08, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 06:20:41,840] Trial 54 finished with value: 0.6160551072523346 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48939036408593306, 'global_pooling': 'mean', 'learning_rate': 0.00034174669258544405, 'weight_decay': 1.5308187874564249e-06, 'beta_0': 0.8349382377339571, 'beta_1': 0.9967395329836606, 'epsilon': 1.992533277121493e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 06:36:16,835] Trial 55 finished with value: 0.5889323743334619 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 77, 'attention_heads': 15, 'hidden_dimension': 212, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5022994155611352, 'global_pooling': 'mean', 'learning_rate': 0.0012794453414478354, 'weight_decay': 3.3516226889861377e-06, 'beta_0': 0.8137940660507903, 'beta_1': 0.9844204985709665, 'epsilon': 3.234320856519044e-08, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 06:56:30,386] Trial 56 finished with value: 0.6057111859939096 and parameters: {'left_stride': 0, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 61, 'attention_heads': 16, 'hidden_dimension': 182, 'number_of_hidden_layers': 1, 'dropout_rate': 0.540272345549749, 'global_pooling': 'mean', 'learning_rate': 0.003206785905409232, 'weight_decay': 0.0002219579711456024, 'beta_0': 0.8597249902082076, 'beta_1': 0.9863660645794939, 'epsilon': 7.99569824479318e-08, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 07:19:11,379] Trial 57 finished with value: 0.6303660860909013 and parameters: {'left_stride': 32, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 8, 'batch_size': 100, 'attention_heads': 11, 'hidden_dimension': 242, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46501591226114675, 'global_pooling': 'mean', 'learning_rate': 0.00023280962240396964, 'weight_decay': 0.0001004700829783649, 'beta_0': 0.8269038422738186, 'beta_1': 0.9912175254405362, 'epsilon': 1.3702372818724332e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 07:42:10,291] Trial 58 finished with value: 0.6239236807179381 and parameters: {'left_stride': 256, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 232, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3255763553400995, 'global_pooling': 'max', 'learning_rate': 0.00036834470072524887, 'weight_decay': 2.240723362235925e-05, 'beta_0': 0.8041263258423367, 'beta_1': 0.9933134923662604, 'epsilon': 4.744485455974786e-08, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 08:05:06,412] Trial 59 finished with value: 0.5672991307124989 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 87, 'attention_heads': 14, 'hidden_dimension': 150, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4194122683384253, 'global_pooling': 'sum', 'learning_rate': 6.371650517384496e-05, 'weight_decay': 1.482913452023672e-05, 'beta_0': 0.824345437039696, 'beta_1': 0.9835394628280085, 'epsilon': 1.08013185526051e-08, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 08:21:33,497] Trial 60 finished with value: 0.6177800619202332 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 70, 'attention_heads': 13, 'hidden_dimension': 59, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3609391613533228, 'global_pooling': 'max', 'learning_rate': 0.002044267845710761, 'weight_decay': 0.0002984036626102125, 'beta_0': 0.8161650394579504, 'beta_1': 0.9887615462202274, 'epsilon': 1.1805318627539456e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 08:36:19,062] Trial 61 finished with value: 0.6248231289577124 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 116, 'attention_heads': 5, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.386699765357885, 'global_pooling': 'sum', 'learning_rate': 0.0005917014037723018, 'weight_decay': 4.347392783093152e-05, 'beta_0': 0.8457126576818236, 'beta_1': 0.9960863940441286, 'epsilon': 2.48733780563159e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-04-02 09:01:54,671] Trial 62 finished with value: 0.6398396950486896 and parameters: {'left_stride': 32, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 9, 'batch_size': 99, 'attention_heads': 11, 'hidden_dimension': 243, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46721736899659666, 'global_pooling': 'mean', 'learning_rate': 0.0001974615449844349, 'weight_decay': 9.363602104383564e-05, 'beta_0': 0.8385566995205279, 'beta_1': 0.9905770976094483, 'epsilon': 1.4627575465474777e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
