[I 2025-02-27 14:42:45,637] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-27 15:03:50,303] Trial 126 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9853328433246231, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42829068332407033, 'global_pooling': 'sum', 'learning_rate': 0.0012710892627556796, 'weight_decay': 2.227185974229636e-06, 'beta_0': 0.863745124388558, 'beta_1': 0.9878560331484864, 'epsilon': 9.164339811852586e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 15:19:07,151] Trial 127 finished with value: 0.6545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9996871508009315, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4552846727630069, 'global_pooling': 'sum', 'learning_rate': 0.0014965333014297906, 'weight_decay': 1.6193726309399765e-06, 'beta_0': 0.8661334468165767, 'beta_1': 0.9892573766671019, 'epsilon': 3.59294890331442e-07, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 15:35:10,890] Trial 128 finished with value: 0.8121212121212121 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9975099678586031, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 194, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4644331620490172, 'global_pooling': 'sum', 'learning_rate': 0.0010294421987505364, 'weight_decay': 1.8337827940214725e-06, 'beta_0': 0.860623219078882, 'beta_1': 0.9897662540841149, 'epsilon': 6.391039099895138e-07, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 15:58:14,678] Trial 129 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9912495186005373, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 209, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41258296035305164, 'global_pooling': 'sum', 'learning_rate': 4.70283265380941e-05, 'weight_decay': 1.0345653100577051e-06, 'beta_0': 0.8680667678336862, 'beta_1': 0.9868083461135565, 'epsilon': 6.33367485060273e-08, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 16:18:36,505] Trial 130 finished with value: 0.7818181818181819 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9885527296648617, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44313867371487364, 'global_pooling': 'sum', 'learning_rate': 0.04111834324236489, 'weight_decay': 1.3433117465389835e-06, 'beta_0': 0.8517911778234655, 'beta_1': 0.9876051831348914, 'epsilon': 1.990323666350452e-06, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 16:38:23,718] Trial 131 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.983544596943094, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41923588801998635, 'global_pooling': 'sum', 'learning_rate': 0.0009263086738134034, 'weight_decay': 0.0009154981776170629, 'beta_0': 0.8646742061217616, 'beta_1': 0.9885520962562857, 'epsilon': 4.0944874308513395e-07, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 71 with value: 0.8909090909090909.
CUDA out of memory. Tried to allocate 2.31 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.91 GiB is free. Including non-PyTorch memory, this process has 42.64 GiB memory in use. Of the allocated memory 39.11 GiB is allocated by PyTorch, and 2.38 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-27 16:53:56,514] Trial 132 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9434752086000726, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4718464614366494, 'global_pooling': 'sum', 'learning_rate': 0.000764662493662483, 'weight_decay': 0.000511105612472168, 'beta_0': 0.8699299399176077, 'beta_1': 0.9858708325128167, 'epsilon': 2.3680889106352815e-07, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 17:12:07,569] Trial 133 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9944615906324693, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 188, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43771886232183566, 'global_pooling': 'sum', 'learning_rate': 0.001162610390612461, 'weight_decay': 3.1476260082421075e-06, 'beta_0': 0.8731692327917153, 'beta_1': 0.9884355811945094, 'epsilon': 1.1825336165422405e-06, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 17:30:51,585] Trial 134 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9937720555637684, 'batch_size': 30, 'attention_heads': 4, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4362665054703549, 'global_pooling': 'sum', 'learning_rate': 0.0019630231640165798, 'weight_decay': 1.609512743617556e-06, 'beta_0': 0.8752195942894613, 'beta_1': 0.987630150325291, 'epsilon': 5.391025765325551e-07, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 17:49:00,399] Trial 135 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9962778982675353, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 195, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45926996906163986, 'global_pooling': 'sum', 'learning_rate': 0.000649912194636417, 'weight_decay': 2.958921458526483e-06, 'beta_0': 0.8722173384657113, 'beta_1': 0.9882002884131648, 'epsilon': 1.3292297333672924e-06, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
