[I 2025-03-08 09:47:42,326] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 10:02:30,500] Trial 204 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9627746528591149, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5771675205960727, 'global_pooling': 'mean', 'learning_rate': 0.0007075976117791731, 'weight_decay': 1.455372902170249e-06, 'beta_0': 0.8618855481570443, 'beta_1': 0.9835759787803888, 'epsilon': 3.1373393510833834e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 10:16:48,914] Trial 205 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9675077404525132, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 0, 'dropout_rate': 0.590215549466325, 'global_pooling': 'mean', 'learning_rate': 0.0008593043484221456, 'weight_decay': 1.923370206276472e-06, 'beta_0': 0.8636749174656415, 'beta_1': 0.9821094518512538, 'epsilon': 7.001671761654443e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 10:31:45,804] Trial 206 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9658219104175051, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5749559772753975, 'global_pooling': 'mean', 'learning_rate': 0.0004938294856942358, 'weight_decay': 1.3223821803964927e-06, 'beta_0': 0.8586204797810518, 'beta_1': 0.9815109221328524, 'epsilon': 4.0269867013665455e-06, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 10:45:30,451] Trial 207 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.961363684606241, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 99, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5955507599742036, 'global_pooling': 'mean', 'learning_rate': 0.00034564820568764427, 'weight_decay': 1.157237203987447e-06, 'beta_0': 0.8675511698170993, 'beta_1': 0.9825288187910867, 'epsilon': 1.7110670362030516e-07, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 10:55:55,376] Trial 208 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9695545079757573, 'batch_size': 17, 'attention_heads': 5, 'hidden_dimension': 114, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5543040047682366, 'global_pooling': 'max', 'learning_rate': 0.0002632557776395162, 'weight_decay': 1.5401945631651824e-06, 'beta_0': 0.8606792090196953, 'beta_1': 0.9829858107533188, 'epsilon': 2.2130172021307412e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 12, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 11:14:17,929] Trial 209 finished with value: 0.9212121212121213 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9635905197240968, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5870652853410951, 'global_pooling': 'mean', 'learning_rate': 0.0005810039474380645, 'weight_decay': 1.6925810520945407e-06, 'beta_0': 0.8660019676772984, 'beta_1': 0.9832446017453333, 'epsilon': 6.281967926847844e-06, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 11:32:38,516] Trial 210 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9724454593797375, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 135, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5860393608391277, 'global_pooling': 'mean', 'learning_rate': 0.0004244233775945396, 'weight_decay': 2.0599194858458812e-06, 'beta_0': 0.8694944417462697, 'beta_1': 0.9827674441317148, 'epsilon': 5.224899442866486e-06, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 1.69 GiB. GPU 0 has a total capacity of 44.56 GiB of which 26.69 MiB is free. Including non-PyTorch memory, this process has 44.53 GiB memory in use. Of the allocated memory 37.97 GiB is allocated by PyTorch, and 5.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 11:49:14,982] Trial 211 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9473878318168437, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5946344397092456, 'global_pooling': 'mean', 'learning_rate': 0.0006637184063038557, 'weight_decay': 1.722877888970538e-06, 'beta_0': 0.8651737676849044, 'beta_1': 0.9817779412866237, 'epsilon': 5.675104284213974e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 12:07:38,562] Trial 212 finished with value: 0.9151515151515152 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9631132748286666, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5893592134029446, 'global_pooling': 'mean', 'learning_rate': 0.000603469237849593, 'weight_decay': 1.571117386823693e-06, 'beta_0': 0.8621485420429004, 'beta_1': 0.9836723866620963, 'epsilon': 4.587164875358678e-07, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 12:26:01,732] Trial 213 finished with value: 0.9212121212121213 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9634146818511528, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5996850069249386, 'global_pooling': 'mean', 'learning_rate': 0.0004592655826327337, 'weight_decay': 1.6302924855778036e-06, 'beta_0': 0.8662458492577289, 'beta_1': 0.983248822934224, 'epsilon': 5.758658183028836e-07, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
