[I 2025-02-28 10:40:08,950] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 10:53:08,579] Trial 189 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9739853761948901, 'batch_size': 17, 'attention_heads': 8, 'hidden_dimension': 114, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5171155144285239, 'global_pooling': 'sum', 'learning_rate': 0.003456778968892944, 'weight_decay': 2.5941819060819465e-06, 'beta_0': 0.8149757859942945, 'beta_1': 0.980208890739195, 'epsilon': 6.498168850873444e-06, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 11:08:04,352] Trial 190 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9774783642196726, 'batch_size': 16, 'attention_heads': 8, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5094561402672075, 'global_pooling': 'sum', 'learning_rate': 0.005620535525504297, 'weight_decay': 4.268790037271337e-06, 'beta_0': 0.8138708295228774, 'beta_1': 0.9805902213050135, 'epsilon': 8.126883462236844e-06, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 11:23:18,782] Trial 191 finished with value: 0.8424242424242424 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.97274006832271, 'batch_size': 16, 'attention_heads': 9, 'hidden_dimension': 39, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5294373681515017, 'global_pooling': 'sum', 'learning_rate': 0.003710634896459088, 'weight_decay': 2.3474844523108784e-06, 'beta_0': 0.8068955770307473, 'beta_1': 0.980003039846199, 'epsilon': 8.501947477862481e-06, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 11:42:50,617] Trial 192 finished with value: 0.8727272727272727 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9713552643141978, 'batch_size': 18, 'attention_heads': 8, 'hidden_dimension': 46, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5253528765020027, 'global_pooling': 'sum', 'learning_rate': 0.0030588250121254745, 'weight_decay': 2.8428715251709315e-06, 'beta_0': 0.8112574652705525, 'beta_1': 0.9807057652350898, 'epsilon': 1.1756370711862226e-05, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 11:58:45,372] Trial 193 finished with value: 0.8666666666666667 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9760226386862806, 'batch_size': 18, 'attention_heads': 8, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5069583641849662, 'global_pooling': 'sum', 'learning_rate': 0.0023096162764347735, 'weight_decay': 2.079529456756402e-06, 'beta_0': 0.8114394827422342, 'beta_1': 0.981026346871203, 'epsilon': 1.4114508459181784e-05, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 12:14:21,946] Trial 194 finished with value: 0.8484848484848485 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9773040396836261, 'batch_size': 16, 'attention_heads': 8, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5156643868321323, 'global_pooling': 'sum', 'learning_rate': 0.00466258617814289, 'weight_decay': 1.6631522238684585e-06, 'beta_0': 0.8171057412237333, 'beta_1': 0.9810591069064626, 'epsilon': 9.936412658917609e-06, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 12:34:18,690] Trial 195 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9800824031044393, 'batch_size': 19, 'attention_heads': 8, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4995138707577732, 'global_pooling': 'sum', 'learning_rate': 0.003122609330558688, 'weight_decay': 1.930398273628858e-06, 'beta_0': 0.8097322655229797, 'beta_1': 0.9814959382783539, 'epsilon': 1.8331625474762252e-05, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 12:51:44,545] Trial 196 finished with value: 0.8545454545454545 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9792971576961267, 'batch_size': 19, 'attention_heads': 9, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4995206364504761, 'global_pooling': 'sum', 'learning_rate': 0.0033218537680470713, 'weight_decay': 2.3117173673407777e-06, 'beta_0': 0.8089983986084817, 'beta_1': 0.9817789022643952, 'epsilon': 1.9693505683557358e-05, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 13:10:22,293] Trial 197 finished with value: 0.8666666666666667 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9800530423630872, 'batch_size': 18, 'attention_heads': 8, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5014705246156516, 'global_pooling': 'sum', 'learning_rate': 0.002453159153250306, 'weight_decay': 1.428942132430047e-06, 'beta_0': 0.8129487661010124, 'beta_1': 0.9945019000418447, 'epsilon': 1.4508440322908339e-05, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 13:35:37,511] Trial 198 finished with value: 0.8424242424242424 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9818838818915859, 'batch_size': 19, 'attention_heads': 8, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5066960296451037, 'global_pooling': 'sum', 'learning_rate': 0.002021256839135345, 'weight_decay': 3.226951115729435e-06, 'beta_0': 0.8155288677730592, 'beta_1': 0.9815484227728842, 'epsilon': 1.6921208443363843e-05, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 13:50:11,625] Trial 199 finished with value: 0.8303030303030303 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9932762792570837, 'batch_size': 20, 'attention_heads': 7, 'hidden_dimension': 101, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4959927047274944, 'global_pooling': 'sum', 'learning_rate': 0.006662756338946096, 'weight_decay': 2.0472468980882576e-06, 'beta_0': 0.805763022004649, 'beta_1': 0.980439885001278, 'epsilon': 2.3856029412303275e-05, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
