[I 2024-11-13 23:38:40,756] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-13 23:55:22,315] Trial 55 finished with value: 0.5947971495413724 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.870297879299208, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3399126268916518, 'global_pooling': 'mean', 'learning_rate': 0.0001263927668537034, 'weight_decay': 0.00025951662929191605, 'beta_0': 0.8774099743966011, 'beta_1': 0.998089733453235, 'epsilon': 1.8140375094478907e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 20 with value: 0.6249205069734698.
[I 2024-11-14 00:08:58,980] Trial 56 finished with value: 0.6258363326360883 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8781990235323675, 'batch_size': 48, 'attention_heads': 11, 'hidden_dimension': 132, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4912775413824324, 'global_pooling': 'mean', 'learning_rate': 0.00040680359707193184, 'weight_decay': 0.00036862579878165397, 'beta_0': 0.8877575723749971, 'beta_1': 0.9969812596369856, 'epsilon': 1.4828086621434557e-07, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 00:25:10,765] Trial 57 finished with value: 0.5742980285071136 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8430368411105098, 'batch_size': 46, 'attention_heads': 11, 'hidden_dimension': 128, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3226115587680179, 'global_pooling': 'mean', 'learning_rate': 0.0001565644646749741, 'weight_decay': 0.00033180786687339397, 'beta_0': 0.8855322862468752, 'beta_1': 0.9984380912260773, 'epsilon': 5.0549729766121715e-08, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 00:42:09,994] Trial 58 finished with value: 0.5696489483101344 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8797304016779555, 'batch_size': 40, 'attention_heads': 10, 'hidden_dimension': 137, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4917985171666568, 'global_pooling': 'mean', 'learning_rate': 0.0004272125306184738, 'weight_decay': 0.0007528758317426006, 'beta_0': 0.8926891802141402, 'beta_1': 0.9965872748740219, 'epsilon': 1.4550670270422397e-07, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 00:53:53,737] Trial 59 finished with value: 0.590596032296353 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8907275705447, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30120653407050685, 'global_pooling': 'mean', 'learning_rate': 0.0007243364430457414, 'weight_decay': 0.00011829227545032857, 'beta_0': 0.878692336361226, 'beta_1': 0.9955816139834869, 'epsilon': 2.6150060751944146e-07, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 01:07:07,410] Trial 60 finished with value: 0.47253188656144673 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8941214781744227, 'batch_size': 47, 'attention_heads': 10, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5153873259335261, 'global_pooling': 'sum', 'learning_rate': 7.267314242773729e-05, 'weight_decay': 0.0003922890034958148, 'beta_0': 0.8883682767974078, 'beta_1': 0.9983819126773417, 'epsilon': 9.935138101942618e-05, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 01:21:15,801] Trial 61 finished with value: 0.5298663882883843 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9064304606618382, 'batch_size': 94, 'attention_heads': 12, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3912941840238906, 'global_pooling': 'mean', 'learning_rate': 0.00356776779181919, 'weight_decay': 0.00021574867510918693, 'beta_0': 0.8965411752528301, 'beta_1': 0.9989950986605218, 'epsilon': 7.542988409323888e-08, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 01:35:24,985] Trial 62 finished with value: 0.5737875913135358 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8760698533820152, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5283961049410277, 'global_pooling': 'mean', 'learning_rate': 0.00023669318116187286, 'weight_decay': 0.0005988870456631283, 'beta_0': 0.8833789966109523, 'beta_1': 0.9931077465402613, 'epsilon': 1.2240715116668556e-07, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 01:46:55,955] Trial 63 finished with value: 0.5923581428951376 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8589922521918827, 'batch_size': 78, 'attention_heads': 9, 'hidden_dimension': 175, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3574557615091409, 'global_pooling': 'max', 'learning_rate': 0.00044784822715334104, 'weight_decay': 0.0002677614889139851, 'beta_0': 0.8717046465919986, 'beta_1': 0.996503187964843, 'epsilon': 4.5173226483167495e-08, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
CUDA out of memory. Tried to allocate 2.15 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.63 GiB is free. Including non-PyTorch memory, this process has 42.92 GiB memory in use. Of the allocated memory 39.62 GiB is allocated by PyTorch, and 2.16 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-14 01:55:35,324] Trial 64 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8721650505966609, 'batch_size': 128, 'attention_heads': 11, 'hidden_dimension': 165, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49200937605812656, 'global_pooling': 'mean', 'learning_rate': 0.0010093023973536523, 'weight_decay': 0.00043017978380048186, 'beta_0': 0.8656405822669639, 'beta_1': 0.9974267298970891, 'epsilon': 2.2311213072765804e-07, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
