[I 2024-11-15 06:30:19,532] Using an existing study with name 'Ohsumed-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-15 06:43:47,635] Trial 192 finished with value: 0.5985122207411514 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8363288452241344, 'batch_size': 95, 'attention_heads': 15, 'hidden_dimension': 98, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3007932246459075, 'global_pooling': 'max', 'learning_rate': 0.0007279032363544672, 'weight_decay': 0.00020046636405982312, 'beta_0': 0.8849746220639059, 'beta_1': 0.9887486936822794, 'epsilon': 2.8110020894865536e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 06:57:13,176] Trial 193 finished with value: 0.6083895490356194 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8555229432615817, 'batch_size': 105, 'attention_heads': 16, 'hidden_dimension': 94, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33130995265209623, 'global_pooling': 'max', 'learning_rate': 0.00029776274653114715, 'weight_decay': 0.00041731557729708906, 'beta_0': 0.8719453904489016, 'beta_1': 0.9892958310139721, 'epsilon': 6.012062055894724e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 07:09:36,809] Trial 194 finished with value: 0.6110403168230993 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8447362923466755, 'batch_size': 91, 'attention_heads': 15, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31274364235444, 'global_pooling': 'max', 'learning_rate': 0.0004053328209865726, 'weight_decay': 0.0007613234888638131, 'beta_0': 0.876620965025585, 'beta_1': 0.9849689140534623, 'epsilon': 4.1415102450543366e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 16, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 07:22:04,436] Trial 195 finished with value: 0.6051798505073763 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8716450269602534, 'batch_size': 96, 'attention_heads': 14, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3500688537068687, 'global_pooling': 'max', 'learning_rate': 0.0005486765790236875, 'weight_decay': 0.0002734189150886224, 'beta_0': 0.8875294595732206, 'beta_1': 0.9879667403469314, 'epsilon': 7.8999503502306e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 07:35:02,511] Trial 196 finished with value: 0.6243525030776133 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.839204013854644, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35688829099757396, 'global_pooling': 'max', 'learning_rate': 0.0002578084276634502, 'weight_decay': 0.0004822083516802333, 'beta_0': 0.8786934623542525, 'beta_1': 0.9866748148517591, 'epsilon': 3.15414821493099e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 07:47:46,627] Trial 197 finished with value: 0.5958082347714189 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8249688905959996, 'batch_size': 98, 'attention_heads': 10, 'hidden_dimension': 113, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35789774180509126, 'global_pooling': 'max', 'learning_rate': 0.0002675513176744111, 'weight_decay': 0.00048307883670454653, 'beta_0': 0.879279954104246, 'beta_1': 0.9867559229268532, 'epsilon': 3.673651742363046e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 08:01:15,122] Trial 198 finished with value: 0.6203745950908479 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8355074719989969, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.458651729870965, 'global_pooling': 'max', 'learning_rate': 0.00021451140528178707, 'weight_decay': 0.0005799543638333891, 'beta_0': 0.8324991193329802, 'beta_1': 0.9872452510848384, 'epsilon': 5.004488190256302e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 08:13:32,089] Trial 199 finished with value: 0.6058006707879272 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8405021015573378, 'batch_size': 103, 'attention_heads': 9, 'hidden_dimension': 102, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33877103990410423, 'global_pooling': 'max', 'learning_rate': 0.00033082534154524644, 'weight_decay': 0.0003624774729546888, 'beta_0': 0.8826137749131078, 'beta_1': 0.9884331097080361, 'epsilon': 3.2142793637999896e-07, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 08:27:34,606] Trial 200 finished with value: 0.6094816627859776 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.832702697823903, 'batch_size': 94, 'attention_heads': 15, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36849244277366344, 'global_pooling': 'max', 'learning_rate': 0.00041405864074370275, 'weight_decay': 2.7094655900232963e-05, 'beta_0': 0.875414771391771, 'beta_1': 0.9891443465556697, 'epsilon': 6.720001587215716e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 08:40:58,672] Trial 201 finished with value: 0.6108127984616217 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8484462355838861, 'batch_size': 99, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35984736686689384, 'global_pooling': 'max', 'learning_rate': 0.00025752804399051325, 'weight_decay': 0.0003284269787631852, 'beta_0': 0.8793972867076432, 'beta_1': 0.9874976134514227, 'epsilon': 2.212203277548243e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 08:52:08,694] Trial 202 finished with value: 0.6179461058388472 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8522072634350282, 'batch_size': 112, 'attention_heads': 8, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3281933712678978, 'global_pooling': 'max', 'learning_rate': 0.0004961785441941938, 'weight_decay': 0.000444136549432765, 'beta_0': 0.822224914622008, 'beta_1': 0.9879522324540846, 'epsilon': 4.5006648806807283e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
