[I 2024-11-16 12:48:02,083] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-16 13:13:53,148] Trial 238 finished with value: 0.6197449861069393 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8560247078179224, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4440168455153035, 'global_pooling': 'max', 'learning_rate': 0.00014561912722216343, 'weight_decay': 0.00013991153632775285, 'beta_0': 0.8088834268839863, 'beta_1': 0.9856484225932158, 'epsilon': 2.4728717178188806e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 13:40:01,166] Trial 239 finished with value: 0.6355383576581366 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8584670312604951, 'batch_size': 38, 'attention_heads': 13, 'hidden_dimension': 251, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4283408575756911, 'global_pooling': 'max', 'learning_rate': 0.00012499436756233958, 'weight_decay': 0.00011392907573844209, 'beta_0': 0.8154912574580494, 'beta_1': 0.985953916152015, 'epsilon': 3.9930002545504415e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 14:05:37,519] Trial 240 finished with value: 0.6297809063202414 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8576628692426528, 'batch_size': 36, 'attention_heads': 13, 'hidden_dimension': 250, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4278080532575504, 'global_pooling': 'max', 'learning_rate': 0.00011191746134244697, 'weight_decay': 0.00021282206639059944, 'beta_0': 0.8147781912785448, 'beta_1': 0.9865616607912606, 'epsilon': 3.7396041340692966e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 14:31:24,654] Trial 241 finished with value: 0.6274052107028752 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8551833666870825, 'batch_size': 36, 'attention_heads': 13, 'hidden_dimension': 250, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42900632687443985, 'global_pooling': 'max', 'learning_rate': 0.00011873561960087073, 'weight_decay': 0.00017820711420179537, 'beta_0': 0.814983220775305, 'beta_1': 0.9865915641172548, 'epsilon': 3.421468169321259e-05, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 14:57:31,578] Trial 242 finished with value: 0.637169308919681 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8516558675309398, 'batch_size': 33, 'attention_heads': 13, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4346160815967318, 'global_pooling': 'max', 'learning_rate': 0.00014370140823418128, 'weight_decay': 0.00018400847401446339, 'beta_0': 0.8074142611916252, 'beta_1': 0.986041861553509, 'epsilon': 4.157770630559667e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 15:22:14,196] Trial 243 finished with value: 0.6420653295791585 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8517937330081652, 'batch_size': 33, 'attention_heads': 13, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43489821950825036, 'global_pooling': 'max', 'learning_rate': 0.00013958562310472812, 'weight_decay': 0.00018295645000063844, 'beta_0': 0.8075461147879163, 'beta_1': 0.9859919333854066, 'epsilon': 1.8146901607680657e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 15:47:03,111] Trial 244 finished with value: 0.6310736701358541 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8454036048118058, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 239, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4321760852631178, 'global_pooling': 'max', 'learning_rate': 0.00014682686601944945, 'weight_decay': 0.00016488432542885212, 'beta_0': 0.8069453841540194, 'beta_1': 0.986091434782112, 'epsilon': 1.7794634570676773e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 16:09:41,712] Trial 245 finished with value: 0.5736731216626832 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8510215328012343, 'batch_size': 34, 'attention_heads': 13, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.434790826511673, 'global_pooling': 'sum', 'learning_rate': 0.00013699711782669456, 'weight_decay': 0.00018775214392819885, 'beta_0': 0.8070433373763598, 'beta_1': 0.9868506751586256, 'epsilon': 1.6901320871078456e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 16:36:28,292] Trial 246 finished with value: 0.6319818184458441 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.846923621307794, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41802847958053924, 'global_pooling': 'max', 'learning_rate': 0.00016184810050101316, 'weight_decay': 0.00018190012171388886, 'beta_0': 0.8111728682179479, 'beta_1': 0.9860168738027517, 'epsilon': 4.971049082138913e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 17:02:51,985] Trial 247 finished with value: 0.6321572295151333 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8468277898279235, 'batch_size': 33, 'attention_heads': 14, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4183658460729873, 'global_pooling': 'max', 'learning_rate': 0.00015527461664372244, 'weight_decay': 0.00016905199726271734, 'beta_0': 0.8046079607723741, 'beta_1': 0.9860943436715227, 'epsilon': 5.5440504898525804e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 17:28:18,257] Trial 248 finished with value: 0.6195831175475461 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.849926959399186, 'batch_size': 35, 'attention_heads': 14, 'hidden_dimension': 244, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41683229338312283, 'global_pooling': 'max', 'learning_rate': 0.00016556463771642938, 'weight_decay': 0.00016465614526493808, 'beta_0': 0.8115400098744391, 'beta_1': 0.9856842204694011, 'epsilon': 6.17386682719911e-05, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
