[I 2024-11-30 06:30:22,122] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-30 06:51:38,409] Trial 157 finished with value: 0.6134342704237122 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8631043782446879, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34998559553728703, 'global_pooling': 'max', 'learning_rate': 9.646769676645043e-05, 'weight_decay': 3.782985071063212e-06, 'beta_0': 0.8665279012455017, 'beta_1': 0.9867009454996012, 'epsilon': 1.1875098185159952e-06, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 07:12:44,093] Trial 158 finished with value: 0.5401314677572635 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.871927971514619, 'batch_size': 64, 'attention_heads': 10, 'hidden_dimension': 247, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38243910820173943, 'global_pooling': 'sum', 'learning_rate': 6.79879720606528e-05, 'weight_decay': 2.1714690093708416e-06, 'beta_0': 0.8762345229946898, 'beta_1': 0.9862231379896379, 'epsilon': 1.590837222496531e-06, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 07:33:51,220] Trial 159 finished with value: 0.5940005292520226 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8602957746336668, 'batch_size': 75, 'attention_heads': 9, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3631868632205671, 'global_pooling': 'max', 'learning_rate': 0.00012136850009365672, 'weight_decay': 1.0044156639043725e-06, 'beta_0': 0.879338248946124, 'beta_1': 0.9889230372053006, 'epsilon': 9.072293196995412e-07, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 07:54:22,458] Trial 160 finished with value: 0.5446124780340031 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8544941126676917, 'batch_size': 70, 'attention_heads': 10, 'hidden_dimension': 231, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3348718194841956, 'global_pooling': 'max', 'learning_rate': 0.00015950579377844003, 'weight_decay': 2.4441690243794633e-06, 'beta_0': 0.8755314683143224, 'beta_1': 0.9875192177855624, 'epsilon': 1.2826728200377047e-06, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 08:17:37,382] Trial 161 finished with value: 0.6151073508832148 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8689666583578582, 'batch_size': 66, 'attention_heads': 10, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3894386379638335, 'global_pooling': 'max', 'learning_rate': 7.815530322976932e-05, 'weight_decay': 1.3756146007192462e-06, 'beta_0': 0.8709717187338603, 'beta_1': 0.9883571481492827, 'epsilon': 7.283698182525837e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 08:37:26,401] Trial 162 finished with value: 0.618203403181201 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8791727311907889, 'batch_size': 74, 'attention_heads': 11, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3563342347845373, 'global_pooling': 'max', 'learning_rate': 0.0001943317450630054, 'weight_decay': 2.444174335645472e-06, 'beta_0': 0.87313436251914, 'beta_1': 0.9879686740594249, 'epsilon': 1.128376310728898e-06, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 16, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 09:01:22,614] Trial 163 finished with value: 0.6376481188119996 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8742619901610766, 'batch_size': 61, 'attention_heads': 11, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.372317005609287, 'global_pooling': 'max', 'learning_rate': 0.00011729767453300686, 'weight_decay': 3.446847661427292e-06, 'beta_0': 0.8682974330283252, 'beta_1': 0.9870047377079098, 'epsilon': 9.030285477824885e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 09:23:41,633] Trial 164 finished with value: 0.6439526562846044 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8730930387429953, 'batch_size': 62, 'attention_heads': 10, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37137555481335605, 'global_pooling': 'max', 'learning_rate': 0.00010750182259529918, 'weight_decay': 5.286883011114127e-06, 'beta_0': 0.8685175266811329, 'beta_1': 0.9869052682251938, 'epsilon': 8.33791614750955e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 09:44:35,754] Trial 165 finished with value: 0.6246408482346559 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.873048367049262, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 251, 'number_of_hidden_layers': 2, 'dropout_rate': 0.380314455151371, 'global_pooling': 'max', 'learning_rate': 0.00011871779510539656, 'weight_decay': 3.8021039077418605e-06, 'beta_0': 0.8671738160527519, 'beta_1': 0.9873095660471392, 'epsilon': 8.039378224227988e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 10:06:03,563] Trial 166 finished with value: 0.6332593722031414 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8578702517050725, 'batch_size': 59, 'attention_heads': 10, 'hidden_dimension': 244, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37095904306920346, 'global_pooling': 'max', 'learning_rate': 0.0001552992723927536, 'weight_decay': 3.532740513328704e-06, 'beta_0': 0.8688568341766721, 'beta_1': 0.9870113766757838, 'epsilon': 5.529370072725302e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 10:25:48,161] Trial 167 finished with value: 0.6351409702782038 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8830622357513505, 'batch_size': 59, 'attention_heads': 10, 'hidden_dimension': 246, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37186640042282904, 'global_pooling': 'max', 'learning_rate': 0.00015552850454755688, 'weight_decay': 6.6452482535581066e-06, 'beta_0': 0.8693831137608617, 'beta_1': 0.9865129880279075, 'epsilon': 5.472699454666196e-07, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
