[I 2024-12-11 09:59:57,321] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-11 10:16:38,289] Trial 187 finished with value: 0.6530250939413905 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.889576554043096, 'batch_size': 72, 'attention_heads': 10, 'hidden_dimension': 220, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46920778712668065, 'global_pooling': 'mean', 'learning_rate': 0.0015051330829335514, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8126376435424241, 'beta_1': 0.9893900736586303, 'epsilon': 5.159667496739826e-06, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 10:34:42,886] Trial 188 finished with value: 0.6654597656125365 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9023155214129546, 'batch_size': 79, 'attention_heads': 10, 'hidden_dimension': 244, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5998087315924654, 'global_pooling': 'mean', 'learning_rate': 0.0009258770486209559, 'weight_decay': 1.1523354271984154e-06, 'beta_0': 0.8280177314439578, 'beta_1': 0.9858517325934124, 'epsilon': 7.125027741837821e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
CUDA out of memory. Tried to allocate 1.55 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.11 GiB is free. Including non-PyTorch memory, this process has 43.45 GiB memory in use. Of the allocated memory 41.28 GiB is allocated by PyTorch, and 1.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-11 10:44:59,045] Trial 189 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8859730652206163, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 241, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5436971398205086, 'global_pooling': 'mean', 'learning_rate': 0.0016281155036004886, 'weight_decay': 1.004260209787457e-06, 'beta_0': 0.8279029706528114, 'beta_1': 0.9858450826797466, 'epsilon': 6.914273418764135e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 11:00:36,685] Trial 190 finished with value: 0.6493796800146839 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9035883567704335, 'batch_size': 67, 'attention_heads': 9, 'hidden_dimension': 231, 'number_of_hidden_layers': 1, 'dropout_rate': 0.443611914281289, 'global_pooling': 'mean', 'learning_rate': 0.0008258865144246596, 'weight_decay': 1.177247107987704e-06, 'beta_0': 0.8298604948647976, 'beta_1': 0.9845964092532301, 'epsilon': 8.085925022964834e-06, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
CUDA out of memory. Tried to allocate 2.27 GiB. GPU 0 has a total capacity of 44.56 GiB of which 864.69 MiB is free. Including non-PyTorch memory, this process has 43.71 GiB memory in use. Of the allocated memory 39.62 GiB is allocated by PyTorch, and 2.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-11 11:11:19,114] Trial 191 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8808305999806373, 'batch_size': 84, 'attention_heads': 10, 'hidden_dimension': 246, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5660881088545674, 'global_pooling': 'sum', 'learning_rate': 0.04111834324236489, 'weight_decay': 1.46955371439824e-06, 'beta_0': 0.8355747938900385, 'beta_1': 0.9853291720377305, 'epsilon': 1.5520992661182732e-05, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 11:28:29,349] Trial 192 finished with value: 0.6567626492567219 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8987027775395074, 'batch_size': 76, 'attention_heads': 10, 'hidden_dimension': 250, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45880588136428807, 'global_pooling': 'mean', 'learning_rate': 0.0009778906479107456, 'weight_decay': 1.3089690832115764e-06, 'beta_0': 0.8247035996616495, 'beta_1': 0.9850538946951808, 'epsilon': 5.081288387888465e-06, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 11:45:00,116] Trial 193 finished with value: 0.6426157728548847 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9047517625671408, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 243, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5937546123665083, 'global_pooling': 'mean', 'learning_rate': 0.0012757815892850694, 'weight_decay': 1.6173143792024095e-06, 'beta_0': 0.8177897223455496, 'beta_1': 0.9913578572507491, 'epsilon': 1.0780323338386852e-05, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 12:01:20,210] Trial 194 finished with value: 0.657258417693204 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.898630401176842, 'batch_size': 74, 'attention_heads': 10, 'hidden_dimension': 237, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47841124503494287, 'global_pooling': 'mean', 'learning_rate': 0.002044112657635362, 'weight_decay': 1.175674584614941e-06, 'beta_0': 0.8276919544165651, 'beta_1': 0.9900207623016412, 'epsilon': 8.620655774655683e-06, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 12:16:42,440] Trial 195 finished with value: 0.6484010119994101 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9085507378851967, 'batch_size': 89, 'attention_heads': 9, 'hidden_dimension': 224, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4643481031484742, 'global_pooling': 'mean', 'learning_rate': 0.0011050847524347997, 'weight_decay': 2.181333546814232e-06, 'beta_0': 0.822271182272584, 'beta_1': 0.9869891209114988, 'epsilon': 2.0471873056473895e-06, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
