[I 2024-12-02 10:47:13,435] A new study created in RDB with name: Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation
CUDA out of memory. Tried to allocate 3.43 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.24 GiB is free. Including non-PyTorch memory, this process has 41.31 GiB memory in use. Of the allocated memory 38.90 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 11:00:38,925] Trial 0 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8116161415975183, 'batch_size': 116, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: -1.0.
CUDA out of memory. Tried to allocate 5.97 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.99 GiB is free. Including non-PyTorch memory, this process has 41.56 GiB memory in use. Of the allocated memory 39.88 GiB is allocated by PyTorch, and 555.13 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 11:13:25,368] Trial 1 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8130096680811261, 'batch_size': 124, 'attention_heads': 16, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32930163420191516, 'global_pooling': 'mean', 'learning_rate': 0.0009565499215943821, 'weight_decay': 1.2681352169084602e-06, 'beta_0': 0.8904386843107996, 'beta_1': 0.9848818831861611, 'epsilon': 4.467752817973898e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 12, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 0 with value: -1.0.
[I 2024-12-02 11:32:42,601] Trial 2 finished with value: 0.012773699730221471 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8090450055092185, 'batch_size': 63, 'attention_heads': 9, 'hidden_dimension': 93, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40702599800807676, 'global_pooling': 'sum', 'learning_rate': 0.016172900811143146, 'weight_decay': 1.6736010167825795e-06, 'beta_0': 0.8986110261361376, 'beta_1': 0.9946405101730994, 'epsilon': 6.235377135673148e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 2 with value: 0.012773699730221471.
CUDA out of memory. Tried to allocate 1.43 GiB. GPU 0 has a total capacity of 44.56 GiB of which 856.69 MiB is free. Including non-PyTorch memory, this process has 43.72 GiB memory in use. Of the allocated memory 42.21 GiB is allocated by PyTorch, and 361.17 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 11:45:30,024] Trial 3 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8621933545199153, 'batch_size': 63, 'attention_heads': 13, 'hidden_dimension': 175, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44166447754858473, 'global_pooling': 'max', 'learning_rate': 0.0017583640270008513, 'weight_decay': 0.00020554245520150764, 'beta_0': 0.8479082820660899, 'beta_1': 0.9898864065152503, 'epsilon': 5.130551760589827e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 2 with value: 0.012773699730221471.
CUDA out of memory. Tried to allocate 1.83 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.09 GiB is free. Including non-PyTorch memory, this process has 43.47 GiB memory in use. Of the allocated memory 40.65 GiB is allocated by PyTorch, and 1.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 11:58:17,164] Trial 4 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8579473930682245, 'batch_size': 47, 'attention_heads': 16, 'hidden_dimension': 213, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5614381770563153, 'global_pooling': 'max', 'learning_rate': 0.0014367095138664223, 'weight_decay': 0.00026443593078398644, 'beta_0': 0.889052315352582, 'beta_1': 0.9860025494147586, 'epsilon': 2.755546207779655e-08, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 2 with value: 0.012773699730221471.
CUDA out of memory. Tried to allocate 1.70 GiB. GPU 0 has a total capacity of 44.56 GiB of which 524.69 MiB is free. Including non-PyTorch memory, this process has 44.04 GiB memory in use. Of the allocated memory 41.72 GiB is allocated by PyTorch, and 1.17 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 12:11:06,278] Trial 5 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9037529364424558, 'batch_size': 100, 'attention_heads': 8, 'hidden_dimension': 250, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3755346887476092, 'global_pooling': 'mean', 'learning_rate': 1.4045842344024695e-05, 'weight_decay': 6.740513796374044e-05, 'beta_0': 0.8487959271998592, 'beta_1': 0.9809692144821089, 'epsilon': 1.3019246714361555e-07, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 2 with value: 0.012773699730221471.
[I 2024-12-02 12:37:47,160] Trial 6 finished with value: 0.3111130008805061 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9266996068550714, 'batch_size': 83, 'attention_heads': 5, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35595555311995625, 'global_pooling': 'max', 'learning_rate': 1.1650681118986128e-05, 'weight_decay': 3.4377886617795816e-05, 'beta_0': 0.8216291089982651, 'beta_1': 0.9922164838130152, 'epsilon': 4.9827112000811335e-08, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 6 with value: 0.3111130008805061.
